"lambda";"moy"
325;-0,00806553540000001
326;0,0218866657
327;0,0314660625
328;0,0186036769
329;0,0311056555
330;0,042804014
331;-0,0014862537
332;-0,0456868886
333;-0,0029645268
334;0,0224500228
335;0,0371510932
336;-0,0058298039
337;-0,0356718156
338;-0,0481105643
339;-0,0161250979
340;0,0102732195
341;0,0143192484
342;0,0202767679
343;0,0250719003
344;0,0042381167
345;-0,0066210329
346;0,0028010861
347;0,0113580537
348;0,0156795809
349;0,013036591
350;0,0087335933
351;0,0037604056
352;0,0167301586
353;0,0312488607
354;0,0279282662
355;0,0128115922
356;-0,0137026632
357;0,0022709101
358;0,0145943187
359;0,0106018084
360;0,0092597003
361;0,0097276253
362;0,0095646282
363;0,0097900991
364;0,0109419525
365;0,014262604
366;0,0179192189
367;0,0200435498
368;0,0149906476
369;0,0014830401
370;0,0060675883
371;0,013139557
372;0,0153764651
373;0,0159878672
374;0,0151452509
375;0,0184035238
376;0,0186764089
377;0,0118516842
378;0,0112446277
379;0,0136758662
380;0,0136068015
381;0,0142779158
382;0,0161507753
383;0,014373823
384;0,0121551125
385;0,0157490462
386;0,0184402552
387;0,0203363484
388;0,0165340314
389;0,0129781182
390;0,0138060488
391;0,0145461888
392;0,0152262065
393;0,0134658178
394;0,0123286568
395;0,0127643112
396;0,0144296762
397;0,0164028831
398;0,0145758849
399;0,0134935324
400;0,0133676973
401;0,0131136299
402;0,0129995813
403;0,0139444095
404;0,0147439229
405;0,0154160867
406;0,0156768536
407;0,0157014107
408;0,0152289621
409;0,0146848058
410;0,014108627
411;0,0123592827
412;0,0117332123
413;0,0131413049
414;0,0144128076
415;0,015441194
416;0,0143439986
417;0,0148032057
418;0,0170843418
419;0,0147966327
420;0,0123410561
421;0,0138339482
422;0,0143897533
423;0,0141650901
424;0,0141197753
425;0,0140808126
426;0,0140277953
427;0,0144501069
428;0,0151184412
429;0,0148584259
430;0,0145628314
431;0,0142039999
432;0,0134859581
433;0,0127861939
434;0,0131480495
435;0,0132900006
436;0,0132078798
437;0,0131982543
438;0,0132383594
439;0,0134208481
440;0,0137391902
441;0,0141513744
442;0,0138029273
443;0,0136546542
444;0,0140915962
445;0,013748671
446;0,0130885296
447;0,0140516549
448;0,0143461892
449;0,0136760501
450;0,0140503083
451;0,0146085009
452;0,0144232506
453;0,0145052925
454;0,0148465181
455;0,0142975567
456;0,0139026207
457;0,0144541668
458;0,0148908228
