"lambda";"moy"
325;-0,0591126981
326;-0,0211770481
327;-0,0030152432
328;-0,0541809779
329;0,0019356884
330;0,0914167708
331;0,0871727823
332;0,0761504314
333;0,0566486297
334;0,0637307836
335;0,0544101803
336;0,005707582
337;0,0046054185
338;0,0673752513
339;0,0243752488
340;-0,0141986674
341;0,0106944217
342;0,017377533
343;0,0141530372
344;-0,002915731
345;-0,0057354159
346;0,0225859758
347;0,0136642945
348;-0,0088396341
349;-0,0107614065
350;-0,0129359139
351;-0,0150774799
352;-0,0066899933
353;0,0029158915
354;0,0106267333
355;0,002051092
356;-0,0204346628
357;-0,0061863558
358;0,0071004949
359;0,0053169054
360;0,0046607949
361;0,0045535019
362;0,0059460386
363;0,0047275543
364;-0,001082642
365;-0,0007801534
366;0,001187932
367;-0,0036107414
368;-0,0053431605
369;-0,0033659712
370;-0,0036217423
371;-0,0034948513
372;0,0010418835
373;0,0046230851
374;0,007350951
375;0,0026305178
376;-0,0011699578
377;-0,0011405212
378;0,0001412227
379;0,00197204
380;0,0027925899
381;0,0020620573
382;-0,0008808523
383;0,0001026535
384;0,0018959854
385;0,0008059425
386;-0,0001382897
387;-0,0009462249
388;-0,0003673641
389;0,0001872393
390;4,06497000000001e-05
391;0,0002220586
392;0,00060837
393;0,0001430837
394;-0,0001435162
395;9,47341999999999e-05
396;0,0010866502
397;0,0022946669
398;0,0017949176
399;0,0013562555
400;0,0010305813
401;-0,00033726728
402;-0,0012974919
403;0,0015520645
404;0,0023286768
405;0,0012308621
406;0,0010006613
407;0,0007942457
408;0,0002970851
409;-6,36356e-05
410;-0,00035743435
411;0,0016271726
412;0,0021224796
413;-0,0001143575
414;-0,0004223091
415;-7,60590000000001e-05
416;-0,0011011587
417;-0,0008080329
418;0,0010379512
419;0,0001980004
420;-0,0010712792
421;-0,0015152808
422;-0,0010610344
423;0,000133112
424;-0,0010424989
425;-0,0017234946
426;-0,00056756013
427;-3,43633e-05
428;0,0001411934
429;0,0004788359
430;0,0005672341
431;0,0002691863
432;-0,00012312477
433;-0,0004882
434;-0,00040287354
435;-0,0006724345
436;-0,0013118611
437;-0,0006819207
438;0,00010259935
439;0,0005915147
440;0,0006236795
441;0,0003291869
442;0,0007972626
443;0,0008178983
444;-0,00028989
445;-0,0001420009
446;0,0005780776
447;0,0006057201
448;0,0004096474
449;-0,0001140667
450;0,0008550643
451;0,001983378
452;0,0014064639
453;0,0014277366
454;0,0020278047
455;0,0018130333
456;0,0018439941
457;0,00310811356
458;0,0029801787
459;0,0019568499
460;0,0021382673
461;0,00247734135
462;0,0030394085
463;0,0030802652
464;0,0029355191
465;0,003310938
466;0,0032400924
467;0,002596013
468;0,00314514715
469;0,0038017344
470;0,00355010776
471;0,0034705277
472;0,0035382921
473;0,0042176844
474;0,0046037038
475;0,004019085
476;0,0042621746
477;0,0049710448
478;0,0046651559
479;0,0044509608
480;0,00439087726
481;0,0046187456
482;0,0049376158
483;0,0051709832
484;0,0056092441
485;0,0062832944
486;0,0062468901
487;0,0062069827
488;0,0067528806
489;0,0071316998
490;0,0073805039
491;0,0077391349
492;0,0080711637
493;0,0083292198
494;0,0086872761
495;0,0090984876
496;0,009833535
497;0,0104426092
498;0,0108774825
499;0,0117728714
500;0,0127799941
501;0,0137565468
502;0,0146664387
503;0,0155116148
504;0,0165297014
505;0,0176553783
506;0,0191217887
507;0,0210128804
508;0,0231614445
509;0,0243994772
510;0,0258845802
511;0,027967963
512;0,0302384823
513;0,032554646
514;0,0348710789
515;0,03743559
516;0,0403346883
517;0,0430423455
518;0,0457328385
519;0,0487921284
520;0,0518889012
521;0,0550068512
522;0,0580866593
523;0,0611083043
524;0,06410969
525;0,0671935684
526;0,0702928561
527;0,0731689181
528;0,0759160035
529;0,078500529
530;0,0809015576
531;0,083179144
532;0,08506012
533;0,0867830442
534;0,088324995
535;0,0900322704
536;0,0916072467
537;0,0925257651
538;0,093599647
539;0,0947885013
540;0,0956820016
541;0,0965179524
542;0,0972951803
543;0,097990022
544;0,0986330252
545;0,099161781
546;0,0996748245
547;0,1001707242
548;0,1006967338
549;0,1011840412
550;0,1013179307
551;0,1014396877
552;0,1015489063
553;0,1014829485
554;0,1013000894
555;0,1008134127
556;0,1003289608
557;0,0998456209
558;0,0991514335
559;0,0983828524
560;0,0974812814
561;0,0963812334
562;0,0951729574
563;0,0936392056
564;0,0921588517
565;0,0907518851
566;0,0891977503
567;0,0875536807
568;0,0857288899
569;0,0840183989
570;0,0824085961
571;0,0807265539
572;0,0790822367
573;0,0776914804
574;0,0760831565
575;0,0743354914
576;0,0732184806
577;0,0720313841
578;0,0707149168
579;0,0694992912
580;0,0683456736
581;0,0673115171
582;0,0662084385
583;0,0650239816
584;0,0639472024
585;0,0629348427
586;0,062022844
587;0,0611484065
588;0,0603055211
589;0,0593246723
590;0,0584348514
591;0,0577762417
592;0,0572488996
593;0,0567857358
594;0,0558441691
595;0,0551153935
596;0,0547123951
597;0,0540987155
598;0,0534483721
599;0,052922584
600;0,0524282997
601;0,0519637293
602;0,0513542243
603;0,0507977698
604;0,0504819472
605;0,0499653797
606;0,0493099512
607;0,0485758631
608;0,0477828496
609;0,0468622243
610;0,0459898367
611;0,0451435131
612;0,0442494385
613;0,0432764227
614;0,0421933187
615;0,0413548834
616;0,0405823027
617;0,0397522944
618;0,038927841
619;0,0381053064
620;0,0373846434
621;0,0366893344
622;0,036016922
623;0,0355215252
624;0,0351384165
625;0,0347872384
626;0,0344704623
627;0,0342157481
628;0,033954873
629;0,0337045931
630;0,03360179
631;0,0333873831
632;0,0330369775
633;0,0326729201
634;0,032303487
635;0,0319209345
636;0,0312652223
637;0,0303862966
638;0,0295457077
639;0,0286601214
640;0,0276508571
641;0,0265190169
642;0,0253197858
643;0,0241745652
644;0,0230556031
645;0,0219819062
646;0,0209912873
647;0,0200339345
648;0,019130832
649;0,0183553025
650;0,0177186424
651;0,0171020654
652;0,0164964434
653;0,0159164067
654;0,0154754639
655;0,0151355984
656;0,0143725832
657;0,0137251836
658;0,013391456
659;0,0127534911
660;0,0119781064
661;0,0112924976
662;0,0105730972
663;0,0098043129
664;0,008985105
665;0,0082099299
666;0,0077686631
667;0,007239591
668;0,0066273752
669;0,0063264617
670;0,006042061
671;0,0056734094
672;0,0054780939
673;0,0053929237
674;0,0052526892
675;0,0051080434
676;0,0049561425
677;0,005187987
678;0,0055497957
679;0,0056329322
680;0,0058834011
681;0,0063453422
682;0,0072220205
683;0,0082697649
684;0,0097016512
685;0,0113891115
686;0,0132895088
687;0,0159416412
688;0,0190363404
689;0,0231470298
690;0,0280419818
691;0,0333693049
692;0,0400714267
693;0,047372556
694;0,0557173867
695;0,0650388792
696;0,074767169
697;0,0853714841
698;0,0962684272
699;0,107505853
700;0,1191421969
701;0,1307603026
702;0,1422640559
703;0,1537927648
704;0,1653083166
705;0,1766938414
