"lambda";"moy"
325;-0,0522331014
326;0,0280526396
327;0,0676818846
328;0,0117889404
329;0,0107709762
330;0,0370152874
331;0,0348462778
332;0,0479362682
333;0,0796813018
334;0,1060622692
335;0,1201554228
336;0,060379976
337;0,0625897126
338;0,1211308308
339;0,0606613874
340;0,0112851448
341;0,0623724696
342;0,0868930362
343;0,092795718
344;0,033104105
345;-0,018925052
346;-0,030096489
347;-0,0095714374
348;0,0222581292
349;0,0303801932
350;0,0301873656
351;0,0208276152
352;0,0117800898
353;0,0085214098
354;0,0346029008
355;0,0520281104
356;0,0635017308
357;0,0195981194
358;-0,0065108892
359;0,0385267952
360;0,0483577874
361;0,0397046376
362;0,056279529
363;0,0611442346
364;0,0455344754
365;0,0499638182
366;0,0614890946
367;0,0711518532
368;0,0679107266
369;0,0496924114
370;0,0331716454
371;0,0250490486
372;0,0508085804
373;0,0622148114
374;0,0625711128
375;0,0539242114
376;0,0451579932
377;0,037435473
378;0,0399919182
379;0,0476205902
380;0,0413115436
381;0,0371126138
382;0,0357786432
383;0,0444463026
384;0,0548223408
385;0,056744209
386;0,0545242274
387;0,0481314048
388;0,04334618
389;0,0407899438
390;0,0450316934
391;0,0458549738
392;0,044336205
393;0,0409659308
394;0,0376396432
395;0,0343640876
396;0,0402889102
397;0,0493013736
398;0,0412904132
399;0,039873144
400;0,0473145688
401;0,0461767326
402;0,0436196072
403;0,0462573714
404;0,0442215484
405;0,0378642142
406;0,0416814018
407;0,0451497874
408;0,0438236392
409;0,0429353364
410;0,042338934
411;0,0457258442
412;0,0465643798
413;0,0427626226
414;0,0428029856
415;0,0440498132
416;0,041419836
417;0,0412383344
418;0,0439422892
419;0,0405189954
420;0,0376295304
421;0,043677896
422;0,0456192226
423;0,0442106122
424;0,0440123356
425;0,0440846928
426;0,0445125248
427;0,0440880366
428;0,0432116784
429;0,0453799442
430;0,0457761974
431;0,0434379008
432;0,0433089308
433;0,0437561028
434;0,0426297194
435;0,0423699332
436;0,0430150874
437;0,0425798122
438;0,0415736168
439;0,039123466
440;0,0409265034
441;0,0457427178
442;0,0437986716
443;0,0425284978
444;0,0438480848
445;0,0441160538
446;0,0438944494
447;0,0441053626
448;0,0436909702
449;0,0423658158
450;0,0431018816
451;0,0440823046
452;0,0428205496
453;0,04263187
454;0,0434812754
455;0,0435610862
456;0,0433091902
457;0,0423706692
458;0,0425060884
459;0,0433317378
460;0,042964944
461;0,0429177626
462;0,043593719
463;0,0437218228
464;0,0436840152
465;0,0446129386
466;0,0440951574
467;0,0417182362
468;0,0419297186
469;0,0427482284
470;0,043474738
471;0,0432842756
472;0,0423088764
473;0,0419475992
474;0,0416639396
475;0,0413953104
476;0,0421513636
477;0,0434752982
478;0,0441850476
479;0,0445165514
480;0,044206202
481;0,0435641456
482;0,0429014464
483;0,0430658384
484;0,0433154282
485;0,0436637056
486;0,0433471376
487;0,043035947
488;0,0432959812
489;0,043232516
490;0,042921839
491;0,0433795062
492;0,0435302308
493;0,042823594
494;0,043104994
495;0,0438280258
496;0,0433278938
497;0,0428424146
498;0,0423688278
499;0,042739754
500;0,043279315
501;0,0433439188
502;0,0434626364
503;0,043633665
504;0,0436196718
505;0,0434364976
506;0,0427967516
507;0,0427191622
508;0,0430108084
509;0,0440074322
510;0,0442644462
511;0,0430429472
512;0,0426442718
513;0,0426095616
514;0,0426352846
515;0,0425946842
516;0,04246955
517;0,042438007
518;0,042510893
519;0,042995665
520;0,0432405634
521;0,0432722454
522;0,0436611504
523;0,043764629
524;0,0429739664
525;0,0429672128
526;0,0434209018
527;0,0435418684
528;0,0434965346
529;0,0431687502
530;0,0425362614
531;0,0419651816
532;0,043155182
533;0,0435810742
534;0,0431234252
535;0,0431518822
536;0,0432424232
537;0,0431512674
538;0,043192702
539;0,043336005
540;0,0435520586
541;0,0435664742
542;0,0430878528
543;0,0429378504
544;0,0429538942
545;0,0430163384
546;0,0431514698
547;0,0433996536
548;0,043006426
549;0,0424980716
550;0,042627416
551;0,0425780688
552;0,0423416314
553;0,043037931
554;0,0435732402
555;0,0429386016
556;0,042893355
557;0,0432617158
558;0,042892611
559;0,0427037502
560;0,0429828406
561;0,0431340466
562;0,0432283434
563;0,0433331544
564;0,043203962
565;0,0427458584
566;0,0427978504
567;0,0429736916
568;0,0430595942
569;0,0430124884
570;0,0428368452
571;0,0430823064
572;0,0432487812
573;0,0429887246
