"lambda";"moy"
325;0,1192492179375
326;0,0890303544375
327;0,0680765613125
328;0,115652785
329;0,1299645809375
330;0,11529492
331;0,1308114180625
332;0,135973944
333;0,1348516816875
334;0,1281009223125
335;0,110659759375
336;0,1306677874375
337;0,1306414641875
338;0,1130257629375
339;0,0857384920625
340;0,060429583125
341;0,0557669424375
342;0,0626626143125
343;0,0801654465
344;0,0914620828125
345;0,098124546875
346;0,099325270625
347;0,0947699505625
348;0,0884701710625
349;0,0741724698125
350;0,0717306495
351;0,0815137726875
352;0,0852130364375
353;0,08632265475
354;0,0832131370625
355;0,077181022875
356;0,069055986875
357;0,07008158325
358;0,07393196125
359;0,0838644191875
360;0,0851600715
361;0,081675697
362;0,0748604275
363;0,070219690375
364;0,06957685275
365;0,073331718375
366;0,0781091634375
367;0,07999154225
368;0,07908477875
369;0,075078892375
370;0,0773744425625
371;0,0797133945
372;0,076382330375
373;0,074821883
374;0,0745351299375
375;0,077220185125
376;0,0792557566875
377;0,079232923875
378;0,082737664
379;0,0878110694375
380;0,08369518625
381;0,0823015335625
382;0,0851370331875
383;0,0888583735625
384;0,0920583696875
385;0,0905138475
386;0,0908710233125
387;0,0932081400625
388;0,0942153600625
389;0,0958380715625
390;0,100859235375
391;0,102212093625
392;0,1010852240625
393;0,10546891475
394;0,1092403245625
395;0,1113082808125
396;0,113429994875
397;0,115494356625
398;0,11807726175
399;0,1207451884375
400;0,1236147235625
401;0,1243315185
402;0,1245570015
403;0,1257683051875
404;0,1283334825
405;0,1321155523125
406;0,1328209384375
407;0,1338039975
408;0,1369550045
409;0,1387715325625
410;0,139733002375
411;0,1407908023125
412;0,14215475925
413;0,144141519125
414;0,14465529925
415;0,144637733375
416;0,14553240325
417;0,14671208225
418;0,14824633375
419;0,14976678325
420;0,151081909
421;0,151660270375
422;0,152005239875
423;0,152150394125
424;0,152743406625
425;0,1536020920625
426;0,155066761
427;0,1558249788125
428;0,15618186275
429;0,15619025675
430;0,15684895225
431;0,1585528388125
432;0,1593419231875
433;0,159949237
434;0,1619083878125
435;0,1629128475625
436;0,1629394191875
437;0,163168666875
438;0,163360218
439;0,1632813284375
440;0,1631586488125
441;0,1630034885625
442;0,1621175125625
443;0,161242428875
444;0,16048573075
445;0,160728717375
446;0,161405096125
447;0,1608423670625
448;0,160583026125
449;0,1607608610625
450;0,1608110070625
451;0,1608161686875
452;0,1607802029375
453;0,160806325
454;0,1608915975
455;0,1605577930625
456;0,1603855291875
457;0,160952627
458;0,1607113164375
459;0,159948502875
460;0,1601428038125
461;0,16032834375
462;0,160425703875
463;0,1606543738125
464;0,1609020006875
465;0,1606523973125
466;0,1605836175
467;0,160746626875
468;0,1607834911875
469;0,1608422133125
470;0,16117443975
471;0,161156963
472;0,1608409955
473;0,1606066304375
474;0,1604613353125
475;0,1605308795
476;0,160624374125
477;0,1607299514375
478;0,1609309275
479;0,161187619875
480;0,1615460633125
481;0,161385509
482;0,161137965875
483;0,1617666820625
484;0,1621442709375
485;0,1622366759375
486;0,1624727204375
487;0,162715949375
488;0,162882452125
489;0,162898186
490;0,1627983699375
491;0,16253177975
492;0,1623287605
493;0,1623018686875
494;0,1623038848125
495;0,1623116511875
496;0,1620649336875
497;0,1618116409375
498;0,161543683875
499;0,1615141994375
500;0,1615182589375
501;0,1612769676875
502;0,1609554566875
503;0,1605556535625
504;0,1604898599375
505;0,16049469825
506;0,1605565898125
507;0,1604494356875
508;0,1602326493125
509;0,1604277870625
510;0,1606225638125
511;0,1607900776875
512;0,160673859875
513;0,16045308475
514;0,1604833564375
515;0,1604779708125
516;0,16042734175
517;0,160392052625
518;0,160378870125
519;0,16045733925
520;0,1605142025625
521;0,1605516306875
522;0,1607293554375
523;0,1608242249375
524;0,160650044
525;0,16072710475
526;0,1609508005625
527;0,1607676188125
528;0,160767760625
529;0,1610914396875
530;0,1612262299375
531;0,1613064565
532;0,16157266325
533;0,161779763625
534;0,161918574125
535;0,16222825325
536;0,1626765665625
537;0,16356349825
538;0,16438243825
539;0,1651457881875
540;0,166246108375
541;0,1673431384375
542;0,168387851
543;0,1692485075
544;0,1699925723125
545;0,1700119125
546;0,1698159301875
547;0,169285711125
548;0,16858992575
549;0,1677768339375
550;0,166490060625
551;0,165462258125
552;0,1647057321875
553;0,1638050731875
554;0,163045503625
555;0,1628975259375
556;0,16251177975
557;0,1619585820625
558;0,1619083298125
559;0,161862088
560;0,1617676893125
561;0,16165515125
562;0,1615403034375
563;0,1615411743125
564;0,1614707053125
565;0,1612998520625
566;0,1612440435
567;0,161205364375
568;0,1610889646875
569;0,16109244025
570;0,161211588625
571;0,161206728125
572;0,1612360470625
573;0,1614213515625
574;0,16165672075
575;0,1619236995625
576;0,1618955371875
577;0,1618857530625
578;0,16191607325
579;0,161867913875
580;0,1618150536875
581;0,1620106204375
582;0,162140559875
583;0,162193878125
584;0,1623254049375
585;0,1624395280625
586;0,16241399575
587;0,1623527820625
588;0,162263651
589;0,16240248875
590;0,162498358375
591;0,1624408269375
592;0,16245581275
593;0,1625031205
594;0,1622899284375
595;0,162154134625
596;0,162138441
597;0,1621720065
598;0,162228081375
599;0,1623379320625
600;0,1622688354375
601;0,1620152716875
602;0,1619737629375
603;0,1620027786875
604;0,162149863125
605;0,162366827125
606;0,162631962875
607;0,1633317814375
608;0,164163471875
609;0,16523753425
610;0,1663540141875
611;0,167458556375
612;0,168145173125
613;0,1685676243125
614;0,16863760925
615;0,167820333
616;0,1667433641875
617;0,1655352224375
618;0,1645438021875
619;0,1637534454375
620;0,1633003766875
621;0,162962687375
622;0,1628271276875
623;0,162748333
624;0,162705530125
625;0,162707578625
626;0,1627015214375
627;0,16267880675
628;0,1626885446875
629;0,1626905585
630;0,1624531031875
631;0,1622965466875
632;0,162237834
633;0,1619333434375
634;0,161610954875
635;0,161465598
636;0,161276309375
637;0,1610510095625
638;0,160940751625
639;0,1608673391875
640;0,160859882125
641;0,1608690303125
642;0,1608879370625
643;0,160989499125
644;0,1609968798125
645;0,1608501648125
646;0,160934018625
647;0,161078067875
648;0,1610844973125
649;0,1610684215
650;0,16102788625
651;0,1610810744375
652;0,1611209906875
653;0,1610442800625
654;0,160999427875
655;0,16097754375
656;0,16088631725
657;0,1608277563125
658;0,1608509949375
