"lambda";"moy"
325;0,6775285072
326;0,613003949
327;0,6036641338
328;0,7420313768
329;0,721631091
330;0,6464287166
331;0,6223429892
332;0,65803391
333;0,7925991716
334;0,73159847
335;0,6177214988
336;0,601445461
337;0,6104236956
338;0,640757533
339;0,6733295278
340;0,6908458918
341;0,6593742748
342;0,6103531246
343;0,5562642434
344;0,5994469164
345;0,6341083496
346;0,629460602
347;0,6306234306
348;0,6344582514
349;0,6504161134
350;0,657497306
351;0,6535034232
352;0,6420217754
353;0,6286251638
354;0,6136841804
355;0,625895342
356;0,6610792746
357;0,6511985964
358;0,6412008394
359;0,6469395986
360;0,6585059876
361;0,6732584306
362;0,6658991174
363;0,6590624082
364;0,6533330128
365;0,6414267492
366;0,629516752
367;0,638231323
368;0,64719241
369;0,6567444096
370;0,6587668264
371;0,6569445196
372;0,6451584846
373;0,6454709756
374;0,6550731862
375;0,6432236246
376;0,635204729
377;0,6408535386
378;0,6466670066
379;0,652496523
380;0,6529716318
381;0,6523806056
382;0,6501231958
383;0,6553521644
384;0,6597487078
385;0,6412533932
386;0,6357763316
387;0,6433356926
388;0,63989449
389;0,6365148956
390;0,6398396052
391;0,6465037442
392;0,6551502486
393;0,648975899
394;0,6445159168
395;0,645280067
396;0,6484622768
397;0,6524407808
398;0,6517393016
399;0,6508708836
400;0,649724179
401;0,6493480358
402;0,649621933
403;0,6523958596
404;0,6529332998
405;0,6514131928
406;0,6502203238
407;0,6492696116
408;0,6487930824
409;0,6490138638
410;0,6496518696
411;0,650851786
412;0,6521515882
413;0,6536735468
414;0,656129271
415;0,658668107
416;0,658513778
417;0,6589278682
418;0,6600139952
419;0,6590380938
420;0,6577281536
421;0,6569224998
422;0,6565864648
423;0,6566411258
424;0,6588729562
425;0,6603989774
426;0,6596450836
427;0,6602762686
428;0,6616402114
429;0,6603073258
430;0,6603195816
431;0,6624177082
432;0,6607987332
433;0,6585806562
434;0,6616659294
435;0,6634155682
436;0,6637919706
437;0,6644123672
438;0,6649166586
439;0,6648524
440;0,6652971958
441;0,6661060596
442;0,665354302
443;0,6650364216
444;0,6659295804
445;0,667253213
446;0,668722779
447;0,6684638418
448;0,6686011234
449;0,669314359
450;0,6690386654
451;0,6686004556
452;0,6689472782
453;0,6690688928
454;0,6689732136
455;0,6683254944
456;0,6681701846
457;0,6698984314
458;0,6706435426
459;0,670748777
460;0,6710937682
461;0,6713130614
462;0,6712696728
463;0,6705601112
464;0,669611952
465;0,6691030242
466;0,669544569
467;0,6712083754
468;0,671095458
469;0,670683163
470;0,6709482108
471;0,6711651312
472;0,6713416638
473;0,671603493
474;0,6719555502
475;0,6725460692
476;0,6723646102
477;0,6717496964
478;0,6727097218
479;0,6733336812
480;0,673388927
481;0,6735248374
482;0,6736471148
483;0,6733991982
484;0,6733798208
485;0,673622658
486;0,6734179374
487;0,6731759996
488;0,6731472826
489;0,6734128858
490;0,6739025376
491;0,6741584454
492;0,6743688672
493;0,674517147
494;0,6745843042
495;0,674584521
496;0,673766803
497;0,6735924604
498;0,6743578306
499;0,6740250942
500;0,6735231022
501;0,6739960274
502;0,6741796002
503;0,6740812708
504;0,6742158654
505;0,6742625544
506;0,67391843
507;0,6738501098
508;0,6739634656
509;0,6738861484
510;0,6738627762
511;0,6739580482
512;0,6739575438
513;0,6739204596
514;0,6739542184
515;0,673968015
516;0,6739565136
517;0,6739895656
518;0,674005436
519;0,673876822
520;0,6736785668
521;0,6734191214
522;0,6738840894
523;0,6741771696
524;0,6737707568
525;0,673474009
526;0,6732446122
527;0,6730539482
528;0,6731346066
529;0,6736845918
530;0,6734985052
531;0,6731157198
532;0,6735632028
533;0,6736391934
534;0,6732848286
535;0,673307648
536;0,6732982862
537;0,6728093024
538;0,672605399
539;0,6726211304
540;0,672486838
541;0,6723802354
542;0,6723686172
543;0,6723902254
544;0,6724275014
545;0,6724354226
546;0,6724923926
547;0,6726253446
548;0,6721771356
549;0,6716452012
550;0,671837694
551;0,6717779592
552;0,6714540468
553;0,6713099406
554;0,67118651
555;0,6710252004
556;0,6710248804
557;0,6711376858
558;0,671133474
559;0,6710119912
560;0,6706541752
561;0,670335383
562;0,6700458922
563;0,6699925692
564;0,6699875776
565;0,6700505602
566;0,6697277532
567;0,6693295
568;0,6691220312
569;0,6688658276
570;0,6685611272
571;0,6684456788
572;0,6683951364
573;0,6684767484
574;0,6681403022
575;0,6675377762
576;0,6672572854
577;0,6671145522
578;0,66722357
579;0,6672858286
580;0,6673022964
581;0,6670464714
582;0,6668509024
583;0,6667264112
584;0,6662153676
585;0,6656936246
586;0,6654435386
587;0,6653555198
588;0,6653946826
589;0,665176248
590;0,6649578238
591;0,6647888104
592;0,6645439474
593;0,6642696672
594;0,6643562012
595;0,6641757396
596;0,6635744548
597;0,6631146084
598;0,6627192934
599;0,6623936874
600;0,662316637
601;0,6624943274
602;0,6622321398
603;0,661871776
604;0,6614174964
605;0,6610597628
606;0,6607714282
607;0,660918241
608;0,6609198836
609;0,6605718552
610;0,6601221792
611;0,6596300236
612;0,659146754
613;0,6588268528
614;0,658725513
615;0,6583610364
616;0,6579737088
617;0,657838006
618;0,6576066148
619;0,6572849624
620;0,6573264316
621;0,657291065
622;0,6568814468
623;0,656416574
624;0,6559168818
625;0,6558932822
626;0,6558289538
627;0,6556712714
628;0,6553683832
629;0,6550087468
630;0,6546688776
631;0,65427512
632;0,6538144294
633;0,6535525022
634;0,6533840118
635;0,6534252576
636;0,6533918084
637;0,6532974822
638;0,6531744114
639;0,6530555162
640;0,6529547428
641;0,652595572
642;0,652100974
643;0,6520400662
644;0,6518571524
645;0,6514749948
646;0,6512124232
647;0,6509933022
648;0,650806314
649;0,650577552
650;0,650303243
651;0,6502264364
652;0,6501890382
653;0,6501582472
654;0,6500938114
655;0,6500053154
656;0,6497445828
657;0,6494549752
658;0,6491243944
659;0,6487367498
660;0,648340171
661;0,6483536158
662;0,648311665
663;0,6481907592
664;0,6479361526
665;0,6476788198
666;0,647625175
667;0,6474788186
668;0,647244444
669;0,6474347732
670;0,6475652194
671;0,6473282164
672;0,6472065174
673;0,6471580964
674;0,647028208
675;0,6469143288
676;0,646833631
677;0,6467238676
678;0,6465819066
679;0,6462013052
680;0,6461316636
681;0,6464537512
682;0,646551202
683;0,646552268
684;0,6463410142
685;0,6461388254
686;0,6459446642
687;0,6458467782
688;0,6457327354
689;0,6455491428
690;0,6455168724
691;0,6455653982
692;0,6452646626
693;0,6450017206
694;0,644801314
695;0,6447992386
696;0,6448570662
697;0,6448416936
698;0,6446875782
699;0,644378699
700;0,6443172642
701;0,6443079746
702;0,6443180382
703;0,6442900716
704;0,644233822
705;0,6441829418
706;0,6441318658
707;0,64407918
708;0,6438510186
709;0,6435412066
710;0,6433049598
711;0,6432005122
712;0,6432837724
713;0,6430317398
714;0,6426724664
715;0,6422613844
716;0,6419897196
717;0,6418561042
718;0,6417326268
719;0,641651325
720;0,6416972904
721;0,641593632
722;0,6413909338
723;0,6412744958
724;0,6412359408
725;0,6413424268
726;0,641179009
727;0,6409232514
728;0,640964607
729;0,6408721554
730;0,640610032
731;0,6405486986
732;0,6404523818
733;0,639941064
734;0,6394920664
735;0,6390958968
736;0,6387485868
737;0,638413128
738;0,6380948066
739;0,6378616844
740;0,6376761576
741;0,6374803908
742;0,6373163982
743;0,637206678
744;0,6372612738
745;0,6373455734
746;0,6371746858
747;0,6371738642
748;0,637366192
749;0,6373801858
750;0,6373338568
751;0,6371926878
752;0,637059146
753;0,6369311466
754;0,636581314
755;0,6362451074
756;0,6359835078
757;0,6356131518
758;0,6351900592
759;0,6348883906
760;0,6346353762
761;0,6344580206
762;0,6341880838
763;0,6339049822
764;0,6337339738
765;0,6337091066
766;0,6338331244
767;0,6338891186
768;0,633933488
769;0,6339720972
770;0,6339014256
771;0,6337561232
772;0,6337871498
773;0,6337792904
774;0,6336794712
775;0,6335446478
776;0,6333885222
777;0,6331649518
778;0,6330466434
779;0,633071024
780;0,632725575
781;0,6323507866
782;0,632332232
783;0,6321429336
784;0,631798969
785;0,631471452
786;0,6312474278
787;0,631323335
788;0,6312691936
789;0,631136723
790;0,6309495876
791;0,6308113696
792;0,630763338
793;0,6310116212
794;0,6313017568
795;0,6309380778
796;0,6307675706
797;0,6308299536
798;0,6307967154
799;0,6308100428
800;0,6310945124
801;0,6309562078
802;0,630476296
803;0,6302576368
804;0,6301329868
805;0,6301890634
806;0,6303473464
807;0,6305475096
808;0,6302964694
809;0,6301924432
810;0,6303161588
