"lambda";"moy"
325;-0,1373749034
326;0,050845027
327;0,157319244
328;0,0897802198
329;0,0555058876
330;0,0436187946
331;0,0543207248
332;0,0481993184
333;0,0162942202
334;0,0435126576
335;0,0662406684
336;-0,0693799284
337;-0,1475810356
338;-0,1461477866
339;-0,084756279
340;-0,0316778012
341;-0,009370006
342;-0,0205683674
343;-0,0545401386
344;0,0010182184
345;0,0233296092
346;-0,0155060506
347;-0,0438425572
348;-0,0623104084
349;-0,0496671942
350;-0,0258826444
351;0,0100583574
352;0,0057441842
353;-0,0079688486
354;-0,0216020064
355;-0,0376251068
356;-0,054976269
357;-0,0267708876
358;-0,0052950752
359;-0,0130071324
360;-0,0458115132
361;-0,0913436286
362;-0,0540251934
363;-0,0227939222
364;-0,0001939916
365;-0,0058316204
366;-0,0218153654
367;-0,0372526288
368;-0,0398066416
369;-0,0279861512
370;-0,0264632354
371;-0,026590215
372;-0,0239745546
373;-0,029345586
374;-0,0409107402
375;-0,0395218008
376;-0,0359393182
377;-0,0294126652
378;-0,0284401758
379;-0,0304061712
380;-0,0383650876
381;-0,0403828142
382;-0,0332541846
383;-0,0242389562
384;-0,0175293398
385;-0,0301185912
386;-0,0343369022
387;-0,0298508614
388;-0,019488973
389;-0,0106262072
390;-0,010466401
391;-0,024255101
392;-0,0480183514
393;-0,047861354
394;-0,0384627614
395;-0,0124279316
396;-0,0176160652
397;-0,035826222
398;-0,0345805274
399;-0,033908084
400;-0,0339890734
401;-0,0292624004
402;-0,025116774
403;-0,03120715
404;-0,036266599
405;-0,0402547652
406;-0,0326756424
407;-0,025966039
408;-0,0256207554
409;-0,025902983
410;-0,026564626
411;-0,0290814552
412;-0,02857759
413;-0,0226372532
414;-0,0237444652
415;-0,0276593296
416;-0,0323670916
417;-0,0358153898
418;-0,0378034208
419;-0,0328391096
420;-0,0276054522
421;-0,027899369
422;-0,0300764226
423;-0,0338073356
424;-0,0312622466
425;-0,0297051432
426;-0,0321647316
427;-0,03078224
428;-0,0273684208
429;-0,0307470204
430;-0,0317100508
431;-0,0289390584
432;-0,0283477262
433;-0,028612133
434;-0,0297300066
435;-0,0303484856
436;-0,0304493506
437;-0,0295770018
438;-0,0285265604
439;-0,027427916
440;-0,027716375
441;-0,028993243
442;-0,0285178734
443;-0,0283349384
444;-0,0290947362
445;-0,0287352092
446;-0,02792755
447;-0,0296967626
448;-0,0305325292
449;-0,0300265978
450;-0,0288410284
451;-0,0277216208
452;-0,02824663
453;-0,0285371874
454;-0,0286020954
455;-0,0276235232
456;-0,0267367178
457;-0,0266481042
458;-0,0267602626
459;-0,0270009936
460;-0,0257261798
461;-0,0253980404
462;-0,0270331298
463;-0,026427605
464;-0,0250667018
465;-0,0263345404
466;-0,026635974
467;-0,025701135
468;-0,0255168244
469;-0,0256489716
470;-0,0264635504
471;-0,0276628034
472;-0,029182554
473;-0,0288931286
474;-0,0280153826
475;-0,0260331984
476;-0,0250568794
477;-0,0246575342
478;-0,0246459372
479;-0,0253104038
480;-0,027156114
481;-0,0261646256
482;-0,024409595
483;-0,0248430516
484;-0,025238131
485;-0,0255914328
486;-0,025045248
487;-0,0243637432
488;-0,0238422228
489;-0,023656712
490;-0,0237300626
491;-0,0246858772
492;-0,0248319342
493;-0,0229145052
494;-0,0222615262
495;-0,0222653862
496;-0,023042565
497;-0,023883908
498;-0,0248327096
