"lambda";"moy"
325;-0,0164414568
326;0,0152103711
327;0,0161544751
328;-0,0503249756
329;0,0015956795
330;0,0792427795
331;0,0205731906
332;-0,0045004206
333;0,0118897381
334;0,0140687363
335;0,0099039233
336;0,0289677698
337;0,0347611554
338;0,0271982498
339;0,0172091702
340;0,0125716221
341;0,0380609344
342;0,0427343186
343;0,0359604787
344;0,0221102204
345;0,0114389905
346;0,0055486165
347;0,0108001829
348;0,0177140579
349;0,0093937222
350;0,0004996186
351;-0,0088485108
352;-0,0133345526
353;-0,0140285519
354;-0,000418776599999999
355;0,0003943269
356;-0,009604643
357;0,004534992
358;0,0144043736
359;0,0042504953
360;0,0029669409
361;0,0064991793
362;0,0018321759
363;-0,0031343049
364;-0,0084981171
365;-0,0004482187
366;0,0103537571
367;0,0004742536
368;-0,0040796686
369;-0,0027361314
370;-0,0012299457
371;-0,0003736243
372;-0,001301449
373;0,0005611497
374;0,0044058875
375;0,0031892292
376;0,0005718652
377;-0,0045134528
378;-0,0013094812
379;0,0056793921
380;0,0033050362
381;0,0009917751
382;-0,0012709778
383;-0,0020910131
384;-0,0022208824
385;0,0001612373
386;0,0010867164
387;0,0005935848
388;0,0011009069
389;0,001519553
390;0,0012481107
391;0,0005490875
392;-0,0003964787
393;0,0011004902
394;0,0015453951
395;-0,0005128712
396;9,01168999999999e-05
397;0,0016595044
398;-0,0012320774
399;-0,0026286552
400;-0,0020650617
401;-0,0012892394
402;-0,0005048331
403;0,0002119236
404;0,0005054037
405;0,000408118
406;0,000529807
407;0,0006413696
408;0,0006845925
409;-0,00058604
410;-0,0026497238
411;-0,0015296948
412;-0,0004567871
413;0,0004635581
414;0,0008950565
415;0,0011747357
416;0,0022174337
417;0,0019041539
418;-5,81250000000008e-06
419;-0,0007668182
420;-0,0010936385
421;-0,0006980289
422;-0,0001060451
423;0,0006460594
424;0,00084155
425;0,0007599493
426;0,0001388801
427;0,0003735188
428;0,001063382
429;-2,43524e-05
430;-0,0004303758
431;0,0002171873
432;-4,68571e-05
433;-0,0004967161
434;6,22538e-05
435;-7,34162e-05
436;-0,0009325023
437;-0,0006863618
438;-0,0001607141
439;0,0006543132
440;0,0008401763
441;0,000576234
442;-5,25603e-05
443;-0,0003794136
444;1,78718e-05
445;0,0005589058
446;0,0011452217
447;0,0012211381
448;0,0012480032
449;0,0012043881
450;0,0013124994
451;0,0014764776
452;0,0017351143
453;0,0018360749
454;0,0017870751
455;0,0020130761
456;0,0023559206
457;0,0029485156
458;0,0033720326
459;0,0036829945
460;0,0031512927
461;0,0027830852
462;0,0027986329
463;0,0029999221
464;0,0032592898
465;0,0032970059
466;0,0036933953
467;0,0045509248
468;0,004313919
469;0,0039710902
470;0,004435842
471;0,0046524829
472;0,0046569695
473;0,0040857519
474;0,0037015562
475;0,0039897168
476;0,0045285275
477;0,0052029959
478;0,0050779184
479;0,0047675161
480;0,004132402
481;0,0045897403
482;0,0054030378
483;0,0059297222
484;0,0062403701
485;0,0063051132
486;0,0064744135
487;0,0066051578
488;0,0064942808
489;0,0069635817
490;0,0078751488
491;0,007377913
492;0,0072613387
493;0,0082893312
494;0,0089552704
495;0,0094406876
496;0,0102511071
497;0,0107365784
498;0,0107547752
499;0,0112735639
500;0,012016303
501;0,0133237541
502;0,0142060056
503;0,014674584
504;0,0155555591
505;0,0165540872
506;0,0177958941
507;0,0191503548
508;0,0205658614
509;0,0222545765
510;0,0238910149
511;0,0254616325
512;0,027566569
513;0,0298611377
514;0,0320107503
515;0,0342240672
516;0,036537464
517;0,0388772947
518;0,0412527661
519;0,0439608224
520;0,0467455972
521;0,0495856331
522;0,0520366962
523;0,0545991452
524;0,0577030732
525;0,0605224303
526;0,0631451985
527;0,0657389639
528;0,0681819782
529;0,0704133559
530;0,0725043304
531;0,0745022175
532;0,0762289576
533;0,0778252891
534;0,0792699589
535;0,0806086819
536;0,0818703756
537;0,0829414895
538;0,0839459141
539;0,0848945688
540;0,0855503598
541;0,0862222722
542;0,0870055066
543;0,0877177308
544;0,0883796515
545;0,0887239804
546;0,0891519579
547;0,0897142108
548;0,0900568931
549;0,090347401
550;0,0907611698
551;0,0908650435
552;0,0906446202
553;0,0905541712
554;0,0904321333
555;0,0901163267
556;0,0898246818
557;0,0895496542
558;0,0888576588
559;0,0880800808
560;0,0871695221
561;0,086066636
562;0,0848838703
563;0,0838847169
564;0,0827329321
565;0,0813641064
566;0,0799485528
567;0,0784590013
568;0,0767132098
569;0,075164247
570;0,0737948015
571;0,0724292456
572;0,0710110151
573;0,0695150066
574;0,0681996307
575;0,0670002585
576;0,0657467507
577;0,0644981283
578;0,0632732181
579;0,0621652988
580;0,0611316777
581;0,0602862117
582;0,0593965509
583;0,0584538858
584;0,0573648833
585;0,0563275298
586;0,05557453
587;0,054823576
588;0,0540758931
589;0,0533801919
590;0,0526617662
591;0,0518548732
592;0,0511697352
593;0,0505558732
594;0,0499865498
595;0,0494974939
596;0,0491291797
597;0,0486255592
598;0,048094565
599;0,0475992703
600;0,0472050856
601;0,0469130614
602;0,0462198844
603;0,0455485874
604;0,0451577563
605;0,0447542074
606;0,0443431898
607;0,0435713168
608;0,0428515576
609;0,0422680744
610;0,0415320757
611;0,0407413204
612;0,0401563482
613;0,0394098168
614;0,0384426995
615;0,0375731316
616;0,0367617785
617;0,0360757127
618;0,0353402462
619;0,0345551763
620;0,0340168519
621;0,0335212171
622;0,0330449659
623;0,0326279748
624;0,0322484469
625;0,0318525957
626;0,0314956687
627;0,031210899
628;0,0311366812
629;0,0311227185
630;0,0308177581
631;0,0306011414
632;0,0304915677
633;0,0300281773
634;0,0295320929
635;0,0292584723
636;0,028728679
637;0,0279897738
638;0,0270929101
639;0,0262079607
640;0,0253962934
641;0,0245249746
642;0,0236196594
643;0,0227008755
644;0,0216449049
645;0,0203671146
646;0,01948098
647;0,0187502346
648;0,0182286436
649;0,017673182
650;0,0170813281
651;0,0165217639
652;0,0159813962
653;0,0154885648
654;0,0151522502
655;0,0149292804
656;0,0143516279
657;0,0137634785
658;0,0132005562
659;0,0125836895
660;0,0119358292
661;0,0111241335
662;0,0104687891
663;0,0100358209
664;0,0094592476
665;0,0088708072
666;0,0084399043
667;0,0079371362
668;0,0073662482
669;0,0070364244
670;0,006744485
671;0,0064655471
672;0,0062302543
673;0,006023157
674;0,0060654538
