id,xSite,ySite,zSite,radius,N_mes_600_655,N_mes_655_665,N_sim_600_655,N_sim_655_665
0,110.0,930.0,1000.0,10.0,12.0417,2.41383,13710,14059
1,210.0,930.0,1000.0,10.0,12.51153,2.53123,14663,14864
2,310.0,930.0,1000.0,10.0,13.43376,2.69498,15851,15945
3,410.0,930.0,1000.0,10.0,13.97095,2.81541,16543,16740
4,510.0,930.0,1000.0,10.0,14.61062,2.95356,17367,17652
5,610.0,930.0,1000.0,10.0,15.36749,3.05641,18342,18331
6,710.0,930.0,1000.0,10.0,15.7308,3.17139,18810,19090
7,810.0,930.0,1000.0,10.0,16.06305,3.22926,19238,19472
8,910.0,930.0,1000.0,10.0,16.58704,3.31469,19913,20036
9,1010.0,930.0,1000.0,10.0,16.67088,3.33696,20021,20183
10,1110.0,930.0,1000.0,10.0,16.78965,3.35453,20174,20299
11,1210.0,930.0,1000.0,10.0,17.9562,3.57724,20098,19968
12,110.0,1030.0,1000.0,10.0,11.82995,2.40596,13785,14037
13,210.0,1030.0,1000.0,10.0,12.56975,2.50184,14738,14670
14,310.0,1030.0,1000.0,10.0,13.25987,2.68271,15627,15864
15,410.0,1030.0,1000.0,10.0,14.22635,2.83253,16872,16853
16,510.0,1030.0,1000.0,10.0,14.7387,2.96613,17532,17735
17,610.0,1030.0,1000.0,10.0,15.19516,3.07838,18120,18476
18,710.0,1030.0,1000.0,10.0,16.06538,3.19033,19241,19215
19,810.0,1030.0,1000.0,10.0,16.52727,3.25334,19836,19631
20,910.0,1030.0,1000.0,10.0,16.56531,3.32939,19885,20133
21,1010.0,1030.0,1000.0,10.0,16.72988,3.35726,20097,20317
22,1110.0,1030.0,1000.0,10.0,16.70581,3.40649,20066,20642
23,1210.0,1030.0,1000.0,10.0,16.8176,3.32272,20210,20089
24,110.0,1130.0,1000.0,10.0,11.9068,2.39929,13884,13993
25,210.0,1130.0,1000.0,10.0,12.791,2.54926,15023,14983
26,310.0,1130.0,1000.0,10.0,13.21174,2.69438,15565,15941
27,410.0,1130.0,1000.0,10.0,14.18443,2.83843,16818,16892
28,510.0,1130.0,1000.0,10.0,14.88154,2.9884,17716,17882
29,610.0,1130.0,1000.0,10.0,16.2297,3.25052,18492,18451
30,710.0,1130.0,1000.0,10.0,16.0188,3.23228,19181,19492
31,810.0,1130.0,1000.0,10.0,16.34329,3.26349,19599,19698
32,910.0,1130.0,1000.0,10.0,16.77723,3.35816,20158,20323
33,1010.0,1130.0,1000.0,10.0,16.7749,3.41133,20155,20674
34,1110.0,1130.0,1000.0,10.0,16.80285,3.39543,20191,20569
35,1210.0,1130.0,1000.0,10.0,17.02254,3.43178,20474,20809
36,110.0,1230.0,1000.0,10.0,11.92388,2.4414,13906,14271
37,210.0,1230.0,1000.0,10.0,12.72889,2.57577,14943,15158
38,310.0,1230.0,1000.0,10.0,13.60687,2.72725,16074,16158
