id,n_photons,elevation
0,165643.0,1000
1,175737.0,1000
2,188073.0,1000
3,200280.0,1000
4,212455.0,1000
5,222717.0,1000
6,233474.0,1000
7,239175.0,1000
8,244368.0,1000
9,247736.0,1000
10,248561.0,1000
11,236676.0,1000
12,165623.0,1000
13,177107.0,1000
14,188701.0,1000
15,200306.0,1000
16,213795.0,1000
17,224358.0,1000
18,232921.0,1000
19,240475.0,1000
20,244830.0,1000
21,248317.0,1000
22,247999.0,1000
23,248219.0,1000
24,165875.0,1000
25,176710.0,1000
26,190580.0,1000
27,202275.0,1000
28,214310.0,1000
29,225894.0,1000
30,235591.0,1000
31,242306.0,1000
32,248185.0,1000
33,251532.0,1000
34,251784.0,1000
35,251917.0,1000
36,166597.0,1000
37,178647.0,1000
38,191421.0,1000
39,205045.0,1000
40,217569.0,1000
41,229737.0,1000
42,238353.0,1000
43,245840.0,1000
44,251274.0,1000
45,253758.0,1000
46,255647.0,1000
47,255148.0,1000
48,167474.0,1000
49,179365.0,1000
50,191924.0,1000
51,204478.0,1000
52,218377.0,1000
53,229442.0,1000
54,240287.0,1000
55,247061.0,1000
56,251148.0,1000
57,253834.0,1000
58,256077.0,1000
59,255831.0,1000
60,172167.0,1000
61,181423.0,1000
62,193254.0,1000
63,206818.0,1000
64,218905.0,1000
65,229762.0,1000
66,238157.0,1000
67,245645.0,1000
68,249714.0,1000
69,253072.0,1000
70,254785.0,1000
71,255394.0,1000
72,172030.0,1000
73,180071.0,1000
74,191323.0,1000
75,204900.0,1000
76,216948.0,1000
77,227900.0,1000
78,237512.0,1000
79,244667.0,1000
80,249927.0,1000
81,250734.0,1000
82,252278.0,1000
83,251922.0,1000
84,168840.0,1000
85,177871.0,1000
86,189721.0,1000
87,201415.0,1000
88,214454.0,1000
89,226278.0,1000
90,234158.0,1000
91,242265.0,1000
92,245563.0,1000
93,248822.0,1000
94,248823.0,1000
95,249246.0,1000
96,163924.0,1000
97,173336.0,1000
98,184877.0,1000
99,196195.0,1000
100,209058.0,1000
101,220231.0,1000
102,228744.0,1000
103,236385.0,1000
104,238980.0,1000
105,242272.0,1000
106,241991.0,1000
107,242784.0,1000
108,155135.0,1000
109,165634.0,1000
110,177380.0,1000
111,188809.0,1000
112,200591.0,1000
113,211233.0,1000
114,218986.0,1000
115,226129.0,1000
116,229309.0,1000
117,231602.0,1000
118,232345.0,1000
119,232516.0,1000
120,179155.0,1400
121,188661.0,1400
122,200966.0,1400
123,215874.0,1400
124,231066.0,1400
125,246106.0,1400
126,256762.0,1400
127,265361.0,1400
128,268540.0,1400
129,269734.0,1400
130,269825.0,1400
131,270575.0,1400
132,180423.0,1400
133,190274.0,1400
134,204128.0,1400
135,219313.0,1400
136,237193.0,1400
137,251303.0,1400
138,263831.0,1400
139,270230.0,1400
140,273091.0,1400
141,274552.0,1400
142,273660.0,1400
143,274015.0,1400
144,182465.0,1400
145,193935.0,1400
146,208762.0,1400
147,227833.0,1400
148,246709.0,1400
149,264413.0,1400
150,278165.0,1400
151,284473.0,1400
152,285838.0,1400
153,284888.0,1400
154,284238.0,1400
155,283848.0,1400
156,186825.0,1400
157,198918.0,1400
158,217191.0,1400
159,239073.0,1400
160,262511.0,1400
161,282973.0,1400
162,296982.0,1400
163,304306.0,1400
164,304427.0,1400
165,301188.0,1400
166,296990.0,1400
167,296408.0,1400
168,191000.0,1400
169,206267.0,1400
170,227668.0,1400
171,254469.0,1400
172,283031.0,1400
173,306045.0,1400
174,324677.0,1400
175,330687.0,1400
176,328800.0,1400
177,320849.0,1400
178,314317.0,1400
179,313352.0,1400
180,194442.0,1400
181,211204.0,1400
182,236747.0,1400
183,268798.0,1400
184,303271.0,1400
185,332196.0,1400
186,351773.0,1400
187,357703.0,1400
188,352866.0,1400
189,340921.0,1400
190,332105.0,1400
191,327739.0,1400
192,194483.0,1400
193,214694.0,1400
194,242587.0,1400
195,278986.0,1400
196,316911.0,1400
197,352594.0,1400
198,374477.0,1400
199,379066.0,1400
200,371345.0,1400
201,355658.0,1400
202,342624.0,1400
203,338388.0,1400
204,189788.0,1400
205,212015.0,1400
206,242892.0,1400
207,281770.0,1400
208,322557.0,1400
209,359791.0,1400
210,384570.0,1400
211,387969.0,1400
212,377065.0,1400
213,358864.0,1400
214,344254.0,1400
215,340356.0,1400
216,183103.0,1400
217,203656.0,1400
218,235139.0,1400
219,274022.0,1400
220,314421.0,1400
221,351822.0,1400
222,375095.0,1400
223,379344.0,1400
224,366875.0,1400
225,349773.0,1400
226,334486.0,1400
227,329169.0,1400
228,169444.0,1400
229,191644.0,1400
230,219466.0,1400
231,255633.0,1400
232,293070.0,1400
233,326211.0,1400
234,346134.0,1400
235,350385.0,1400
236,341918.0,1400
237,325634.0,1400
238,313284.0,1400
239,309331.0,1400
