id,n_photons,elevation
0,25171.0,1000
1,26776.0,1000
2,28590.0,1000
3,30498.0,1000
4,31840.0,1000
5,33064.0,1000
6,34749.0,1000
7,35720.0,1000
8,36002.0,1000
9,36884.0,1000
10,36425.0,1000
11,34846.0,1000
12,25493.0,1000
13,26573.0,1000
14,28701.0,1000
15,30315.0,1000
16,31929.0,1000
17,33347.0,1000
18,34314.0,1000
19,35357.0,1000
20,36055.0,1000
21,36734.0,1000
22,36473.0,1000
23,36553.0,1000
24,25126.0,1000
25,27042.0,1000
26,28559.0,1000
27,30186.0,1000
28,32220.0,1000
29,33744.0,1000
30,34785.0,1000
31,35924.0,1000
32,36034.0,1000
33,36985.0,1000
34,36666.0,1000
35,36881.0,1000
36,25560.0,1000
37,27296.0,1000
38,28929.0,1000
39,30338.0,1000
40,32508.0,1000
41,33882.0,1000
42,34945.0,1000
43,36049.0,1000
44,36766.0,1000
45,36803.0,1000
46,37509.0,1000
47,37619.0,1000
48,25586.0,1000
49,27288.0,1000
50,28932.0,1000
51,30636.0,1000
52,32650.0,1000
53,34107.0,1000
54,35135.0,1000
55,36032.0,1000
56,37248.0,1000
57,37266.0,1000
58,37756.0,1000
59,37228.0,1000
60,26143.0,1000
61,27300.0,1000
62,28835.0,1000
63,30624.0,1000
64,31903.0,1000
65,33557.0,1000
66,34840.0,1000
67,35734.0,1000
68,36680.0,1000
69,36754.0,1000
70,37120.0,1000
71,37026.0,1000
72,26065.0,1000
73,27594.0,1000
74,29063.0,1000
75,30209.0,1000
76,31851.0,1000
77,33452.0,1000
78,34489.0,1000
79,35130.0,1000
80,36238.0,1000
81,36495.0,1000
82,36683.0,1000
83,36521.0,1000
84,25874.0,1000
85,27521.0,1000
86,28593.0,1000
87,30150.0,1000
88,31835.0,1000
89,33112.0,1000
90,34533.0,1000
91,35351.0,1000
92,35686.0,1000
93,36090.0,1000
94,35847.0,1000
95,36439.0,1000
96,25243.0,1000
97,26639.0,1000
98,28183.0,1000
99,29906.0,1000
100,31143.0,1000
101,32479.0,1000
102,33613.0,1000
103,34591.0,1000
104,35003.0,1000
105,35420.0,1000
106,35642.0,1000
107,35722.0,1000
108,24901.0,1000
109,25896.0,1000
110,26908.0,1000
111,28677.0,1000
112,30205.0,1000
113,31868.0,1000
114,32670.0,1000
115,33246.0,1000
116,33766.0,1000
117,34030.0,1000
118,34586.0,1000
119,34501.0,1000
120,28673.0,1400
121,30111.0,1400
122,31975.0,1400
123,33657.0,1400
124,35762.0,1400
125,37618.0,1400
126,38946.0,1400
127,39920.0,1400
128,40590.0,1400
129,40762.0,1400
130,41099.0,1400
131,41412.0,1400
132,29030.0,1400
133,29928.0,1400
134,31921.0,1400
135,34204.0,1400
136,36269.0,1400
137,38138.0,1400
138,39723.0,1400
139,40494.0,1400
140,41035.0,1400
141,41384.0,1400
142,41429.0,1400
143,41300.0,1400
144,29123.0,1400
145,30726.0,1400
146,32764.0,1400
147,34927.0,1400
148,37291.0,1400
149,39472.0,1400
150,40888.0,1400
151,42096.0,1400
152,42502.0,1400
153,42211.0,1400
154,42381.0,1400
155,42482.0,1400
156,29273.0,1400
157,31341.0,1400
158,33627.0,1400
159,36298.0,1400
160,38991.0,1400
161,41394.0,1400
162,43464.0,1400
163,44376.0,1400
164,44380.0,1400
165,44206.0,1400
166,44004.0,1400
167,44053.0,1400
168,30264.0,1400
169,31919.0,1400
170,34497.0,1400
171,37738.0,1400
172,41255.0,1400
173,43930.0,1400
174,46220.0,1400
175,47124.0,1400
176,46673.0,1400
177,46285.0,1400
178,45905.0,1400
179,45674.0,1400
180,30003.0,1400
181,32719.0,1400
182,35701.0,1400
183,39450.0,1400
184,43230.0,1400
185,46776.0,1400
186,48738.0,1400
187,49868.0,1400
188,49232.0,1400
189,48141.0,1400
190,47443.0,1400
191,46883.0,1400
192,30475.0,1400
193,32637.0,1400
194,36246.0,1400
195,40436.0,1400
196,44689.0,1400
197,48754.0,1400
198,51008.0,1400
199,52388.0,1400
200,51194.0,1400
201,50018.0,1400
202,48570.0,1400
203,48337.0,1400
204,29960.0,1400
205,32569.0,1400
206,35847.0,1400
207,40324.0,1400
208,45454.0,1400
209,49303.0,1400
210,52212.0,1400
211,53013.0,1400
212,51513.0,1400
213,49800.0,1400
214,48131.0,1400
215,47802.0,1400
216,28868.0,1400
217,31691.0,1400
218,35457.0,1400
219,39583.0,1400
220,43946.0,1400
221,48372.0,1400
222,51205.0,1400
223,51329.0,1400
224,50818.0,1400
225,48754.0,1400
226,47295.0,1400
227,46868.0,1400
228,27521.0,1400
229,30208.0,1400
230,33423.0,1400
231,38039.0,1400
232,41542.0,1400
233,45566.0,1400
234,47576.0,1400
235,48480.0,1400
236,47842.0,1400
237,46492.0,1400
238,45393.0,1400
239,44542.0,1400
