id,n_photons,elevation
0,44603.0,1000
1,49426.0,1000
2,53444.0,1000
3,57265.0,1000
4,61114.0,1000
5,64892.0,1000
6,68049.0,1000
7,69014.0,1000
8,70539.0,1000
9,71542.0,1000
10,69641.0,1000
11,76322.0,1000
12,44707.0,1000
13,49235.0,1000
14,53004.0,1000
15,57492.0,1000
16,61106.0,1000
17,65483.0,1000
18,68578.0,1000
19,69713.0,1000
20,71603.0,1000
21,72378.0,1000
22,71397.0,1000
23,69921.0,1000
24,44813.0,1000
25,49218.0,1000
26,53373.0,1000
27,57108.0,1000
28,61666.0,1000
29,65421.0,1000
30,69064.0,1000
31,70440.0,1000
32,71286.0,1000
33,72617.0,1000
34,72773.0,1000
35,73435.0,1000
36,44013.0,1000
37,48110.0,1000
38,52104.0,1000
39,56213.0,1000
40,60776.0,1000
41,65036.0,1000
42,68289.0,1000
43,69547.0,1000
44,70485.0,1000
45,71992.0,1000
46,73037.0,1000
47,72871.0,1000
48,40570.0,1000
49,44049.0,1000
50,48176.0,1000
51,51874.0,1000
52,55702.0,1000
53,59451.0,1000
54,62093.0,1000
55,63855.0,1000
56,64762.0,1000
57,65889.0,1000
58,66381.0,1000
59,66865.0,1000
60,34646.0,1000
61,36959.0,1000
62,39436.0,1000
63,42483.0,1000
64,45627.0,1000
65,48365.0,1000
66,51222.0,1000
67,51622.0,1000
68,52234.0,1000
69,53381.0,1000
70,53906.0,1000
71,53987.0,1000
72,33560.0,1000
73,35519.0,1000
74,37689.0,1000
75,40574.0,1000
76,42960.0,1000
77,45616.0,1000
78,48440.0,1000
79,49023.0,1000
80,49793.0,1000
81,50746.0,1000
82,51525.0,1000
83,50933.0,1000
84,33766.0,1000
85,35107.0,1000
86,37649.0,1000
87,40290.0,1000
88,43249.0,1000
89,46195.0,1000
90,48248.0,1000
91,49121.0,1000
92,50011.0,1000
93,50354.0,1000
94,51368.0,1000
95,51224.0,1000
96,33507.0,1000
97,35266.0,1000
98,37658.0,1000
99,40625.0,1000
100,43269.0,1000
101,45875.0,1000
102,48556.0,1000
103,48697.0,1000
104,49782.0,1000
105,50200.0,1000
106,51009.0,1000
107,50619.0,1000
108,33145.0,1000
109,34375.0,1000
110,36977.0,1000
111,39523.0,1000
112,42473.0,1000
113,44992.0,1000
114,47484.0,1000
115,48231.0,1000
116,48447.0,1000
117,49348.0,1000
118,49636.0,1000
119,49637.0,1000
120,39145.0,1400
121,41519.0,1400
122,44591.0,1400
123,48012.0,1400
124,52075.0,1400
125,55425.0,1400
126,59025.0,1400
127,59708.0,1400
128,60430.0,1400
129,61154.0,1400
130,61677.0,1400
131,61125.0,1400
132,39205.0,1400
133,41569.0,1400
134,44979.0,1400
135,48822.0,1400
136,52257.0,1400
137,56678.0,1400
138,59760.0,1400
139,59850.0,1400
140,61143.0,1400
141,61081.0,1400
142,60969.0,1400
143,61515.0,1400
144,38916.0,1400
145,41784.0,1400
146,45716.0,1400
147,49733.0,1400
148,53765.0,1400
149,58135.0,1400
150,61503.0,1400
151,62165.0,1400
152,62505.0,1400
153,62993.0,1400
154,62119.0,1400
155,62245.0,1400
156,39207.0,1400
157,41696.0,1400
158,45568.0,1400
159,50752.0,1400
160,56034.0,1400
161,60923.0,1400
162,64652.0,1400
163,65013.0,1400
164,65698.0,1400
165,65261.0,1400
166,64187.0,1400
167,64477.0,1400
168,39044.0,1400
169,42678.0,1400
170,46677.0,1400
171,52569.0,1400
172,59478.0,1400
173,64352.0,1400
174,69646.0,1400
175,70117.0,1400
176,69580.0,1400
177,68531.0,1400
178,66782.0,1400
179,65581.0,1400
180,38644.0,1400
181,42667.0,1400
182,47519.0,1400
183,54661.0,1400
184,62113.0,1400
185,69381.0,1400
186,74408.0,1400
187,74363.0,1400
188,73092.0,1400
189,71356.0,1400
190,68658.0,1400
191,68116.0,1400
192,37879.0,1400
193,42308.0,1400
194,48361.0,1400
195,56192.0,1400
196,65200.0,1400
197,73015.0,1400
198,79931.0,1400
199,79074.0,1400
200,76976.0,1400
201,73322.0,1400
202,69476.0,1400
203,68347.0,1400
204,37247.0,1400
205,41359.0,1400
206,47551.0,1400
207,56144.0,1400
208,66107.0,1400
209,75010.0,1400
210,81967.0,1400
211,81295.0,1400
212,78609.0,1400
213,74714.0,1400
214,70537.0,1400
215,68718.0,1400
216,35664.0,1400
217,40307.0,1400
218,46674.0,1400
219,55837.0,1400
220,65369.0,1400
221,74758.0,1400
222,81156.0,1400
223,80538.0,1400
224,77390.0,1400
225,73194.0,1400
226,68760.0,1400
227,67405.0,1400
228,34855.0,1400
229,38820.0,1400
230,44872.0,1400
231,52422.0,1400
232,61363.0,1400
233,70556.0,1400
234,76470.0,1400
235,75207.0,1400
236,73357.0,1400
237,69506.0,1400
238,65547.0,1400
239,64144.0,1400
