lambda,moy
325,0.0594432707
326,0.0898049016
327,0.1030024359
328,0.0482060125
329,0.0930280254
330,0.1527720057
331,0.1510232464
332,0.152230293
333,0.1615291807
334,0.1526239346
335,0.1353848557
336,0.1275961605
337,0.1263337755
338,0.1335755654
339,0.0960683576
340,0.0658781628
341,0.103931042
342,0.1219204384
343,0.1290662814
344,0.1259611661
345,0.122532521
346,0.1208871138
347,0.1142892141
348,0.1057526467
349,0.1017719357
350,0.1011585389
351,0.1029267751
352,0.105032033
353,0.1073454054
354,0.1104782736
355,0.1102666499
356,0.1065657661
357,0.115603097
358,0.1201024048
359,0.1072562653
360,0.1033465473
361,0.1044552132
362,0.1069922085
363,0.1096397588
364,0.1131160041
365,0.1169982188
366,0.120647422
367,0.1213906857
368,0.1181923187
369,0.1102752841
370,0.1126162447
371,0.115975693
372,0.1151668458
373,0.1151036133
374,0.1155666249
375,0.1177988224
376,0.1188155815
377,0.1165498438
378,0.1174022731
379,0.1196177596
380,0.118534433
381,0.1162958788
382,0.1122427746
383,0.1150627579
384,0.119303502
385,0.1194975827
386,0.1198339324
387,0.1202973987
388,0.1227652869
389,0.1244093979
390,0.1224328231
391,0.1231999775
392,0.1258208827
393,0.1267800831
394,0.1272730023
395,0.1270468361
396,0.1256987638
397,0.1240493831
398,0.1258125476
399,0.1260709713
400,0.1243031824
401,0.1245931715
402,0.1251453109
403,0.1240370552
404,0.1235030143
405,0.1234796424
406,0.1238267808
407,0.1243161276
408,0.1251325543
409,0.1244271362
410,0.1228027967
411,0.1226802714
412,0.1229323869
413,0.1237904317
414,0.1234690961
415,0.1227952438
416,0.1235372601
417,0.12407199
418,0.124380971
419,0.1226902414
420,0.1211543035
421,0.1223658495
422,0.1225183419
423,0.1218115817
424,0.1218402736
425,0.1218999848
426,0.1218489996
427,0.1216201175
428,0.1213015269
429,0.1210014358
430,0.1209972424
431,0.1214557462
432,0.1210589822
433,0.1204851699
434,0.1207835495
435,0.1204387073
436,0.1194180361
437,0.1199163867
438,0.1205648798
439,0.1207135574
440,0.1208993949
441,0.1211119264
442,0.1205967087
443,0.1202273852
444,0.1202943378
445,0.121024272
446,0.1220203068
447,0.1217530217
448,0.1217801271
449,0.1222352793
450,0.1223947987
451,0.1225774552
452,0.1234857302
453,0.1240904962
454,0.1244026132
455,0.1240747822
456,0.1239631205
457,0.1248840215
458,0.1251489585
459,0.1249883373
460,0.1248879996
461,0.1248657208
462,0.1249961093
463,0.1252306396
464,0.1254922233
465,0.1255538836
466,0.1255321893
467,0.1254021438
468,0.1250447884
469,0.1246911573
470,0.1246209573
471,0.1248326167
472,0.125284075
473,0.125017548
474,0.1248221829
475,0.1250321808
476,0.1252997035
477,0.125595412
478,0.1254523399
479,0.1253478138
480,0.125307972
481,0.1255600042
482,0.125926227
483,0.1263962984
484,0.1265582367
485,0.1263690864
486,0.1268060191
487,0.1273088311
488,0.127577856
489,0.1278524778
490,0.1281296928
491,0.1287706982
492,0.1294109887
493,0.1300011553
494,0.1308164681
495,0.1317209729
496,0.1324112163
497,0.1332112888
498,0.1341867684
499,0.1350440503
500,0.1359201617
501,0.1372770706
502,0.1387520538
503,0.140342397
504,0.1416668337
505,0.1430975619
506,0.1451083888
507,0.1469849806
508,0.1487556942
509,0.1505893876
510,0.1525273642
511,0.1547279771
512,0.1571113766
513,0.1595400382
514,0.1619905889
515,0.1642338817
516,0.1662340175
517,0.1687500474
518,0.1713435094
519,0.1738530387
520,0.1763278705
521,0.1787609311
522,0.1809710212
523,0.1831520922
524,0.1854190653
525,0.1876420861
526,0.1898160236
527,0.1917123535
528,0.1936073636
529,0.1955424153
530,0.1971310511
531,0.198548125
532,0.1996624106
533,0.2007594164
534,0.2018360706
535,0.2026352793
536,0.2033856668
537,0.2042061487
538,0.2047818104
539,0.2051665318
540,0.2057055433
541,0.2062010489
542,0.2065715909
543,0.2067997413
544,0.2069570851
545,0.2072446487
546,0.2074669047
547,0.2075920801
548,0.2077960637
549,0.2080056311
550,0.2080741604
551,0.2080012072
552,0.2077800976
553,0.2077463635
554,0.2076572381
555,0.2072527379
556,0.2068339027
557,0.2064045965
558,0.2056857118
559,0.2050083133
560,0.2044540437
561,0.2035332368
562,0.2024541918
563,0.2015530913
564,0.2005654747
565,0.1994539174
566,0.1982273733
567,0.1969548275
568,0.1956826449
569,0.1944881724
570,0.1933607007
571,0.1920675326
572,0.1907498477
573,0.1895044246
574,0.1884970149
575,0.1876420322
576,0.1864990479
577,0.1853896177
578,0.1843602048
579,0.1835773325
580,0.1828517064
581,0.1816783323
582,0.1807901981
583,0.180235999
584,0.1793360962
585,0.1784231676
586,0.1777088687
587,0.1769230441
588,0.1760828616
589,0.1753231578
590,0.1746099292
591,0.1739745148
592,0.1732541654
593,0.1725004548
594,0.1719305216
595,0.1714459338
596,0.1710900283
597,0.1704379272
598,0.1697516634
599,0.1693974812
600,0.1688868464
601,0.168212714
602,0.1677655878
603,0.1673098283
604,0.1666678192
605,0.1661900479
606,0.1658293852
607,0.1652111157
608,0.1645375655
609,0.163766323
610,0.1629823813
611,0.1621864138
612,0.1611763992
613,0.1602959958
614,0.1595862076
615,0.1586625977
616,0.1577387875
617,0.1570899548
618,0.1563640969
619,0.155562813
620,0.1547239982
621,0.1540198337
622,0.1537187641
623,0.1531637407
624,0.152447436
625,0.1522244711
626,0.1519498693
627,0.1515605969
628,0.1511744751
629,0.1507991292
630,0.1505231111
631,0.150188066
632,0.1497807163
633,0.1491938423
634,0.1485834355
635,0.1480507989
636,0.1472521765
637,0.1462361336
638,0.1450259581
639,0.1437885135
640,0.1425329407
641,0.1412440268
642,0.1399321693
643,0.138372326
644,0.1368756366
645,0.1354866277
646,0.1341791363
647,0.1329346916
648,0.1319966086
649,0.1310772697
650,0.1301787487
651,0.129472347
652,0.1288106393
653,0.1281774945
654,0.127590415
655,0.1270373806
656,0.126410391
657,0.1257423929
658,0.1249915848
659,0.1241787846
660,0.1233343339
661,0.1223917319
662,0.1214507442
663,0.1205110743
664,0.1197905518
665,0.1191432898
666,0.1185496752
667,0.1180836488
668,0.1177396188
669,0.1176210258
670,0.1175792006
671,0.1176818441
672,0.1180032623
673,0.1184621885
674,0.1190979273
675,0.1198745828
676,0.1209194885
677,0.1220170839
678,0.1231830519
679,0.1249292274
680,0.1267303643
681,0.1286043739
682,0.1308652128
683,0.1332727038
684,0.1360109542
685,0.1389812924
686,0.1421407286
687,0.1459893308
688,0.1500242544
689,0.154419238
690,0.1592396003
691,0.164285585
692,0.170142825
693,0.1761752063
694,0.1825425978
695,0.1893643637
696,0.1963128364
697,0.203307211
698,0.2104937645
699,0.217903117
700,0.2250405635
701,0.2320968265
702,0.2391769291
703,0.2461556005
704,0.2530433504
705,0.2596345842
706,0.2661754848
707,0.2727087925
708,0.2791381046
709,0.2855078725
710,0.2922340056
711,0.2988577716
712,0.305363924
713,0.3120991671
714,0.3188921116
715,0.3257829078
716,0.3326258678
717,0.3394201957
718,0.3463152611
719,0.3531789011
720,0.3599781559
721,0.3668182469
722,0.3736737647
723,0.3803374213
724,0.3868776511
725,0.3932191494
726,0.3995205951
727,0.4057511462
728,0.4114517736
729,0.4170562757
730,0.4225498407
731,0.4276791795
732,0.4326605163
733,0.4374165573
734,0.441828375
735,0.4459464075
736,0.4497303475
737,0.4533719303
738,0.4567387928
739,0.4597128047
740,0.4624672942
741,0.4650456831
742,0.4673469963
743,0.4691769588
744,0.4708797416
745,0.4724995563
746,0.4737517517
747,0.4748412903
748,0.4757457867
749,0.476451477
750,0.4770545881
751,0.4774026756
752,0.4777696607
753,0.4781515982
754,0.478282441
755,0.4784108131
756,0.4785767945
757,0.4786557433
758,0.4786841253
759,0.4784679977
760,0.478290739
761,0.4781737161
762,0.4778950719
763,0.4775783952
764,0.4773485386
765,0.4770596332
766,0.4767104735
767,0.4763515284
768,0.4760168394
769,0.4757779071
770,0.4754272854
771,0.4749989742
772,0.4747917513
773,0.4745114236
774,0.4740693091
775,0.4738439607
776,0.4737001734
777,0.4734002209
778,0.4731548653
779,0.4729843477
780,0.4727450941
781,0.4725034539
782,0.4723515598
783,0.4722363666
784,0.4721543206
785,0.4719129411
786,0.4717146092
787,0.4716973693
788,0.4715300125
789,0.4712716921
790,0.4712142813
791,0.4711169613
792,0.4709482457
793,0.4707781616
794,0.4706377109
