id,n_photons,elevation
0,14629.0,1000
1,15638.0,1000
2,16512.0,1000
3,17582.0,1000
4,18954.0,1000
5,19619.0,1000
6,20195.0,1000
7,20644.0,1000
8,20847.0,1000
9,21080.0,1000
10,21345.0,1000
11,21371.0,1000
12,14287.0,1000
13,15368.0,1000
14,16481.0,1000
15,17539.0,1000
16,18413.0,1000
17,19202.0,1000
18,19923.0,1000
19,20473.0,1000
20,20768.0,1000
21,21043.0,1000
22,21065.0,1000
23,21266.0,1000
24,14050.0,1000
25,15117.0,1000
26,16357.0,1000
27,17235.0,1000
28,18545.0,1000
29,19153.0,1000
30,19534.0,1000
31,20285.0,1000
32,20650.0,1000
33,20803.0,1000
34,20848.0,1000
35,20955.0,1000
36,14417.0,1000
37,14970.0,1000
38,16182.0,1000
39,17413.0,1000
40,18434.0,1000
41,19101.0,1000
42,19957.0,1000
43,20511.0,1000
44,20709.0,1000
45,20836.0,1000
46,20849.0,1000
47,20734.0,1000
48,14721.0,1000
49,15673.0,1000
50,16393.0,1000
51,17554.0,1000
52,18740.0,1000
53,19524.0,1000
54,20111.0,1000
55,20924.0,1000
56,21342.0,1000
57,21342.0,1000
58,21262.0,1000
59,21727.0,1000
60,15558.0,1000
61,16224.0,1000
62,17161.0,1000
63,18133.0,1000
64,19229.0,1000
65,20038.0,1000
66,20674.0,1000
67,21257.0,1000
68,21436.0,1000
69,21449.0,1000
70,21939.0,1000
71,21659.0,1000
72,15595.0,1000
73,16255.0,1000
74,17058.0,1000
75,18069.0,1000
76,19155.0,1000
77,19669.0,1000
78,20541.0,1000
79,21256.0,1000
80,21607.0,1000
81,22151.0,1000
82,21733.0,1000
83,21650.0,1000
84,15210.0,1000
85,16002.0,1000
86,16872.0,1000
87,17821.0,1000
88,18601.0,1000
89,19648.0,1000
90,20296.0,1000
91,20788.0,1000
92,21041.0,1000
93,21566.0,1000
94,21434.0,1000
95,21295.0,1000
96,14810.0,1000
97,15511.0,1000
98,16479.0,1000
99,17294.0,1000
100,18228.0,1000
101,19148.0,1000
102,20010.0,1000
103,20350.0,1000
104,20586.0,1000
105,20863.0,1000
106,20979.0,1000
107,20796.0,1000
108,14030.0,1000
109,15323.0,1000
110,15919.0,1000
111,16543.0,1000
112,17808.0,1000
113,18370.0,1000
114,18838.0,1000
115,19155.0,1000
116,19955.0,1000
117,20020.0,1000
118,19739.0,1000
119,19799.0,1000
120,15311.0,1400
121,15965.0,1400
122,17059.0,1400
123,18201.0,1400
124,19775.0,1400
125,20917.0,1400
126,21769.0,1400
127,22057.0,1400
128,22274.0,1400
129,22009.0,1400
130,22240.0,1400
131,22292.0,1400
132,15305.0,1400
133,16124.0,1400
134,17160.0,1400
135,18727.0,1400
136,19976.0,1400
137,20929.0,1400
138,22299.0,1400
139,22638.0,1400
140,22776.0,1400
141,22169.0,1400
142,22435.0,1400
143,22314.0,1400
144,15430.0,1400
145,16103.0,1400
146,17593.0,1400
147,18652.0,1400
148,20512.0,1400
149,21750.0,1400
150,22822.0,1400
151,23350.0,1400
152,23186.0,1400
153,23127.0,1400
154,23162.0,1400
155,23084.0,1400
156,15744.0,1400
157,16493.0,1400
158,18129.0,1400
159,19618.0,1400
160,21432.0,1400
161,23043.0,1400
162,24093.0,1400
163,24748.0,1400
164,24642.0,1400
165,24160.0,1400
166,23998.0,1400
167,23851.0,1400
168,16138.0,1400
169,17146.0,1400
170,18818.0,1400
171,20369.0,1400
172,22838.0,1400
173,24478.0,1400
174,25580.0,1400
175,26340.0,1400
176,25942.0,1400
177,25465.0,1400
178,24902.0,1400
179,24776.0,1400
180,16308.0,1400
181,17529.0,1400
182,19369.0,1400
183,21419.0,1400
184,24195.0,1400
185,26110.0,1400
186,27242.0,1400
187,27914.0,1400
188,27459.0,1400
189,26722.0,1400
190,25925.0,1400
191,25697.0,1400
192,16167.0,1400
193,17396.0,1400
194,19615.0,1400
195,21935.0,1400
196,24515.0,1400
197,27126.0,1400
198,28441.0,1400
199,28924.0,1400
200,28159.0,1400
201,27476.0,1400
202,26337.0,1400
203,26255.0,1400
204,15689.0,1400
205,17215.0,1400
206,19205.0,1400
207,21742.0,1400
208,25030.0,1400
209,27258.0,1400
210,28507.0,1400
211,28875.0,1400
212,28400.0,1400
213,27349.0,1400
214,25964.0,1400
215,26389.0,1400
216,15303.0,1400
217,16609.0,1400
218,18554.0,1400
219,21148.0,1400
220,23750.0,1400
221,26420.0,1400
222,27776.0,1400
223,28124.0,1400
224,27456.0,1400
225,26295.0,1400
226,25405.0,1400
227,25625.0,1400
228,14282.0,1400
229,15691.0,1400
230,17626.0,1400
231,19940.0,1400
232,22124.0,1400
233,24131.0,1400
234,25844.0,1400
235,26086.0,1400
236,25601.0,1400
237,24748.0,1400
238,23974.0,1400
239,23778.0,1400
