id,n_photons,elevation
0,15780.0,1000
1,16278.0,1000
2,17541.0,1000
3,18395.0,1000
4,19669.0,1000
5,20214.0,1000
6,20837.0,1000
7,21139.0,1000
8,22017.0,1000
9,21841.0,1000
10,22186.0,1000
11,22047.0,1000
12,15191.0,1000
13,16010.0,1000
14,17294.0,1000
15,18180.0,1000
16,19357.0,1000
17,20075.0,1000
18,20424.0,1000
19,21056.0,1000
20,21271.0,1000
21,21740.0,1000
22,21930.0,1000
23,21691.0,1000
24,15209.0,1000
25,16239.0,1000
26,17390.0,1000
27,18332.0,1000
28,19441.0,1000
29,19992.0,1000
30,20577.0,1000
31,21333.0,1000
32,21504.0,1000
33,21663.0,1000
34,21480.0,1000
35,21752.0,1000
36,15499.0,1000
37,16095.0,1000
38,17237.0,1000
39,18457.0,1000
40,19520.0,1000
41,20405.0,1000
42,21006.0,1000
43,21643.0,1000
44,21660.0,1000
45,22402.0,1000
46,22216.0,1000
47,21954.0,1000
48,15905.0,1000
49,16931.0,1000
50,17975.0,1000
51,18758.0,1000
52,20376.0,1000
53,21012.0,1000
54,21672.0,1000
55,21962.0,1000
56,22362.0,1000
57,23096.0,1000
58,22683.0,1000
59,22933.0,1000
60,16931.0,1000
61,17768.0,1000
62,19183.0,1000
63,19780.0,1000
64,20451.0,1000
65,21774.0,1000
66,22290.0,1000
67,22606.0,1000
68,23393.0,1000
69,23727.0,1000
70,23450.0,1000
71,23579.0,1000
72,17175.0,1000
73,17703.0,1000
74,18769.0,1000
75,19576.0,1000
76,20847.0,1000
77,21602.0,1000
78,22184.0,1000
79,23111.0,1000
80,23362.0,1000
81,23719.0,1000
82,23507.0,1000
83,23362.0,1000
84,17054.0,1000
85,17922.0,1000
86,18885.0,1000
87,19815.0,1000
88,20570.0,1000
89,21356.0,1000
90,22255.0,1000
91,22753.0,1000
92,22971.0,1000
93,23420.0,1000
94,23295.0,1000
95,23349.0,1000
96,16873.0,1000
97,17245.0,1000
98,18456.0,1000
99,19178.0,1000
100,19981.0,1000
101,20898.0,1000
102,21747.0,1000
103,22247.0,1000
104,22579.0,1000
105,22829.0,1000
106,22720.0,1000
107,22944.0,1000
108,15836.0,1000
109,16588.0,1000
110,17553.0,1000
111,18443.0,1000
112,19335.0,1000
113,20212.0,1000
114,21021.0,1000
115,21117.0,1000
116,21746.0,1000
117,22247.0,1000
118,21907.0,1000
119,21791.0,1000
120,16110.0,1400
121,16849.0,1400
122,17412.0,1400
123,18483.0,1400
124,19492.0,1400
125,20592.0,1400
126,21427.0,1400
127,21503.0,1400
128,21848.0,1400
129,21876.0,1400
130,21966.0,1400
131,22105.0,1400
132,16536.0,1400
133,17169.0,1400
134,17701.0,1400
135,19006.0,1400
136,19623.0,1400
137,20873.0,1400
138,21535.0,1400
139,21930.0,1400
140,22376.0,1400
141,21996.0,1400
142,22267.0,1400
143,22347.0,1400
144,16823.0,1400
145,17302.0,1400
146,18455.0,1400
147,19664.0,1400
148,21087.0,1400
149,21894.0,1400
150,22943.0,1400
151,23255.0,1400
152,23284.0,1400
153,23322.0,1400
154,23475.0,1400
155,23355.0,1400
156,17373.0,1400
157,18074.0,1400
158,19187.0,1400
159,20565.0,1400
160,22280.0,1400
161,23699.0,1400
162,24907.0,1400
163,25465.0,1400
164,25374.0,1400
165,25093.0,1400
166,24627.0,1400
167,24747.0,1400
168,17768.0,1400
169,18523.0,1400
170,20363.0,1400
171,22048.0,1400
172,24219.0,1400
173,25880.0,1400
174,27209.0,1400
175,27810.0,1400
176,27236.0,1400
177,27004.0,1400
178,26356.0,1400
179,26232.0,1400
180,18255.0,1400
181,19578.0,1400
182,21241.0,1400
183,23759.0,1400
184,25784.0,1400
185,28338.0,1400
186,29775.0,1400
187,30012.0,1400
188,29577.0,1400
189,28792.0,1400
190,27745.0,1400
191,27803.0,1400
192,18380.0,1400
193,19785.0,1400
194,21621.0,1400
195,24455.0,1400
196,27600.0,1400
197,29954.0,1400
198,31618.0,1400
199,31455.0,1400
200,31424.0,1400
201,29867.0,1400
202,28963.0,1400
203,28920.0,1400
204,17919.0,1400
205,19511.0,1400
206,21819.0,1400
207,24883.0,1400
208,27626.0,1400
209,30441.0,1400
210,32047.0,1400
211,32597.0,1400
212,31894.0,1400
213,30286.0,1400
214,29137.0,1400
215,28625.0,1400
216,17367.0,1400
217,19007.0,1400
218,21264.0,1400
219,24043.0,1400
220,27203.0,1400
221,29847.0,1400
222,31722.0,1400
223,32053.0,1400
224,31152.0,1400
225,29172.0,1400
226,28636.0,1400
227,27869.0,1400
228,16416.0,1400
229,17659.0,1400
230,20113.0,1400
231,22682.0,1400
232,25721.0,1400
233,27703.0,1400
234,29390.0,1400
235,29737.0,1400
236,28976.0,1400
237,27956.0,1400
238,26916.0,1400
239,26739.0,1400
