id,n_photons,elevation
0,14814.0,1000
1,16068.0,1000
2,17270.0,1000
3,18273.0,1000
4,18973.0,1000
5,19881.0,1000
6,20298.0,1000
7,20926.0,1000
8,21442.0,1000
9,21567.0,1000
10,21524.0,1000
11,21968.0,1000
12,14691.0,1000
13,16141.0,1000
14,17089.0,1000
15,18108.0,1000
16,18910.0,1000
17,19834.0,1000
18,20432.0,1000
19,21143.0,1000
20,21096.0,1000
21,21583.0,1000
22,21592.0,1000
23,21616.0,1000
24,14798.0,1000
25,15949.0,1000
26,17227.0,1000
27,18161.0,1000
28,19125.0,1000
29,19954.0,1000
30,20484.0,1000
31,20761.0,1000
32,21459.0,1000
33,21469.0,1000
34,21778.0,1000
35,22047.0,1000
36,14918.0,1000
37,16051.0,1000
38,17009.0,1000
39,18281.0,1000
40,19038.0,1000
41,19873.0,1000
42,20738.0,1000
43,21272.0,1000
44,21214.0,1000
45,21945.0,1000
46,22114.0,1000
47,22241.0,1000
48,15007.0,1000
49,15950.0,1000
50,17226.0,1000
51,18446.0,1000
52,18894.0,1000
53,19922.0,1000
54,20579.0,1000
55,21257.0,1000
56,21664.0,1000
57,22311.0,1000
58,22329.0,1000
59,22169.0,1000
60,14730.0,1000
61,16134.0,1000
62,17385.0,1000
63,18172.0,1000
64,19146.0,1000
65,19994.0,1000
66,20917.0,1000
67,21547.0,1000
68,21712.0,1000
69,21882.0,1000
70,22019.0,1000
71,22118.0,1000
72,14472.0,1000
73,15529.0,1000
74,16818.0,1000
75,17955.0,1000
76,18764.0,1000
77,19631.0,1000
78,20797.0,1000
79,21140.0,1000
80,21728.0,1000
81,21654.0,1000
82,21937.0,1000
83,22053.0,1000
84,14235.0,1000
85,15165.0,1000
86,16385.0,1000
87,17562.0,1000
88,18316.0,1000
89,19186.0,1000
90,19804.0,1000
91,20824.0,1000
92,21041.0,1000
93,21325.0,1000
94,21570.0,1000
95,21420.0,1000
96,13389.0,1000
97,14354.0,1000
98,15601.0,1000
99,16836.0,1000
100,17406.0,1000
101,18696.0,1000
102,19145.0,1000
103,19540.0,1000
104,19681.0,1000
105,19884.0,1000
106,20273.0,1000
107,20301.0,1000
108,12208.0,1000
109,13563.0,1000
110,14632.0,1000
111,15321.0,1000
112,16426.0,1000
113,16840.0,1000
114,17723.0,1000
115,18375.0,1000
116,18509.0,1000
117,18845.0,1000
118,18764.0,1000
119,18966.0,1000
120,13073.0,1400
121,14465.0,1400
122,15338.0,1400
123,16914.0,1400
124,18145.0,1400
125,19256.0,1400
126,20016.0,1400
127,20948.0,1400
128,20899.0,1400
129,20814.0,1400
130,20841.0,1400
131,21096.0,1400
132,13076.0,1400
133,14405.0,1400
134,15692.0,1400
135,17018.0,1400
136,18311.0,1400
137,19437.0,1400
138,20512.0,1400
139,21085.0,1400
140,21303.0,1400
141,21413.0,1400
142,21145.0,1400
143,21271.0,1400
144,13441.0,1400
145,14726.0,1400
146,16041.0,1400
147,17661.0,1400
148,19348.0,1400
149,20377.0,1400
150,21327.0,1400
151,22227.0,1400
152,22152.0,1400
153,22058.0,1400
154,22043.0,1400
155,21976.0,1400
156,13753.0,1400
157,15170.0,1400
158,16689.0,1400
159,18726.0,1400
160,20564.0,1400
161,21867.0,1400
162,23259.0,1400
163,23657.0,1400
164,23942.0,1400
165,23506.0,1400
166,23384.0,1400
167,23043.0,1400
168,13980.0,1400
169,15493.0,1400
170,17398.0,1400
171,19778.0,1400
172,22092.0,1400
173,23593.0,1400
174,25338.0,1400
175,25721.0,1400
176,25494.0,1400
177,25313.0,1400
178,24610.0,1400
179,24111.0,1400
180,14057.0,1400
181,16010.0,1400
182,18002.0,1400
183,20701.0,1400
184,23538.0,1400
185,25829.0,1400
186,27147.0,1400
187,27759.0,1400
188,27205.0,1400
189,26351.0,1400
190,25576.0,1400
191,25258.0,1400
192,14090.0,1400
193,15728.0,1400
194,18379.0,1400
195,21381.0,1400
196,24330.0,1400
197,27277.0,1400
198,28598.0,1400
199,29362.0,1400
200,28785.0,1400
201,27364.0,1400
202,26533.0,1400
203,26366.0,1400
204,13824.0,1400
205,15618.0,1400
206,18275.0,1400
207,21212.0,1400
208,24404.0,1400
209,27449.0,1400
210,29548.0,1400
211,29592.0,1400
212,28817.0,1400
213,27694.0,1400
214,26176.0,1400
215,25817.0,1400
216,13164.0,1400
217,14844.0,1400
218,17331.0,1400
219,20836.0,1400
220,23696.0,1400
221,26307.0,1400
222,28150.0,1400
223,28645.0,1400
224,27549.0,1400
225,26367.0,1400
226,25169.0,1400
227,24966.0,1400
228,12148.0,1400
229,13706.0,1400
230,15878.0,1400
231,18585.0,1400
232,21178.0,1400
233,23819.0,1400
234,25045.0,1400
235,25652.0,1400
236,24891.0,1400
237,23852.0,1400
238,22750.0,1400
239,22498.0,1400
