id,n_photons,elevation
0,15947.0,1000
1,17263.0,1000
2,18758.0,1000
3,20367.0,1000
4,22315.0,1000
5,23016.0,1000
6,24173.0,1000
7,24813.0,1000
8,25518.0,1000
9,26223.0,1000
10,25886.0,1000
11,25995.0,1000
12,15639.0,1000
13,16503.0,1000
14,18355.0,1000
15,19397.0,1000
16,21018.0,1000
17,21972.0,1000
18,23120.0,1000
19,23595.0,1000
20,24793.0,1000
21,24864.0,1000
22,24857.0,1000
23,24954.0,1000
24,15315.0,1000
25,16340.0,1000
26,17784.0,1000
27,19217.0,1000
28,21065.0,1000
29,22270.0,1000
30,23050.0,1000
31,23633.0,1000
32,24451.0,1000
33,24600.0,1000
34,24576.0,1000
35,24557.0,1000
36,15506.0,1000
37,16801.0,1000
38,18148.0,1000
39,19519.0,1000
40,21321.0,1000
41,22515.0,1000
42,23102.0,1000
43,23820.0,1000
44,24230.0,1000
45,24727.0,1000
46,24532.0,1000
47,24833.0,1000
48,15712.0,1000
49,16883.0,1000
50,18531.0,1000
51,19900.0,1000
52,21433.0,1000
53,23099.0,1000
54,23383.0,1000
55,24387.0,1000
56,24844.0,1000
57,24991.0,1000
58,24722.0,1000
59,25196.0,1000
60,16434.0,1000
61,17302.0,1000
62,18925.0,1000
63,20339.0,1000
64,22042.0,1000
65,22990.0,1000
66,24102.0,1000
67,24521.0,1000
68,25477.0,1000
69,25335.0,1000
70,25761.0,1000
71,25362.0,1000
72,16856.0,1000
73,17439.0,1000
74,18484.0,1000
75,19868.0,1000
76,21703.0,1000
77,22574.0,1000
78,23796.0,1000
79,24363.0,1000
80,25153.0,1000
81,25348.0,1000
82,25273.0,1000
83,25337.0,1000
84,16283.0,1000
85,17072.0,1000
86,18703.0,1000
87,19715.0,1000
88,21399.0,1000
89,22205.0,1000
90,23435.0,1000
91,23926.0,1000
92,24136.0,1000
93,24583.0,1000
94,24803.0,1000
95,24584.0,1000
96,15766.0,1000
97,16594.0,1000
98,17434.0,1000
99,18942.0,1000
100,20536.0,1000
101,21352.0,1000
102,22477.0,1000
103,23027.0,1000
104,23675.0,1000
105,23506.0,1000
106,23302.0,1000
107,23490.0,1000
108,14681.0,1000
109,15854.0,1000
110,16537.0,1000
111,17789.0,1000
112,19339.0,1000
113,20299.0,1000
114,21085.0,1000
115,21687.0,1000
116,22197.0,1000
117,22308.0,1000
118,22212.0,1000
119,22204.0,1000
120,14068.0,1400
121,14703.0,1400
122,15884.0,1400
123,17174.0,1400
124,18635.0,1400
125,19957.0,1400
126,20339.0,1400
127,21022.0,1400
128,21325.0,1400
129,21119.0,1400
130,21199.0,1400
131,21194.0,1400
132,14147.0,1400
133,15274.0,1400
134,16127.0,1400
135,17407.0,1400
136,18797.0,1400
137,19901.0,1400
138,21066.0,1400
139,21806.0,1400
140,21669.0,1400
141,21582.0,1400
142,21452.0,1400
143,21567.0,1400
144,14450.0,1400
145,15090.0,1400
146,16488.0,1400
147,17849.0,1400
148,19445.0,1400
149,20932.0,1400
150,21693.0,1400
151,22406.0,1400
152,22562.0,1400
153,22011.0,1400
154,21781.0,1400
155,21994.0,1400
156,14902.0,1400
157,15670.0,1400
158,16951.0,1400
159,18959.0,1400
160,20477.0,1400
161,21847.0,1400
162,23105.0,1400
163,23851.0,1400
164,23800.0,1400
165,23317.0,1400
166,22865.0,1400
167,22909.0,1400
168,14731.0,1400
169,16264.0,1400
170,17499.0,1400
171,19760.0,1400
172,21948.0,1400
173,23492.0,1400
174,24859.0,1400
175,25382.0,1400
176,24697.0,1400
177,24794.0,1400
178,24251.0,1400
179,24246.0,1400
180,15094.0,1400
181,16453.0,1400
182,18255.0,1400
183,20307.0,1400
184,23069.0,1400
185,24945.0,1400
186,26331.0,1400
187,26730.0,1400
188,26377.0,1400
189,25303.0,1400
190,24866.0,1400
191,24733.0,1400
192,15136.0,1400
193,16472.0,1400
194,18362.0,1400
195,20964.0,1400
196,23541.0,1400
197,25812.0,1400
198,27465.0,1400
199,27892.0,1400
200,27092.0,1400
201,26474.0,1400
202,25788.0,1400
203,25467.0,1400
204,14982.0,1400
205,16274.0,1400
206,18263.0,1400
207,20592.0,1400
208,23778.0,1400
209,26361.0,1400
210,27570.0,1400
211,28094.0,1400
212,27599.0,1400
213,26280.0,1400
214,25225.0,1400
215,25297.0,1400
216,14157.0,1400
217,15581.0,1400
218,17741.0,1400
219,20277.0,1400
220,22923.0,1400
221,25366.0,1400
222,27126.0,1400
223,27031.0,1400
224,26867.0,1400
225,25430.0,1400
226,24620.0,1400
227,24504.0,1400
228,13476.0,1400
229,14952.0,1400
230,16908.0,1400
231,19055.0,1400
232,21247.0,1400
233,23401.0,1400
234,24802.0,1400
235,25383.0,1400
236,24812.0,1400
237,23936.0,1400
238,23302.0,1400
239,23209.0,1400
