id,n_photons,elevation
0,38160.0,1000
1,41079.0,1000
2,44044.0,1000
3,46299.0,1000
4,49963.0,1000
5,51666.0,1000
6,54598.0,1000
7,56104.0,1000
8,57119.0,1000
9,56982.0,1000
10,57060.0,1000
11,57810.0,1000
12,36890.0,1000
13,38883.0,1000
14,41767.0,1000
15,44569.0,1000
16,47134.0,1000
17,50552.0,1000
18,51866.0,1000
19,52799.0,1000
20,54631.0,1000
21,55050.0,1000
22,54933.0,1000
23,55007.0,1000
24,36434.0,1000
25,38901.0,1000
26,42032.0,1000
27,44395.0,1000
28,47191.0,1000
29,49487.0,1000
30,50932.0,1000
31,51985.0,1000
32,53253.0,1000
33,54812.0,1000
34,54172.0,1000
35,54802.0,1000
36,36631.0,1000
37,38407.0,1000
38,41142.0,1000
39,43815.0,1000
40,47109.0,1000
41,49059.0,1000
42,51288.0,1000
43,52959.0,1000
44,53248.0,1000
45,53928.0,1000
46,54185.0,1000
47,54716.0,1000
48,36381.0,1000
49,39029.0,1000
50,41688.0,1000
51,44085.0,1000
52,47308.0,1000
53,49090.0,1000
54,50867.0,1000
55,52900.0,1000
56,53379.0,1000
57,54081.0,1000
58,54018.0,1000
59,53725.0,1000
60,36662.0,1000
61,38926.0,1000
62,40795.0,1000
63,43615.0,1000
64,46954.0,1000
65,48953.0,1000
66,50472.0,1000
67,51036.0,1000
68,52866.0,1000
69,53915.0,1000
70,52955.0,1000
71,53180.0,1000
72,36953.0,1000
73,37935.0,1000
74,40305.0,1000
75,43287.0,1000
76,46011.0,1000
77,47589.0,1000
78,49324.0,1000
79,50703.0,1000
80,51666.0,1000
81,52353.0,1000
82,51988.0,1000
83,52457.0,1000
84,35982.0,1000
85,37949.0,1000
86,40102.0,1000
87,41817.0,1000
88,44748.0,1000
89,46810.0,1000
90,48103.0,1000
91,49338.0,1000
92,49698.0,1000
93,50977.0,1000
94,50642.0,1000
95,51023.0,1000
96,35180.0,1000
97,36297.0,1000
98,38643.0,1000
99,40135.0,1000
100,43357.0,1000
101,45380.0,1000
102,46461.0,1000
103,47262.0,1000
104,47786.0,1000
105,48584.0,1000
106,48682.0,1000
107,49035.0,1000
108,33790.0,1000
109,34574.0,1000
110,36725.0,1000
111,37902.0,1000
112,40472.0,1000
113,42021.0,1000
114,43651.0,1000
115,44837.0,1000
116,45791.0,1000
117,46409.0,1000
118,45737.0,1000
119,46383.0,1000
120,35461.0,1400
121,36832.0,1400
122,39168.0,1400
123,41261.0,1400
124,43254.0,1400
125,45197.0,1400
126,46316.0,1400
127,47789.0,1400
128,48646.0,1400
129,48979.0,1400
130,49078.0,1400
131,49243.0,1400
132,35670.0,1400
133,37487.0,1400
134,39327.0,1400
135,41125.0,1400
136,43541.0,1400
137,45845.0,1400
138,47484.0,1400
139,48264.0,1400
140,49411.0,1400
141,49391.0,1400
142,49490.0,1400
143,49455.0,1400
144,35568.0,1400
145,37659.0,1400
146,39916.0,1400
147,42363.0,1400
148,44425.0,1400
149,46534.0,1400
150,48237.0,1400
151,49172.0,1400
152,50065.0,1400
153,50456.0,1400
154,50207.0,1400
155,50448.0,1400
156,36181.0,1400
157,37354.0,1400
158,40152.0,1400
159,42756.0,1400
160,45451.0,1400
161,47896.0,1400
162,49643.0,1400
163,51056.0,1400
164,51207.0,1400
165,51585.0,1400
166,51486.0,1400
167,51267.0,1400
168,36444.0,1400
169,38479.0,1400
170,40838.0,1400
171,43644.0,1400
172,46661.0,1400
173,49393.0,1400
174,51452.0,1400
175,52169.0,1400
176,52346.0,1400
177,52496.0,1400
178,52167.0,1400
179,52153.0,1400
180,36055.0,1400
181,38551.0,1400
182,40689.0,1400
183,44570.0,1400
184,47519.0,1400
185,50502.0,1400
186,52981.0,1400
187,53722.0,1400
188,53534.0,1400
189,53271.0,1400
190,52965.0,1400
191,53028.0,1400
192,35619.0,1400
193,37576.0,1400
194,40853.0,1400
195,44603.0,1400
196,48228.0,1400
197,51269.0,1400
198,52923.0,1400
199,54222.0,1400
200,54260.0,1400
201,53480.0,1400
202,52975.0,1400
203,52870.0,1400
204,34758.0,1400
205,36928.0,1400
206,39813.0,1400
207,43822.0,1400
208,47388.0,1400
209,50742.0,1400
210,52902.0,1400
211,53664.0,1400
212,53742.0,1400
213,52539.0,1400
214,51994.0,1400
215,52331.0,1400
216,33519.0,1400
217,35988.0,1400
218,38665.0,1400
219,42705.0,1400
220,45953.0,1400
221,49094.0,1400
222,51196.0,1400
223,51746.0,1400
224,51812.0,1400
225,51385.0,1400
226,50448.0,1400
227,50303.0,1400
228,32193.0,1400
229,34778.0,1400
230,36941.0,1400
231,40460.0,1400
232,43593.0,1400
233,46457.0,1400
234,48425.0,1400
235,48942.0,1400
236,48909.0,1400
237,48422.0,1400
238,48049.0,1400
239,47687.0,1400
