id,n_photons,elevation
0,4511.0,1000
1,5170.0,1000
2,5804.0,1000
3,6476.0,1000
4,7229.0,1000
5,7684.0,1000
6,8366.0,1000
7,8768.0,1000
8,9142.0,1000
9,9403.0,1000
10,9706.0,1000
11,9968.0,1000
12,4474.0,1000
13,5110.0,1000
14,5919.0,1000
15,6520.0,1000
16,7099.0,1000
17,7747.0,1000
18,8593.0,1000
19,8819.0,1000
20,9120.0,1000
21,9358.0,1000
22,9645.0,1000
23,9674.0,1000
24,4506.0,1000
25,5241.0,1000
26,5789.0,1000
27,6542.0,1000
28,7255.0,1000
29,7978.0,1000
30,8489.0,1000
31,8915.0,1000
32,9265.0,1000
33,9530.0,1000
34,9771.0,1000
35,9909.0,1000
36,4588.0,1000
37,5189.0,1000
38,5932.0,1000
39,6540.0,1000
40,7319.0,1000
41,8096.0,1000
42,8710.0,1000
43,9044.0,1000
44,9480.0,1000
45,9565.0,1000
46,9775.0,1000
47,9818.0,1000
48,4570.0,1000
49,5181.0,1000
50,5845.0,1000
51,6684.0,1000
52,7429.0,1000
53,8124.0,1000
54,8699.0,1000
55,9046.0,1000
56,9406.0,1000
57,9622.0,1000
58,10111.0,1000
59,9872.0,1000
60,4538.0,1000
61,5177.0,1000
62,5898.0,1000
63,6601.0,1000
64,7350.0,1000
65,8035.0,1000
66,8823.0,1000
67,8949.0,1000
68,9499.0,1000
69,9797.0,1000
70,9825.0,1000
71,9898.0,1000
72,4506.0,1000
73,5258.0,1000
74,5737.0,1000
75,6638.0,1000
76,7485.0,1000
77,8104.0,1000
78,8484.0,1000
79,9212.0,1000
80,9303.0,1000
81,9619.0,1000
82,10043.0,1000
83,9965.0,1000
84,4414.0,1000
85,4972.0,1000
86,5785.0,1000
87,6323.0,1000
88,7253.0,1000
89,7974.0,1000
90,8769.0,1000
91,9032.0,1000
92,9368.0,1000
93,9681.0,1000
94,9765.0,1000
95,9597.0,1000
96,4338.0,1000
97,4867.0,1000
98,5696.0,1000
99,6247.0,1000
100,7176.0,1000
101,7815.0,1000
102,8531.0,1000
103,8723.0,1000
104,8946.0,1000
105,9372.0,1000
106,9512.0,1000
107,9415.0,1000
108,4220.0,1000
109,4788.0,1000
110,5289.0,1000
111,6114.0,1000
112,6809.0,1000
113,7455.0,1000
114,8149.0,1000
115,8492.0,1000
116,8684.0,1000
117,8918.0,1000
118,9019.0,1000
119,8923.0,1000
120,4562.0,1400
121,5539.0,1400
122,6451.0,1400
123,7473.0,1400
124,8511.0,1400
125,9386.0,1400
126,10403.0,1400
127,10969.0,1400
128,11221.0,1400
129,11765.0,1400
130,11853.0,1400
131,11668.0,1400
132,4609.0,1400
133,5495.0,1400
134,6515.0,1400
135,7601.0,1400
136,8832.0,1400
137,9662.0,1400
138,10508.0,1400
139,11133.0,1400
140,11346.0,1400
141,11667.0,1400
142,11744.0,1400
143,11734.0,1400
144,4700.0,1400
145,5532.0,1400
146,6717.0,1400
147,7825.0,1400
148,9070.0,1400
149,10192.0,1400
150,11359.0,1400
151,11679.0,1400
152,12067.0,1400
153,12171.0,1400
154,12172.0,1400
155,12110.0,1400
156,4484.0,1400
157,5856.0,1400
158,6848.0,1400
159,8230.0,1400
160,9723.0,1400
161,10736.0,1400
162,12173.0,1400
163,12937.0,1400
164,12764.0,1400
165,12833.0,1400
166,12650.0,1400
167,12728.0,1400
168,4608.0,1400
169,5754.0,1400
170,7195.0,1400
171,8743.0,1400
172,10196.0,1400
173,11654.0,1400
174,13177.0,1400
175,13523.0,1400
176,13877.0,1400
177,13662.0,1400
178,13611.0,1400
179,13250.0,1400
180,4713.0,1400
181,5865.0,1400
182,7416.0,1400
183,9212.0,1400
184,10986.0,1400
185,12876.0,1400
186,14070.0,1400
187,14677.0,1400
188,14716.0,1400
189,14517.0,1400
190,13917.0,1400
191,13835.0,1400
192,4797.0,1400
193,6088.0,1400
194,7667.0,1400
195,9567.0,1400
196,11363.0,1400
197,13690.0,1400
198,15093.0,1400
199,15361.0,1400
200,15703.0,1400
201,14855.0,1400
202,14173.0,1400
203,13977.0,1400
204,4572.0,1400
205,5982.0,1400
206,7661.0,1400
207,9598.0,1400
208,11469.0,1400
209,13804.0,1400
210,15726.0,1400
211,15814.0,1400
212,15644.0,1400
213,15286.0,1400
214,14394.0,1400
215,14296.0,1400
216,4587.0,1400
217,5935.0,1400
218,7455.0,1400
219,9449.0,1400
220,11495.0,1400
221,13569.0,1400
222,15393.0,1400
223,15782.0,1400
224,15502.0,1400
225,14998.0,1400
226,13907.0,1400
227,13947.0,1400
228,4324.0,1400
229,5527.0,1400
230,7187.0,1400
231,8888.0,1400
232,10702.0,1400
233,12740.0,1400
234,14121.0,1400
235,14738.0,1400
236,14603.0,1400
237,14054.0,1400
238,13084.0,1400
239,13255.0,1400
