id,n_photons,elevation
0,5277.0,1000
1,6004.0,1000
2,6796.0,1000
3,7717.0,1000
4,7793.0,1000
5,8390.0,1000
6,9290.0,1000
7,9385.0,1000
8,9730.0,1000
9,10118.0,1000
10,10226.0,1000
11,10304.0,1000
12,5185.0,1000
13,5899.0,1000
14,6688.0,1000
15,7410.0,1000
16,8168.0,1000
17,8406.0,1000
18,9186.0,1000
19,9516.0,1000
20,9774.0,1000
21,10124.0,1000
22,9948.0,1000
23,10438.0,1000
24,5093.0,1000
25,5947.0,1000
26,6871.0,1000
27,7453.0,1000
28,8036.0,1000
29,8748.0,1000
30,9117.0,1000
31,9475.0,1000
32,9686.0,1000
33,9656.0,1000
34,10118.0,1000
35,10083.0,1000
36,5242.0,1000
37,6002.0,1000
38,6854.0,1000
39,7368.0,1000
40,8181.0,1000
41,9186.0,1000
42,9371.0,1000
43,9858.0,1000
44,9964.0,1000
45,10017.0,1000
46,10385.0,1000
47,10465.0,1000
48,5250.0,1000
49,6019.0,1000
50,6822.0,1000
51,7740.0,1000
52,8389.0,1000
53,9142.0,1000
54,10087.0,1000
55,10074.0,1000
56,10210.0,1000
57,10375.0,1000
58,10263.0,1000
59,10385.0,1000
60,5209.0,1000
61,6060.0,1000
62,6819.0,1000
63,7784.0,1000
64,8682.0,1000
65,9415.0,1000
66,9836.0,1000
67,10235.0,1000
68,10500.0,1000
69,10234.0,1000
70,10798.0,1000
71,10442.0,1000
72,5447.0,1000
73,6090.0,1000
74,6763.0,1000
75,7707.0,1000
76,8764.0,1000
77,9149.0,1000
78,9869.0,1000
79,10235.0,1000
80,10470.0,1000
81,10514.0,1000
82,10625.0,1000
83,10792.0,1000
84,5244.0,1000
85,6012.0,1000
86,6993.0,1000
87,7793.0,1000
88,8803.0,1000
89,9316.0,1000
90,10238.0,1000
91,10469.0,1000
92,10634.0,1000
93,10613.0,1000
94,11061.0,1000
95,11025.0,1000
96,5161.0,1000
97,5940.0,1000
98,6914.0,1000
99,7674.0,1000
100,8356.0,1000
101,9299.0,1000
102,9955.0,1000
103,10273.0,1000
104,10451.0,1000
105,10515.0,1000
106,10537.0,1000
107,10806.0,1000
108,4872.0,1000
109,5598.0,1000
110,6360.0,1000
111,7417.0,1000
112,8249.0,1000
113,8721.0,1000
114,9278.0,1000
115,9579.0,1000
116,9848.0,1000
117,9975.0,1000
118,10271.0,1000
119,10097.0,1000
120,4904.0,1400
121,5947.0,1400
122,7002.0,1400
123,8167.0,1400
124,9181.0,1400
125,10361.0,1400
126,11275.0,1400
127,11526.0,1400
128,11779.0,1400
129,11969.0,1400
130,12516.0,1400
131,12445.0,1400
132,4854.0,1400
133,6078.0,1400
134,6976.0,1400
135,8060.0,1400
136,9219.0,1400
137,10399.0,1400
138,11598.0,1400
139,11715.0,1400
140,12358.0,1400
141,12222.0,1400
142,12389.0,1400
143,12487.0,1400
144,5064.0,1400
145,5911.0,1400
146,7243.0,1400
147,8270.0,1400
148,9797.0,1400
149,10982.0,1400
150,12077.0,1400
151,12423.0,1400
152,12661.0,1400
153,12705.0,1400
154,12616.0,1400
155,12577.0,1400
156,5111.0,1400
157,6081.0,1400
158,7312.0,1400
159,8899.0,1400
160,10158.0,1400
161,11793.0,1400
162,13129.0,1400
163,13117.0,1400
164,13115.0,1400
165,13282.0,1400
166,13087.0,1400
167,13184.0,1400
168,4994.0,1400
169,6185.0,1400
170,7560.0,1400
171,9339.0,1400
172,11067.0,1400
173,12815.0,1400
174,14355.0,1400
175,14096.0,1400
176,14264.0,1400
177,14186.0,1400
178,13555.0,1400
179,13487.0,1400
180,5124.0,1400
181,6386.0,1400
182,7997.0,1400
183,9799.0,1400
184,11833.0,1400
185,14182.0,1400
186,15948.0,1400
187,15568.0,1400
188,15470.0,1400
189,14912.0,1400
190,14366.0,1400
191,14219.0,1400
192,4948.0,1400
193,6403.0,1400
194,8165.0,1400
195,9951.0,1400
196,12801.0,1400
197,14909.0,1400
198,16528.0,1400
199,16391.0,1400
200,16296.0,1400
201,15626.0,1400
202,14527.0,1400
203,14290.0,1400
204,4999.0,1400
205,6492.0,1400
206,8022.0,1400
207,10343.0,1400
208,13068.0,1400
209,15540.0,1400
210,17041.0,1400
211,16811.0,1400
212,16260.0,1400
213,16243.0,1400
214,14473.0,1400
215,14552.0,1400
216,4800.0,1400
217,6141.0,1400
218,7988.0,1400
219,10105.0,1400
220,12765.0,1400
221,15123.0,1400
222,16921.0,1400
223,16354.0,1400
224,16126.0,1400
225,15507.0,1400
226,14469.0,1400
227,14009.0,1400
228,4569.0,1400
229,5849.0,1400
230,7560.0,1400
231,9539.0,1400
232,11949.0,1400
233,14029.0,1400
234,15489.0,1400
235,15547.0,1400
236,15393.0,1400
237,14430.0,1400
238,13634.0,1400
239,13122.0,1400
