id,n_photons,elevation
0,4526.0,1000
1,5215.0,1000
2,5866.0,1000
3,6566.0,1000
4,7051.0,1000
5,7763.0,1000
6,8460.0,1000
7,9005.0,1000
8,9184.0,1000
9,9394.0,1000
10,9621.0,1000
11,9894.0,1000
12,4532.0,1000
13,5210.0,1000
14,5796.0,1000
15,6527.0,1000
16,7197.0,1000
17,7827.0,1000
18,8433.0,1000
19,9033.0,1000
20,8996.0,1000
21,9433.0,1000
22,9628.0,1000
23,9831.0,1000
24,4547.0,1000
25,5278.0,1000
26,5913.0,1000
27,6590.0,1000
28,7244.0,1000
29,7852.0,1000
30,8508.0,1000
31,9005.0,1000
32,9384.0,1000
33,9452.0,1000
34,9664.0,1000
35,9559.0,1000
36,4466.0,1000
37,5164.0,1000
38,6011.0,1000
39,6489.0,1000
40,7206.0,1000
41,8016.0,1000
42,8535.0,1000
43,9176.0,1000
44,9456.0,1000
45,9389.0,1000
46,9730.0,1000
47,9885.0,1000
48,4694.0,1000
49,5304.0,1000
50,5867.0,1000
51,6579.0,1000
52,7349.0,1000
53,8029.0,1000
54,8793.0,1000
55,9005.0,1000
56,9448.0,1000
57,9712.0,1000
58,9988.0,1000
59,10010.0,1000
60,4483.0,1000
61,5195.0,1000
62,5847.0,1000
63,6664.0,1000
64,7432.0,1000
65,8031.0,1000
66,8784.0,1000
67,9133.0,1000
68,9585.0,1000
69,9621.0,1000
70,9937.0,1000
71,9970.0,1000
72,4363.0,1000
73,5110.0,1000
74,5733.0,1000
75,6683.0,1000
76,7248.0,1000
77,8083.0,1000
78,8778.0,1000
79,9171.0,1000
80,9397.0,1000
81,9686.0,1000
82,9872.0,1000
83,9967.0,1000
84,4385.0,1000
85,4983.0,1000
86,6024.0,1000
87,6381.0,1000
88,7282.0,1000
89,7995.0,1000
90,8508.0,1000
91,8947.0,1000
92,9297.0,1000
93,9542.0,1000
94,9768.0,1000
95,9785.0,1000
96,4294.0,1000
97,4891.0,1000
98,5649.0,1000
99,6200.0,1000
100,7084.0,1000
101,7954.0,1000
102,8368.0,1000
103,8760.0,1000
104,9224.0,1000
105,9328.0,1000
106,9384.0,1000
107,9510.0,1000
108,4134.0,1000
109,4769.0,1000
110,5329.0,1000
111,6213.0,1000
112,6871.0,1000
113,7442.0,1000
114,8209.0,1000
115,8624.0,1000
116,8652.0,1000
117,8855.0,1000
118,9111.0,1000
119,8942.0,1000
120,4479.0,1400
121,5296.0,1400
122,6487.0,1400
123,7417.0,1400
124,8533.0,1400
125,9617.0,1400
126,10392.0,1400
127,10916.0,1400
128,11440.0,1400
129,11572.0,1400
130,11698.0,1400
131,11793.0,1400
132,4489.0,1400
133,5409.0,1400
134,6257.0,1400
135,7661.0,1400
136,8512.0,1400
137,9792.0,1400
138,10630.0,1400
139,11014.0,1400
140,11618.0,1400
141,11686.0,1400
142,11717.0,1400
143,11823.0,1400
144,4540.0,1400
145,5520.0,1400
146,6829.0,1400
147,7945.0,1400
148,9158.0,1400
149,10168.0,1400
150,11246.0,1400
151,11712.0,1400
152,11833.0,1400
153,12181.0,1400
154,12307.0,1400
155,12254.0,1400
156,4487.0,1400
157,5537.0,1400
158,6850.0,1400
159,8050.0,1400
160,9654.0,1400
161,11006.0,1400
162,12200.0,1400
163,12667.0,1400
164,12896.0,1400
165,12695.0,1400
166,12778.0,1400
167,12659.0,1400
168,4561.0,1400
169,5816.0,1400
170,7231.0,1400
171,8728.0,1400
172,10479.0,1400
173,11853.0,1400
174,13132.0,1400
175,13771.0,1400
176,13706.0,1400
177,13712.0,1400
178,13148.0,1400
179,13331.0,1400
180,4680.0,1400
181,5910.0,1400
182,7447.0,1400
183,9212.0,1400
184,11007.0,1400
185,12770.0,1400
186,14250.0,1400
187,14888.0,1400
188,14782.0,1400
189,14433.0,1400
190,13930.0,1400
191,13750.0,1400
192,4728.0,1400
193,5906.0,1400
194,7836.0,1400
195,9391.0,1400
196,11485.0,1400
197,13652.0,1400
198,15267.0,1400
199,15379.0,1400
200,15388.0,1400
201,14946.0,1400
202,14403.0,1400
203,14276.0,1400
204,4598.0,1400
205,6092.0,1400
206,7697.0,1400
207,9676.0,1400
208,11777.0,1400
209,13932.0,1400
210,15585.0,1400
211,15629.0,1400
212,16047.0,1400
213,15140.0,1400
214,14408.0,1400
215,14338.0,1400
216,4578.0,1400
217,5900.0,1400
218,7299.0,1400
219,9375.0,1400
220,11497.0,1400
221,13649.0,1400
222,15178.0,1400
223,15988.0,1400
224,15416.0,1400
225,14850.0,1400
226,14165.0,1400
227,13825.0,1400
228,4260.0,1400
229,5535.0,1400
230,7055.0,1400
231,8820.0,1400
232,10633.0,1400
233,12738.0,1400
234,14174.0,1400
235,14555.0,1400
236,14596.0,1400
237,13784.0,1400
238,13126.0,1400
239,13099.0,1400
