id,n_photons,elevation
0,15137.0,1000
1,16524.0,1000
2,17281.0,1000
3,18284.0,1000
4,19064.0,1000
5,20283.0,1000
6,21020.0,1000
7,21416.0,1000
8,21463.0,1000
9,22015.0,1000
10,22148.0,1000
11,22738.0,1000
12,15184.0,1000
13,16491.0,1000
14,17254.0,1000
15,18087.0,1000
16,19240.0,1000
17,20229.0,1000
18,21082.0,1000
19,21607.0,1000
20,21699.0,1000
21,21873.0,1000
22,22143.0,1000
23,22200.0,1000
24,15043.0,1000
25,16315.0,1000
26,17377.0,1000
27,18001.0,1000
28,19213.0,1000
29,20202.0,1000
30,20697.0,1000
31,21292.0,1000
32,21669.0,1000
33,21881.0,1000
34,22458.0,1000
35,22470.0,1000
36,14951.0,1000
37,15937.0,1000
38,16808.0,1000
39,17835.0,1000
40,18525.0,1000
41,19703.0,1000
42,20424.0,1000
43,20956.0,1000
44,21307.0,1000
45,21686.0,1000
46,21810.0,1000
47,22175.0,1000
48,14712.0,1000
49,15887.0,1000
50,16652.0,1000
51,17687.0,1000
52,18578.0,1000
53,19683.0,1000
54,20874.0,1000
55,20930.0,1000
56,21173.0,1000
57,21587.0,1000
58,22001.0,1000
59,22298.0,1000
60,14415.0,1000
61,15443.0,1000
62,16486.0,1000
63,17578.0,1000
64,18648.0,1000
65,19393.0,1000
66,20254.0,1000
67,20591.0,1000
68,21007.0,1000
69,20924.0,1000
70,21395.0,1000
71,21080.0,1000
72,14402.0,1000
73,15423.0,1000
74,16284.0,1000
75,17283.0,1000
76,18259.0,1000
77,19045.0,1000
78,20216.0,1000
79,20389.0,1000
80,20747.0,1000
81,20792.0,1000
82,21145.0,1000
83,21308.0,1000
84,13974.0,1000
85,15055.0,1000
86,15815.0,1000
87,16696.0,1000
88,17973.0,1000
89,18763.0,1000
90,19886.0,1000
91,19911.0,1000
92,20266.0,1000
93,20700.0,1000
94,20901.0,1000
95,20826.0,1000
96,13437.0,1000
97,14319.0,1000
98,15576.0,1000
99,16407.0,1000
100,17398.0,1000
101,18440.0,1000
102,19375.0,1000
103,19655.0,1000
104,19665.0,1000
105,20081.0,1000
106,20344.0,1000
107,20279.0,1000
108,12437.0,1000
109,13555.0,1000
110,14383.0,1000
111,15303.0,1000
112,16207.0,1000
113,17315.0,1000
114,18156.0,1000
115,18097.0,1000
116,18769.0,1000
117,18913.0,1000
118,19154.0,1000
119,19154.0,1000
120,15324.0,1400
121,16400.0,1400
122,17542.0,1400
123,19164.0,1400
124,20617.0,1400
125,21980.0,1400
126,23047.0,1400
127,23596.0,1400
128,23909.0,1400
129,23963.0,1400
130,24615.0,1400
131,24471.0,1400
132,15520.0,1400
133,16733.0,1400
134,17794.0,1400
135,19474.0,1400
136,21010.0,1400
137,22546.0,1400
138,23607.0,1400
139,23879.0,1400
140,24289.0,1400
141,24755.0,1400
142,24340.0,1400
143,24678.0,1400
144,15436.0,1400
145,16907.0,1400
146,18198.0,1400
147,19772.0,1400
148,21454.0,1400
149,22763.0,1400
150,24651.0,1400
151,24340.0,1400
152,25031.0,1400
153,25157.0,1400
154,25226.0,1400
155,25453.0,1400
156,15468.0,1400
157,17160.0,1400
158,18706.0,1400
159,20719.0,1400
160,22542.0,1400
161,24650.0,1400
162,26039.0,1400
163,26554.0,1400
164,26462.0,1400
165,26354.0,1400
166,26015.0,1400
167,26216.0,1400
168,15392.0,1400
169,16905.0,1400
170,18528.0,1400
171,20510.0,1400
172,22846.0,1400
173,24985.0,1400
174,26789.0,1400
175,27003.0,1400
176,27021.0,1400
177,27262.0,1400
178,26725.0,1400
179,26792.0,1400
180,15524.0,1400
181,16892.0,1400
182,19122.0,1400
183,21484.0,1400
184,24044.0,1400
185,26521.0,1400
186,28433.0,1400
187,28372.0,1400
188,28509.0,1400
189,28484.0,1400
190,27815.0,1400
191,28070.0,1400
192,15100.0,1400
193,16943.0,1400
194,19112.0,1400
195,21678.0,1400
196,24424.0,1400
197,27475.0,1400
198,29204.0,1400
199,29120.0,1400
200,28983.0,1400
201,28304.0,1400
202,27400.0,1400
203,27167.0,1400
204,15123.0,1400
205,16853.0,1400
206,19087.0,1400
207,22187.0,1400
208,24858.0,1400
209,27748.0,1400
210,30140.0,1400
211,29992.0,1400
212,29545.0,1400
213,28595.0,1400
214,27594.0,1400
215,27394.0,1400
216,14680.0,1400
217,16148.0,1400
218,18907.0,1400
219,21765.0,1400
220,24516.0,1400
221,27473.0,1400
222,29576.0,1400
223,29404.0,1400
224,28999.0,1400
225,27955.0,1400
226,27375.0,1400
227,26987.0,1400
228,13951.0,1400
229,15691.0,1400
230,17475.0,1400
231,20037.0,1400
232,23200.0,1400
233,25612.0,1400
234,27626.0,1400
235,27525.0,1400
236,27592.0,1400
237,26507.0,1400
238,25948.0,1400
239,25565.0,1400
