id,n_photons,elevation
0,13909,1000
1,14980,1000
2,15983,1000
3,17024,1000
4,17614,1000
5,18549,1000
6,19267,1000
7,19905,1000
8,20296,1000
9,20670,1000
10,20562,1000
11,20725,1000
12,14129,1000
13,15153,1000
14,15962,1000
15,16800,1000
16,17836,1000
17,18697,1000
18,19420,1000
19,19724,1000
20,19837,1000
21,20518,1000
22,20551,1000
23,20712,1000
24,14298,1000
25,15146,1000
26,16149,1000
27,17041,1000
28,17881,1000
29,18759,1000
30,19465,1000
31,19912,1000
32,20343,1000
33,20606,1000
34,21043,1000
35,20915,1000
36,14331,1000
37,15225,1000
38,16187,1000
39,17202,1000
40,18204,1000
41,18809,1000
42,19931,1000
43,20002,1000
44,20484,1000
45,20745,1000
46,21103,1000
47,21152,1000
48,14183,1000
49,15343,1000
50,16021,1000
51,17182,1000
52,18225,1000
53,19301,1000
54,19735,1000
55,20419,1000
56,20811,1000
57,20914,1000
58,21037,1000
59,21155,1000
60,14206,1000
61,14876,1000
62,16058,1000
63,17205,1000
64,18056,1000
65,19207,1000
66,19928,1000
67,20312,1000
68,20679,1000
69,20879,1000
70,21067,1000
71,21416,1000
72,13862,1000
73,14732,1000
74,15911,1000
75,16938,1000
76,18198,1000
77,19116,1000
78,19657,1000
79,20321,1000
80,20785,1000
81,20846,1000
82,20971,1000
83,20884,1000
84,13469,1000
85,14643,1000
86,15451,1000
87,16936,1000
88,17774,1000
89,18683,1000
90,19553,1000
91,19579,1000
92,20458,1000
93,20210,1000
94,20632,1000
95,20578,1000
96,12822,1000
97,13904,1000
98,14685,1000
99,15829,1000
100,17052,1000
101,17532,1000
102,18534,1000
103,18987,1000
104,19232,1000
105,19536,1000
106,19602,1000
107,19563,1000
108,11798,1000
109,12848,1000
110,13719,1000
111,14804,1000
112,15654,1000
113,16400,1000
114,16980,1000
115,17691,1000
116,17940,1000
117,18127,1000
118,18220,1000
119,18198,1000
120,13144,1400
121,14278,1400
122,15512,1400
123,16995,1400
124,18132,1400
125,19380,1400
126,20341,1400
127,21131,1400
128,21270,1400
129,21494,1400
130,21318,1400
131,21209,1400
132,13209,1400
133,14475,1400
134,15846,1400
135,17401,1400
136,18600,1400
137,20036,1400
138,20831,1400
139,21560,1400
140,21564,1400
141,21823,1400
142,21814,1400
143,21898,1400
144,13392,1400
145,14837,1400
146,16206,1400
147,17959,1400
148,19451,1400
149,21069,1400
150,21943,1400
151,22458,1400
152,22539,1400
153,22877,1400
154,22627,1400
155,22552,1400
156,13708,1400
157,15326,1400
158,16665,1400
159,18819,1400
160,20994,1400
161,22589,1400
162,23555,1400
163,24575,1400
164,24655,1400
165,24193,1400
166,23429,1400
167,24009,1400
168,14115,1400
169,15668,1400
170,17751,1400
171,19977,1400
172,22024,1400
173,24617,1400
174,26067,1400
175,26644,1400
176,26129,1400
177,26218,1400
178,25446,1400
179,25195,1400
180,14262,1400
181,15817,1400
182,18362,1400
183,21125,1400
184,24237,1400
185,26569,1400
186,28110,1400
187,28833,1400
188,28387,1400
189,27606,1400
190,26894,1400
191,26765,1400
192,14277,1400
193,16285,1400
194,18751,1400
195,21848,1400
196,25238,1400
197,28180,1400
198,29787,1400
199,30522,1400
200,29660,1400
201,28664,1400
202,27345,1400
203,27207,1400
204,13960,1400
205,15944,1400
206,18630,1400
207,21880,1400
208,25449,1400
209,28452,1400
210,30406,1400
211,30732,1400
212,30261,1400
213,28499,1400
214,27264,1400
215,27132,1400
216,13329,1400
217,15388,1400
218,18001,1400
219,21038,1400
220,24158,1400
221,27564,1400
222,28933,1400
223,30013,1400
224,28752,1400
225,27601,1400
226,25889,1400
227,26006,1400
228,12280,1400
229,13828,1400
230,16219,1400
231,19048,1400
232,21955,1400
233,24303,1400
234,26149,1400
235,26439,1400
236,25779,1400
237,24632,1400
238,23592,1400
239,23449,1400
