id,n_photons,elevation
0,14212.0,1000
1,15254.0,1000
2,16150.0,1000
3,17154.0,1000
4,17864.0,1000
5,18724.0,1000
6,19505.0,1000
7,19734.0,1000
8,20281.0,1000
9,20479.0,1000
10,20738.0,1000
11,20696.0,1000
12,14201.0,1000
13,15207.0,1000
14,16237.0,1000
15,17044.0,1000
16,17727.0,1000
17,18948.0,1000
18,19483.0,1000
19,20099.0,1000
20,20068.0,1000
21,20751.0,1000
22,20739.0,1000
23,20837.0,1000
24,14152.0,1000
25,15255.0,1000
26,16330.0,1000
27,17145.0,1000
28,17917.0,1000
29,18924.0,1000
30,19458.0,1000
31,20015.0,1000
32,20889.0,1000
33,20952.0,1000
34,20752.0,1000
35,20788.0,1000
36,14219.0,1000
37,15008.0,1000
38,16340.0,1000
39,17351.0,1000
40,18065.0,1000
41,19012.0,1000
42,19782.0,1000
43,20408.0,1000
44,20375.0,1000
45,20659.0,1000
46,21138.0,1000
47,21180.0,1000
48,14200.0,1000
49,15349.0,1000
50,16370.0,1000
51,17411.0,1000
52,18221.0,1000
53,19125.0,1000
54,19929.0,1000
55,20233.0,1000
56,21020.0,1000
57,21324.0,1000
58,21274.0,1000
59,21209.0,1000
60,14380.0,1000
61,14972.0,1000
62,16331.0,1000
63,17491.0,1000
64,18170.0,1000
65,19156.0,1000
66,19851.0,1000
67,20467.0,1000
68,20996.0,1000
69,21170.0,1000
70,21029.0,1000
71,21651.0,1000
72,13922.0,1000
73,14979.0,1000
74,16130.0,1000
75,17067.0,1000
76,18290.0,1000
77,19039.0,1000
78,19992.0,1000
79,20728.0,1000
80,20762.0,1000
81,20734.0,1000
82,20987.0,1000
83,21172.0,1000
84,13612.0,1000
85,14553.0,1000
86,15713.0,1000
87,16652.0,1000
88,17879.0,1000
89,18674.0,1000
90,19158.0,1000
91,19947.0,1000
92,20384.0,1000
93,20327.0,1000
94,20691.0,1000
95,20490.0,1000
96,13140.0,1000
97,13694.0,1000
98,15022.0,1000
99,15965.0,1000
100,16768.0,1000
101,17951.0,1000
102,18574.0,1000
103,19003.0,1000
104,19295.0,1000
105,19564.0,1000
106,19785.0,1000
107,19703.0,1000
108,11952.0,1000
109,12873.0,1000
110,13817.0,1000
111,14794.0,1000
112,15522.0,1000
113,16482.0,1000
114,17068.0,1000
115,17850.0,1000
116,17863.0,1000
117,17812.0,1000
118,18123.0,1000
119,18095.0,1000
120,13309.0,1400
121,14199.0,1400
122,15742.0,1400
123,17019.0,1400
124,18329.0,1400
125,19731.0,1400
126,20324.0,1400
127,21077.0,1400
128,21438.0,1400
129,21701.0,1400
130,21531.0,1400
131,21641.0,1400
132,13446.0,1400
133,14296.0,1400
134,15709.0,1400
135,17328.0,1400
136,18754.0,1400
137,19823.0,1400
138,20937.0,1400
139,21359.0,1400
140,21618.0,1400
141,22135.0,1400
142,21725.0,1400
143,21672.0,1400
144,13669.0,1400
145,14571.0,1400
146,16171.0,1400
147,17791.0,1400
148,19585.0,1400
149,21072.0,1400
150,21932.0,1400
151,22499.0,1400
152,23111.0,1400
153,22894.0,1400
154,22709.0,1400
155,22612.0,1400
156,13871.0,1400
157,15062.0,1400
158,17259.0,1400
159,18813.0,1400
160,20847.0,1400
161,22832.0,1400
162,23735.0,1400
163,24370.0,1400
164,24518.0,1400
165,24272.0,1400
166,24067.0,1400
167,24131.0,1400
168,14302.0,1400
169,15500.0,1400
170,17853.0,1400
171,19917.0,1400
172,22596.0,1400
173,24680.0,1400
174,25983.0,1400
175,26800.0,1400
176,26326.0,1400
177,25959.0,1400
178,25632.0,1400
179,25181.0,1400
180,14530.0,1400
181,16351.0,1400
182,18533.0,1400
183,21120.0,1400
184,24214.0,1400
185,26602.0,1400
186,28497.0,1400
187,29185.0,1400
188,28656.0,1400
189,27586.0,1400
190,26628.0,1400
191,26570.0,1400
192,14664.0,1400
193,16361.0,1400
194,18904.0,1400
195,21835.0,1400
196,25287.0,1400
197,28391.0,1400
198,30197.0,1400
199,30466.0,1400
200,30033.0,1400
201,28637.0,1400
202,27503.0,1400
203,27393.0,1400
204,14046.0,1400
205,16217.0,1400
206,18589.0,1400
207,22019.0,1400
208,25474.0,1400
209,28750.0,1400
210,30398.0,1400
211,31079.0,1400
212,30187.0,1400
213,29017.0,1400
214,27589.0,1400
215,26791.0,1400
216,13404.0,1400
217,15407.0,1400
218,17749.0,1400
219,21219.0,1400
220,24595.0,1400
221,27316.0,1400
222,29560.0,1400
223,29770.0,1400
224,29287.0,1400
225,27739.0,1400
226,26161.0,1400
227,25769.0,1400
228,12347.0,1400
229,14319.0,1400
230,16477.0,1400
231,19159.0,1400
232,21832.0,1400
233,24373.0,1400
234,26284.0,1400
235,26690.0,1400
236,25924.0,1400
237,24883.0,1400
238,23789.0,1400
239,23280.0,1400
