id,n_photons,elevation
0,58479.0,1000
1,60978.0,1000
2,63523.0,1000
3,65624.0,1000
4,67172.0,1000
5,68810.0,1000
6,70183.0,1000
7,71856.0,1000
8,71596.0,1000
9,71133.0,1000
10,71755.0,1000
11,72334.0,1000
12,58139.0,1000
13,60613.0,1000
14,62459.0,1000
15,64962.0,1000
16,66714.0,1000
17,68352.0,1000
18,70337.0,1000
19,71128.0,1000
20,71125.0,1000
21,71378.0,1000
22,70058.0,1000
23,70410.0,1000
24,57385.0,1000
25,59943.0,1000
26,62702.0,1000
27,64147.0,1000
28,65538.0,1000
29,67703.0,1000
30,69057.0,1000
31,70185.0,1000
32,70602.0,1000
33,71236.0,1000
34,70680.0,1000
35,70001.0,1000
36,56433.0,1000
37,58433.0,1000
38,60721.0,1000
39,62672.0,1000
40,64779.0,1000
41,66299.0,1000
42,67783.0,1000
43,69064.0,1000
44,69712.0,1000
45,69812.0,1000
46,69846.0,1000
47,69941.0,1000
48,51459.0,1000
49,54178.0,1000
50,55741.0,1000
51,58177.0,1000
52,59744.0,1000
53,61062.0,1000
54,61833.0,1000
55,62668.0,1000
56,63759.0,1000
57,64145.0,1000
58,64134.0,1000
59,63916.0,1000
60,45124.0,1000
61,46088.0,1000
62,47403.0,1000
63,48309.0,1000
64,50052.0,1000
65,50659.0,1000
66,52117.0,1000
67,52667.0,1000
68,52967.0,1000
69,53353.0,1000
70,53258.0,1000
71,53543.0,1000
72,44407.0,1000
73,44882.0,1000
74,45908.0,1000
75,46823.0,1000
76,48030.0,1000
77,48928.0,1000
78,49983.0,1000
79,51013.0,1000
80,51912.0,1000
81,51109.0,1000
82,51259.0,1000
83,51319.0,1000
84,44635.0,1000
85,45255.0,1000
86,45907.0,1000
87,47083.0,1000
88,48228.0,1000
89,49188.0,1000
90,50322.0,1000
91,50847.0,1000
92,51172.0,1000
93,51452.0,1000
94,51617.0,1000
95,51590.0,1000
96,44854.0,1000
97,45256.0,1000
98,45609.0,1000
99,47307.0,1000
100,47963.0,1000
101,49490.0,1000
102,49984.0,1000
103,50299.0,1000
104,51226.0,1000
105,51219.0,1000
106,51305.0,1000
107,51471.0,1000
108,44347.0,1000
109,44628.0,1000
110,45522.0,1000
111,46444.0,1000
112,47228.0,1000
113,48449.0,1000
114,49860.0,1000
115,50031.0,1000
116,50726.0,1000
117,50338.0,1000
118,50579.0,1000
119,50182.0,1000
120,54089.0,1400
121,55755.0,1400
122,57189.0,1400
123,59658.0,1400
124,61309.0,1400
125,63278.0,1400
126,64199.0,1400
127,65669.0,1400
128,65611.0,1400
129,65615.0,1400
130,65594.0,1400
131,65110.0,1400
132,54392.0,1400
133,55699.0,1400
134,57219.0,1400
135,59080.0,1400
136,61610.0,1400
137,62921.0,1400
138,64677.0,1400
139,65066.0,1400
140,65688.0,1400
141,66170.0,1400
142,65569.0,1400
143,65871.0,1400
144,54536.0,1400
145,55890.0,1400
146,57407.0,1400
147,60257.0,1400
148,62150.0,1400
149,64535.0,1400
150,65968.0,1400
151,66654.0,1400
152,66701.0,1400
153,66551.0,1400
154,66618.0,1400
155,66775.0,1400
156,55118.0,1400
157,56146.0,1400
158,58435.0,1400
159,60874.0,1400
160,63468.0,1400
161,65602.0,1400
162,67238.0,1400
163,68665.0,1400
164,68183.0,1400
165,67939.0,1400
166,68035.0,1400
167,67474.0,1400
168,54821.0,1400
169,56880.0,1400
170,59231.0,1400
171,61631.0,1400
172,64766.0,1400
173,67262.0,1400
174,69398.0,1400
175,69774.0,1400
176,70203.0,1400
177,69825.0,1400
178,69328.0,1400
179,69033.0,1400
180,55246.0,1400
181,56760.0,1400
182,59320.0,1400
183,62771.0,1400
184,66120.0,1400
185,69209.0,1400
186,72007.0,1400
187,72110.0,1400
188,71670.0,1400
189,71325.0,1400
190,70385.0,1400
191,69863.0,1400
192,54417.0,1400
193,56433.0,1400
194,59182.0,1400
195,62846.0,1400
196,66730.0,1400
197,70489.0,1400
198,72741.0,1400
199,72980.0,1400
200,72427.0,1400
201,71356.0,1400
202,69678.0,1400
203,70269.0,1400
204,54342.0,1400
205,55882.0,1400
206,59199.0,1400
207,63105.0,1400
208,66644.0,1400
209,70726.0,1400
210,73427.0,1400
211,74337.0,1400
212,73110.0,1400
213,71251.0,1400
214,69651.0,1400
215,69092.0,1400
216,53811.0,1400
217,54939.0,1400
218,58147.0,1400
219,62582.0,1400
220,66449.0,1400
221,69910.0,1400
222,72566.0,1400
223,73624.0,1400
224,72495.0,1400
225,70492.0,1400
226,68422.0,1400
227,67923.0,1400
228,52922.0,1400
229,54837.0,1400
230,57661.0,1400
231,60689.0,1400
232,64882.0,1400
233,68608.0,1400
234,71027.0,1400
235,71878.0,1400
236,70559.0,1400
237,68842.0,1400
238,66286.0,1400
239,65133.0,1400





