id,n_photons,elevation
0,17423.0,1000
1,18877.0,1000
2,19874.0,1000
3,21274.0,1000
4,22877.0,1000
5,24014.0,1000
6,25071.0,1000
7,26009.0,1000
8,26160.0,1000
9,26893.0,1000
10,26681.0,1000
11,26923.0,1000
12,16897.0,1000
13,17826.0,1000
14,19436.0,1000
15,20691.0,1000
16,22062.0,1000
17,23520.0,1000
18,24476.0,1000
19,24990.0,1000
20,25125.0,1000
21,25990.0,1000
22,25697.0,1000
23,25437.0,1000
24,16890.0,1000
25,18081.0,1000
26,19222.0,1000
27,20474.0,1000
28,22119.0,1000
29,23438.0,1000
30,24063.0,1000
31,24732.0,1000
32,25566.0,1000
33,25348.0,1000
34,25470.0,1000
35,25763.0,1000
36,17143.0,1000
37,18199.0,1000
38,19467.0,1000
39,20705.0,1000
40,22700.0,1000
41,23941.0,1000
42,24359.0,1000
43,25278.0,1000
44,25693.0,1000
45,26019.0,1000
46,25736.0,1000
47,25815.0,1000
48,17464.0,1000
49,18503.0,1000
50,19866.0,1000
51,21156.0,1000
52,23113.0,1000
53,24399.0,1000
54,25219.0,1000
55,25965.0,1000
56,26264.0,1000
57,26772.0,1000
58,26524.0,1000
59,26590.0,1000
60,18614.0,1000
61,19476.0,1000
62,20976.0,1000
63,22006.0,1000
64,24229.0,1000
65,24947.0,1000
66,25806.0,1000
67,26623.0,1000
68,27024.0,1000
69,27646.0,1000
70,27277.0,1000
71,27291.0,1000
72,18838.0,1000
73,19734.0,1000
74,21073.0,1000
75,22264.0,1000
76,23919.0,1000
77,25340.0,1000
78,25765.0,1000
79,26368.0,1000
80,27382.0,1000
81,27140.0,1000
82,27478.0,1000
83,27376.0,1000
84,18239.0,1000
85,19245.0,1000
86,20911.0,1000
87,21871.0,1000
88,23798.0,1000
89,24822.0,1000
90,25441.0,1000
91,26312.0,1000
92,26834.0,1000
93,26840.0,1000
94,26943.0,1000
95,26837.0,1000
96,17890.0,1000
97,18658.0,1000
98,19911.0,1000
99,21763.0,1000
100,22578.0,1000
101,23612.0,1000
102,24495.0,1000
103,25675.0,1000
104,25674.0,1000
105,26431.0,1000
106,25967.0,1000
107,25423.0,1000
108,16580.0,1000
109,17865.0,1000
110,19019.0,1000
111,20059.0,1000
112,21752.0,1000
113,22625.0,1000
114,23627.0,1000
115,24170.0,1000
116,24196.0,1000
117,24883.0,1000
118,24397.0,1000
119,24332.0,1000
120,15790.0,1400
121,15965.0,1400
122,16969.0,1400
123,17608.0,1400
124,18587.0,1400
125,19531.0,1400
126,20025.0,1400
127,20459.0,1400
128,20936.0,1400
129,20832.0,1400
130,21025.0,1400
131,21078.0,1400
132,15689.0,1400
133,16421.0,1400
134,17082.0,1400
135,17982.0,1400
136,19174.0,1400
137,19990.0,1400
138,20615.0,1400
139,21082.0,1400
140,21034.0,1400
141,21542.0,1400
142,21518.0,1400
143,21389.0,1400
144,15927.0,1400
145,16509.0,1400
146,17595.0,1400
147,18627.0,1400
148,20022.0,1400
149,21108.0,1400
150,22023.0,1400
151,22337.0,1400
152,22567.0,1400
153,22798.0,1400
154,22316.0,1400
155,22596.0,1400
156,16578.0,1400
157,17205.0,1400
158,18405.0,1400
159,19820.0,1400
160,21355.0,1400
161,22768.0,1400
162,23879.0,1400
163,24162.0,1400
164,24085.0,1400
165,24007.0,1400
166,23936.0,1400
167,23815.0,1400
168,17072.0,1400
169,17859.0,1400
170,19336.0,1400
171,21185.0,1400
172,22998.0,1400
173,25173.0,1400
174,26074.0,1400
175,26812.0,1400
176,26465.0,1400
177,25867.0,1400
178,25639.0,1400
179,25290.0,1400
180,17538.0,1400
181,18692.0,1400
182,20582.0,1400
183,22447.0,1400
184,25120.0,1400
185,27499.0,1400
186,28198.0,1400
187,28924.0,1400
188,28250.0,1400
189,27427.0,1400
190,27398.0,1400
191,26908.0,1400
192,17498.0,1400
193,19194.0,1400
194,20731.0,1400
195,23255.0,1400
196,26434.0,1400
197,29055.0,1400
198,30425.0,1400
199,30622.0,1400
200,30200.0,1400
201,28776.0,1400
202,27981.0,1400
203,28047.0,1400
204,17417.0,1400
205,18548.0,1400
206,20898.0,1400
207,23827.0,1400
208,26907.0,1400
209,29763.0,1400
210,31352.0,1400
211,31449.0,1400
212,30717.0,1400
213,29288.0,1400
214,28229.0,1400
215,27621.0,1400
216,16688.0,1400
217,18196.0,1400
218,20392.0,1400
219,23035.0,1400
220,26253.0,1400
221,28806.0,1400
222,30939.0,1400
223,30912.0,1400
224,30039.0,1400
225,28305.0,1400
226,27586.0,1400
227,27452.0,1400
228,15869.0,1400
229,17474.0,1400
230,19527.0,1400
231,21901.0,1400
232,24630.0,1400
233,26936.0,1400
234,28438.0,1400
235,28836.0,1400
236,28473.0,1400
237,27041.0,1400
238,26033.0,1400
239,25843.0,1400
