id,n_photons,elevation
0,36627.0,1000
1,38554.0,1000
2,41016.0,1000
3,43274.0,1000
4,45974.0,1000
5,48370.0,1000
6,49615.0,1000
7,50803.0,1000
8,51831.0,1000
9,52060.0,1000
10,51601.0,1000
11,52682.0,1000
12,34816.0,1000
13,37560.0,1000
14,39751.0,1000
15,41690.0,1000
16,44095.0,1000
17,45775.0,1000
18,47710.0,1000
19,48840.0,1000
20,49538.0,1000
21,50664.0,1000
22,50512.0,1000
23,50113.0,1000
24,34821.0,1000
25,37126.0,1000
26,39211.0,1000
27,41517.0,1000
28,44535.0,1000
29,45785.0,1000
30,47744.0,1000
31,48682.0,1000
32,49571.0,1000
33,50229.0,1000
34,50036.0,1000
35,50065.0,1000
36,34973.0,1000
37,36815.0,1000
38,39115.0,1000
39,41742.0,1000
40,43948.0,1000
41,46272.0,1000
42,47643.0,1000
43,48999.0,1000
44,50229.0,1000
45,50444.0,1000
46,50019.0,1000
47,50539.0,1000
48,35034.0,1000
49,37300.0,1000
50,39861.0,1000
51,41639.0,1000
52,44743.0,1000
53,46188.0,1000
54,47830.0,1000
55,49040.0,1000
56,50268.0,1000
57,50687.0,1000
58,50603.0,1000
59,50588.0,1000
60,36591.0,1000
61,38111.0,1000
62,40189.0,1000
63,41803.0,1000
64,45019.0,1000
65,45851.0,1000
66,48307.0,1000
67,49400.0,1000
68,49823.0,1000
69,50652.0,1000
70,49427.0,1000
71,50166.0,1000
72,36440.0,1000
73,37989.0,1000
74,40065.0,1000
75,42088.0,1000
76,44417.0,1000
77,46330.0,1000
78,47004.0,1000
79,48544.0,1000
80,49340.0,1000
81,49816.0,1000
82,49673.0,1000
83,49734.0,1000
84,35867.0,1000
85,37392.0,1000
86,39282.0,1000
87,41065.0,1000
88,43865.0,1000
89,45045.0,1000
90,46778.0,1000
91,47547.0,1000
92,48404.0,1000
93,48407.0,1000
94,48392.0,1000
95,48661.0,1000
96,34402.0,1000
97,35809.0,1000
98,38305.0,1000
99,39611.0,1000
100,42265.0,1000
101,43583.0,1000
102,45272.0,1000
103,45850.0,1000
104,46551.0,1000
105,47023.0,1000
106,46989.0,1000
107,46886.0,1000
108,33746.0,1000
109,34380.0,1000
110,36299.0,1000
111,38212.0,1000
112,40730.0,1000
113,41480.0,1000
114,42834.0,1000
115,43423.0,1000
116,44403.0,1000
117,44583.0,1000
118,44813.0,1000
119,44199.0,1000
120,34284.0,1400
121,34915.0,1400
122,36432.0,1400
123,37793.0,1400
124,39125.0,1400
125,40659.0,1400
126,41892.0,1400
127,42672.0,1400
128,43200.0,1400
129,43784.0,1400
130,43666.0,1400
131,43465.0,1400
132,34782.0,1400
133,35291.0,1400
134,37028.0,1400
135,38270.0,1400
136,40112.0,1400
137,41118.0,1400
138,42539.0,1400
139,43355.0,1400
140,44026.0,1400
141,44024.0,1400
142,44384.0,1400
143,44096.0,1400
144,35216.0,1400
145,36260.0,1400
146,37200.0,1400
147,39322.0,1400
148,40871.0,1400
149,42833.0,1400
150,44158.0,1400
151,44987.0,1400
152,45466.0,1400
153,45688.0,1400
154,45404.0,1400
155,45588.0,1400
156,35425.0,1400
157,36828.0,1400
158,38278.0,1400
159,40388.0,1400
160,42836.0,1400
161,44901.0,1400
162,45956.0,1400
163,46780.0,1400
164,47284.0,1400
165,47249.0,1400
166,47186.0,1400
167,46817.0,1400
168,35985.0,1400
169,37223.0,1400
170,39465.0,1400
171,42165.0,1400
172,44208.0,1400
173,46641.0,1400
174,48702.0,1400
175,49444.0,1400
176,49647.0,1400
177,48955.0,1400
178,48579.0,1400
179,48796.0,1400
180,36023.0,1400
181,37492.0,1400
182,40342.0,1400
183,43282.0,1400
184,46043.0,1400
185,48889.0,1400
186,50650.0,1400
187,51457.0,1400
188,51703.0,1400
189,50555.0,1400
190,50197.0,1400
191,49961.0,1400
192,35985.0,1400
193,37852.0,1400
194,40217.0,1400
195,43748.0,1400
196,46823.0,1400
197,49875.0,1400
198,52123.0,1400
199,52941.0,1400
200,52325.0,1400
201,51254.0,1400
202,50747.0,1400
203,50742.0,1400
204,35379.0,1400
205,37561.0,1400
206,39849.0,1400
207,43665.0,1400
208,47269.0,1400
209,50456.0,1400
210,52427.0,1400
211,52820.0,1400
212,53017.0,1400
213,51901.0,1400
214,50177.0,1400
215,50058.0,1400
216,33953.0,1400
217,36269.0,1400
218,38765.0,1400
219,42121.0,1400
220,45965.0,1400
221,48808.0,1400
222,51113.0,1400
223,51471.0,1400
224,50693.0,1400
225,50273.0,1400
226,49039.0,1400
227,49186.0,1400
228,32436.0,1400
229,34489.0,1400
230,37602.0,1400
231,40404.0,1400
232,44110.0,1400
233,46545.0,1400
234,48510.0,1400
235,48550.0,1400
236,48321.0,1400
237,47695.0,1400
238,47010.0,1400
239,46540.0,1400
