id,n_photons,elevation
0,14198.0,1000
1,15227.0,1000
2,15992.0,1000
3,17052.0,1000
4,17834.0,1000
5,18598.0,1000
6,19478.0,1000
7,19966.0,1000
8,20225.0,1000
9,20413.0,1000
10,20591.0,1000
11,20826.0,1000
12,14399.0,1000
13,15091.0,1000
14,16344.0,1000
15,17014.0,1000
16,18058.0,1000
17,18813.0,1000
18,19464.0,1000
19,20157.0,1000
20,20386.0,1000
21,20642.0,1000
22,20766.0,1000
23,21045.0,1000
24,14099.0,1000
25,15059.0,1000
26,16135.0,1000
27,17079.0,1000
28,18281.0,1000
29,18873.0,1000
30,19680.0,1000
31,20200.0,1000
32,20628.0,1000
33,20715.0,1000
34,20808.0,1000
35,20885.0,1000
36,13989.0,1000
37,15254.0,1000
38,16075.0,1000
39,17006.0,1000
40,18418.0,1000
41,19091.0,1000
42,20019.0,1000
43,20175.0,1000
44,20477.0,1000
45,20979.0,1000
46,20953.0,1000
47,21055.0,1000
48,14315.0,1000
49,15379.0,1000
50,16324.0,1000
51,17383.0,1000
52,18394.0,1000
53,19163.0,1000
54,20080.0,1000
55,20465.0,1000
56,20991.0,1000
57,21054.0,1000
58,21063.0,1000
59,21232.0,1000
60,14106.0,1000
61,15078.0,1000
62,16235.0,1000
63,17331.0,1000
64,18354.0,1000
65,19336.0,1000
66,19699.0,1000
67,20346.0,1000
68,20950.0,1000
69,21283.0,1000
70,21300.0,1000
71,21366.0,1000
72,13895.0,1000
73,14925.0,1000
74,15894.0,1000
75,17067.0,1000
76,18066.0,1000
77,19191.0,1000
78,19644.0,1000
79,20359.0,1000
80,20763.0,1000
81,21126.0,1000
82,21092.0,1000
83,21090.0,1000
84,13521.0,1000
85,14526.0,1000
86,15475.0,1000
87,16584.0,1000
88,17944.0,1000
89,18613.0,1000
90,19282.0,1000
91,19879.0,1000
92,20391.0,1000
93,20643.0,1000
94,20499.0,1000
95,20406.0,1000
96,12973.0,1000
97,13791.0,1000
98,14803.0,1000
99,15822.0,1000
100,16980.0,1000
101,17744.0,1000
102,18660.0,1000
103,19172.0,1000
104,19448.0,1000
105,19293.0,1000
106,19648.0,1000
107,19734.0,1000
108,12110.0,1000
109,12958.0,1000
110,13883.0,1000
111,14697.0,1000
112,15525.0,1000
113,16597.0,1000
114,17098.0,1000
115,17622.0,1000
116,18064.0,1000
117,18498.0,1000
118,18051.0,1000
119,18116.0,1000
120,13376.0,1400
121,14490.0,1400
122,15528.0,1400
123,17036.0,1400
124,18310.0,1400
125,19553.0,1400
126,20183.0,1400
127,21226.0,1400
128,21308.0,1400
129,21598.0,1400
130,21554.0,1400
131,21718.0,1400
132,13475.0,1400
133,14334.0,1400
134,15848.0,1400
135,17289.0,1400
136,18624.0,1400
137,19971.0,1400
138,20839.0,1400
139,21552.0,1400
140,21817.0,1400
141,22047.0,1400
142,21747.0,1400
143,21995.0,1400
144,13578.0,1400
145,14778.0,1400
146,16224.0,1400
147,17781.0,1400
148,19244.0,1400
149,20906.0,1400
150,22184.0,1400
151,22560.0,1400
152,22871.0,1400
153,22906.0,1400
154,22890.0,1400
155,22544.0,1400
156,14047.0,1400
157,15297.0,1400
158,17003.0,1400
159,18649.0,1400
160,20876.0,1400
161,22709.0,1400
162,23759.0,1400
163,24428.0,1400
164,24795.0,1400
165,24309.0,1400
166,23951.0,1400
167,24012.0,1400
168,14587.0,1400
169,15703.0,1400
170,17986.0,1400
171,20146.0,1400
172,22514.0,1400
173,24440.0,1400
174,26159.0,1400
175,26787.0,1400
176,26656.0,1400
177,26127.0,1400
178,25400.0,1400
179,25379.0,1400
180,14208.0,1400
181,15817.0,1400
182,18597.0,1400
183,21340.0,1400
184,24155.0,1400
185,26713.0,1400
186,28299.0,1400
187,29081.0,1400
188,28607.0,1400
189,27288.0,1400
190,27008.0,1400
191,26314.0,1400
192,14303.0,1400
193,16397.0,1400
194,18918.0,1400
195,21712.0,1400
196,25117.0,1400
197,28145.0,1400
198,30483.0,1400
199,30887.0,1400
200,30053.0,1400
201,29165.0,1400
202,27494.0,1400
203,27350.0,1400
204,14237.0,1400
205,15932.0,1400
206,18795.0,1400
207,22233.0,1400
208,25713.0,1400
209,28382.0,1400
210,30574.0,1400
211,30784.0,1400
212,30025.0,1400
213,28571.0,1400
214,27620.0,1400
215,27192.0,1400
216,13464.0,1400
217,15257.0,1400
218,18056.0,1400
219,20998.0,1400
220,24492.0,1400
221,27399.0,1400
222,29398.0,1400
223,29815.0,1400
224,28853.0,1400
225,27478.0,1400
226,26405.0,1400
227,25993.0,1400
228,12184.0,1400
229,14041.0,1400
230,16369.0,1400
231,19079.0,1400
232,21956.0,1400
233,24490.0,1400
234,26219.0,1400
235,26445.0,1400
236,26122.0,1400
237,24757.0,1400
238,23778.0,1400
239,23328.0,1400
