id,n_photons,elevation
0,155230.0,1000
1,166624.0,1000
2,179616.0,1000
3,192157.0,1000
4,203731.0,1000
5,215609.0,1000
6,224557.0,1000
7,232704.0,1000
8,237723.0,1000
9,241065.0,1000
10,240168.0,1000
11,230538.0,1000
12,155425.0,1000
13,166271.0,1000
14,179769.0,1000
15,192453.0,1000
16,205661.0,1000
17,216030.0,1000
18,225684.0,1000
19,233382.0,1000
20,238939.0,1000
21,241901.0,1000
22,241219.0,1000
23,239799.0,1000
24,155621.0,1000
25,167259.0,1000
26,181165.0,1000
27,194382.0,1000
28,206643.0,1000
29,218597.0,1000
30,228195.0,1000
31,235332.0,1000
32,241242.0,1000
33,243916.0,1000
34,245526.0,1000
35,246375.0,1000
36,156646.0,1000
37,168543.0,1000
38,182277.0,1000
39,195553.0,1000
40,209428.0,1000
41,221739.0,1000
42,230494.0,1000
43,238764.0,1000
44,243963.0,1000
45,247594.0,1000
46,249287.0,1000
47,249170.0,1000
48,156570.0,1000
49,168889.0,1000
50,182894.0,1000
51,196706.0,1000
52,210925.0,1000
53,222307.0,1000
54,231678.0,1000
55,239852.0,1000
56,244572.0,1000
57,247007.0,1000
58,250101.0,1000
59,248996.0,1000
60,158280.0,1000
61,169467.0,1000
62,182846.0,1000
63,196733.0,1000
64,209577.0,1000
65,220896.0,1000
66,230885.0,1000
67,237628.0,1000
68,242978.0,1000
69,245558.0,1000
70,247286.0,1000
71,246687.0,1000
72,158792.0,1000
73,169187.0,1000
74,181236.0,1000
75,194777.0,1000
76,208170.0,1000
77,219146.0,1000
78,229237.0,1000
79,235850.0,1000
80,239716.0,1000
81,242506.0,1000
82,243892.0,1000
83,244937.0,1000
84,156377.0,1000
85,165876.0,1000
86,180111.0,1000
87,191937.0,1000
88,205362.0,1000
89,218339.0,1000
90,226882.0,1000
91,233579.0,1000
92,237411.0,1000
93,239411.0,1000
94,240949.0,1000
95,241700.0,1000
96,151343.0,1000
97,162839.0,1000
98,174182.0,1000
99,188410.0,1000
100,200303.0,1000
101,212423.0,1000
102,221333.0,1000
103,228199.0,1000
104,232060.0,1000
105,233480.0,1000
106,234958.0,1000
107,235416.0,1000
108,144383.0,1000
109,155603.0,1000
110,168194.0,1000
111,181381.0,1000
112,192634.0,1000
113,203408.0,1000
114,211186.0,1000
115,219010.0,1000
116,222465.0,1000
117,223869.0,1000
118,224841.0,1000
119,224920.0,1000
120,163697.0,1400
121,174442.0,1400
122,188775.0,1400
123,206488.0,1400
124,222091.0,1400
125,237568.0,1400
126,249253.0,1400
127,256357.0,1400
128,260984.0,1400
129,262393.0,1400
130,263141.0,1400
131,262651.0,1400
132,164233.0,1400
133,176348.0,1400
134,192141.0,1400
135,209225.0,1400
136,226819.0,1400
137,242390.0,1400
138,255035.0,1400
139,263166.0,1400
140,265478.0,1400
141,266718.0,1400
142,266961.0,1400
143,266262.0,1400
144,167120.0,1400
145,179959.0,1400
146,197992.0,1400
147,217825.0,1400
148,237485.0,1400
149,256132.0,1400
150,268644.0,1400
151,276683.0,1400
152,278185.0,1400
153,277049.0,1400
154,275587.0,1400
155,276015.0,1400
156,170444.0,1400
157,185784.0,1400
158,206095.0,1400
159,228730.0,1400
160,253013.0,1400
161,274186.0,1400
162,287314.0,1400
163,295522.0,1400
164,296551.0,1400
165,292708.0,1400
166,289564.0,1400
167,288229.0,1400
168,174493.0,1400
169,192366.0,1400
170,216223.0,1400
171,243829.0,1400
172,272596.0,1400
173,297095.0,1400
174,314591.0,1400
175,322199.0,1400
176,319755.0,1400
177,312133.0,1400
178,306272.0,1400
179,305197.0,1400
180,177593.0,1400
181,197549.0,1400
182,224644.0,1400
183,257866.0,1400
184,293020.0,1400
185,322874.0,1400
186,342389.0,1400
187,349104.0,1400
188,342521.0,1400
189,332958.0,1400
190,323784.0,1400
191,320913.0,1400
192,178105.0,1400
193,199879.0,1400
194,231103.0,1400
195,268347.0,1400
196,307505.0,1400
197,342517.0,1400
198,364451.0,1400
199,371073.0,1400
200,362114.0,1400
201,347153.0,1400
202,334278.0,1400
203,330854.0,1400
204,174679.0,1400
205,198278.0,1400
206,231181.0,1400
207,271300.0,1400
208,314564.0,1400
209,351404.0,1400
210,374715.0,1400
211,380770.0,1400
212,368931.0,1400
213,352434.0,1400
214,336644.0,1400
215,331659.0,1400
216,168399.0,1400
217,191372.0,1400
218,224586.0,1400
219,264187.0,1400
220,306463.0,1400
221,343816.0,1400
222,367214.0,1400
223,372070.0,1400
224,360669.0,1400
225,341530.0,1400
226,328306.0,1400
227,322300.0,1400
228,157400.0,1400
229,180468.0,1400
230,211192.0,1400
231,246560.0,1400
232,284833.0,1400
233,317547.0,1400
234,338973.0,1400
235,344281.0,1400
236,332780.0,1400
237,318464.0,1400
238,306155.0,1400
239,301544.0,1400
