id,n_photons,elevation
0,28679.0,1000
1,30525.0,1000
2,32049.0,1000
3,33793.0,1000
4,35217.0,1000
5,36275.0,1000
6,37847.0,1000
7,38376.0,1000
8,39325.0,1000
9,39638.0,1000
10,39850.0,1000
11,37250.0,1000
12,29163.0,1000
13,30227.0,1000
14,32290.0,1000
15,33523.0,1000
16,35229.0,1000
17,36626.0,1000
18,37733.0,1000
19,38711.0,1000
20,39353.0,1000
21,39360.0,1000
22,39539.0,1000
23,39809.0,1000
24,28961.0,1000
25,30239.0,1000
26,32609.0,1000
27,34075.0,1000
28,35410.0,1000
29,36959.0,1000
30,37812.0,1000
31,39050.0,1000
32,39372.0,1000
33,40112.0,1000
34,39736.0,1000
35,40056.0,1000
36,29431.0,1000
37,30553.0,1000
38,31991.0,1000
39,33517.0,1000
40,35496.0,1000
41,36680.0,1000
42,38149.0,1000
43,39214.0,1000
44,39934.0,1000
45,40191.0,1000
46,40687.0,1000
47,40396.0,1000
48,29765.0,1000
49,31084.0,1000
50,32512.0,1000
51,34407.0,1000
52,35747.0,1000
53,37023.0,1000
54,38291.0,1000
55,39166.0,1000
56,40150.0,1000
57,40169.0,1000
58,40422.0,1000
59,40648.0,1000
60,30191.0,1000
61,31620.0,1000
62,32797.0,1000
63,34383.0,1000
64,35965.0,1000
65,37351.0,1000
66,38289.0,1000
67,39117.0,1000
68,39408.0,1000
69,39862.0,1000
70,40309.0,1000
71,40262.0,1000
72,30418.0,1000
73,31439.0,1000
74,32517.0,1000
75,34020.0,1000
76,35762.0,1000
77,37429.0,1000
78,37922.0,1000
79,39063.0,1000
80,39572.0,1000
81,39737.0,1000
82,39615.0,1000
83,40532.0,1000
84,30450.0,1000
85,31033.0,1000
86,32702.0,1000
87,34159.0,1000
88,35398.0,1000
89,36861.0,1000
90,37699.0,1000
91,38378.0,1000
92,39149.0,1000
93,39465.0,1000
94,39760.0,1000
95,39432.0,1000
96,29442.0,1000
97,30644.0,1000
98,32197.0,1000
99,33378.0,1000
100,34819.0,1000
101,35917.0,1000
102,37121.0,1000
103,37671.0,1000
104,38668.0,1000
105,38342.0,1000
106,39026.0,1000
107,39003.0,1000
108,28747.0,1000
109,29959.0,1000
110,31316.0,1000
111,32598.0,1000
112,33819.0,1000
113,35377.0,1000
114,35822.0,1000
115,36553.0,1000
116,37323.0,1000
117,37728.0,1000
118,38163.0,1000
119,37439.0,1000
120,33859.0,1400
121,34767.0,1400
122,36250.0,1400
123,38146.0,1400
124,39419.0,1400
125,41553.0,1400
126,42630.0,1400
127,43736.0,1400
128,44068.0,1400
129,44590.0,1400
130,44564.0,1400
131,44733.0,1400
132,34272.0,1400
133,34740.0,1400
134,36381.0,1400
135,38629.0,1400
136,40186.0,1400
137,41723.0,1400
138,42712.0,1400
139,44069.0,1400
140,44567.0,1400
141,44758.0,1400
142,45170.0,1400
143,44604.0,1400
144,34269.0,1400
145,35445.0,1400
146,37386.0,1400
147,39126.0,1400
148,41514.0,1400
149,42996.0,1400
150,44600.0,1400
151,45993.0,1400
152,45792.0,1400
153,45704.0,1400
154,45987.0,1400
155,45889.0,1400
156,34692.0,1400
157,36032.0,1400
158,37938.0,1400
159,40345.0,1400
160,43259.0,1400
161,45449.0,1400
162,47018.0,1400
163,47976.0,1400
164,47839.0,1400
165,47820.0,1400
166,47520.0,1400
167,47454.0,1400
168,34846.0,1400
169,36980.0,1400
170,38969.0,1400
171,42245.0,1400
172,45377.0,1400
173,47983.0,1400
174,50012.0,1400
175,50472.0,1400
176,50253.0,1400
177,49714.0,1400
178,49368.0,1400
179,49374.0,1400
180,35566.0,1400
181,37288.0,1400
182,40189.0,1400
183,43932.0,1400
184,47214.0,1400
185,50346.0,1400
186,52616.0,1400
187,53476.0,1400
188,52908.0,1400
189,52036.0,1400
190,51512.0,1400
191,50918.0,1400
192,35406.0,1400
193,37495.0,1400
194,41193.0,1400
195,44549.0,1400
196,48630.0,1400
197,52563.0,1400
198,54774.0,1400
199,55749.0,1400
200,55051.0,1400
201,53511.0,1400
202,52218.0,1400
203,51788.0,1400
204,34974.0,1400
205,37356.0,1400
206,40298.0,1400
207,44823.0,1400
208,49090.0,1400
209,53216.0,1400
210,56293.0,1400
211,56337.0,1400
212,55712.0,1400
213,53636.0,1400
214,52115.0,1400
215,51374.0,1400
216,33747.0,1400
217,35643.0,1400
218,39050.0,1400
219,43697.0,1400
220,48156.0,1400
221,52343.0,1400
222,54867.0,1400
223,55384.0,1400
224,54325.0,1400
225,52995.0,1400
226,51183.0,1400
227,50156.0,1400
228,32003.0,1400
229,34780.0,1400
230,37783.0,1400
231,42025.0,1400
232,45488.0,1400
233,49179.0,1400
234,51151.0,1400
235,52296.0,1400
236,51412.0,1400
237,50058.0,1400
238,48678.0,1400
239,48009.0,1400
