id,n_photons,elevation
0,14807.0,1000
1,16056.0,1000
2,17016.0,1000
3,18441.0,1000
4,19373.0,1000
5,19937.0,1000
6,20316.0,1000
7,20930.0,1000
8,21425.0,1000
9,21396.0,1000
10,21755.0,1000
11,21761.0,1000
12,14773.0,1000
13,15943.0,1000
14,17262.0,1000
15,18319.0,1000
16,19045.0,1000
17,19842.0,1000
18,20353.0,1000
19,21030.0,1000
20,21464.0,1000
21,21392.0,1000
22,21623.0,1000
23,21747.0,1000
24,14810.0,1000
25,15942.0,1000
26,17191.0,1000
27,17846.0,1000
28,19184.0,1000
29,19927.0,1000
30,20335.0,1000
31,21006.0,1000
32,21413.0,1000
33,21712.0,1000
34,21782.0,1000
35,21788.0,1000
36,15002.0,1000
37,16074.0,1000
38,17035.0,1000
39,18099.0,1000
40,19376.0,1000
41,19806.0,1000
42,20501.0,1000
43,21439.0,1000
44,21454.0,1000
45,22059.0,1000
46,21813.0,1000
47,21791.0,1000
48,14908.0,1000
49,16244.0,1000
50,17320.0,1000
51,18523.0,1000
52,19262.0,1000
53,20209.0,1000
54,20782.0,1000
55,21354.0,1000
56,21787.0,1000
57,22235.0,1000
58,21985.0,1000
59,22482.0,1000
60,14820.0,1000
61,16207.0,1000
62,17227.0,1000
63,18265.0,1000
64,19111.0,1000
65,19939.0,1000
66,20831.0,1000
67,21329.0,1000
68,21984.0,1000
69,22092.0,1000
70,22061.0,1000
71,22346.0,1000
72,14527.0,1000
73,15703.0,1000
74,17040.0,1000
75,17881.0,1000
76,18833.0,1000
77,19468.0,1000
78,20453.0,1000
79,21163.0,1000
80,21202.0,1000
81,21718.0,1000
82,21922.0,1000
83,21952.0,1000
84,14029.0,1000
85,15406.0,1000
86,16393.0,1000
87,17475.0,1000
88,18652.0,1000
89,19560.0,1000
90,19858.0,1000
91,20288.0,1000
92,20852.0,1000
93,21152.0,1000
94,21229.0,1000
95,21432.0,1000
96,13468.0,1000
97,14568.0,1000
98,15530.0,1000
99,16808.0,1000
100,17800.0,1000
101,18462.0,1000
102,19164.0,1000
103,19569.0,1000
104,19992.0,1000
105,20133.0,1000
106,19984.0,1000
107,20424.0,1000
108,12284.0,1000
109,13269.0,1000
110,14612.0,1000
111,15494.0,1000
112,16356.0,1000
113,17045.0,1000
114,18028.0,1000
115,17914.0,1000
116,18591.0,1000
117,18718.0,1000
118,18923.0,1000
119,19101.0,1000
120,13016.0,1400
121,14235.0,1400
122,15608.0,1400
123,16784.0,1400
124,18002.0,1400
125,19286.0,1400
126,20240.0,1400
127,20944.0,1400
128,21102.0,1400
129,20947.0,1400
130,20947.0,1400
131,21173.0,1400
132,13396.0,1400
133,14384.0,1400
134,15589.0,1400
135,16976.0,1400
136,18190.0,1400
137,19427.0,1400
138,20600.0,1400
139,20910.0,1400
140,21160.0,1400
141,21613.0,1400
142,21165.0,1400
143,21196.0,1400
144,13451.0,1400
145,14856.0,1400
146,16318.0,1400
147,17846.0,1400
148,19471.0,1400
149,20729.0,1400
150,21186.0,1400
151,22091.0,1400
152,22256.0,1400
153,22105.0,1400
154,22353.0,1400
155,22094.0,1400
156,13769.0,1400
157,15043.0,1400
158,16956.0,1400
159,18585.0,1400
160,20667.0,1400
161,22256.0,1400
162,23040.0,1400
163,23784.0,1400
164,23842.0,1400
165,23659.0,1400
166,23546.0,1400
167,23069.0,1400
168,13987.0,1400
169,15575.0,1400
170,17702.0,1400
171,19717.0,1400
172,21926.0,1400
173,24114.0,1400
174,25230.0,1400
175,26001.0,1400
176,25900.0,1400
177,24895.0,1400
178,24172.0,1400
179,24453.0,1400
180,14271.0,1400
181,15998.0,1400
182,18041.0,1400
183,20481.0,1400
184,23770.0,1400
185,25784.0,1400
186,27525.0,1400
187,27791.0,1400
188,27593.0,1400
189,26565.0,1400
190,25612.0,1400
191,25386.0,1400
192,14199.0,1400
193,15929.0,1400
194,18338.0,1400
195,21433.0,1400
196,24632.0,1400
197,27535.0,1400
198,28996.0,1400
199,29729.0,1400
200,29066.0,1400
201,27277.0,1400
202,26601.0,1400
203,26018.0,1400
204,13735.0,1400
205,15731.0,1400
206,18385.0,1400
207,21254.0,1400
208,24945.0,1400
209,27503.0,1400
210,29474.0,1400
211,30020.0,1400
212,28812.0,1400
213,27741.0,1400
214,26521.0,1400
215,26037.0,1400
216,13172.0,1400
217,14849.0,1400
218,17582.0,1400
219,20327.0,1400
220,23853.0,1400
221,26568.0,1400
222,27971.0,1400
223,28790.0,1400
224,28115.0,1400
225,26458.0,1400
226,25175.0,1400
227,25068.0,1400
228,12045.0,1400
229,13640.0,1400
230,15996.0,1400
231,18450.0,1400
232,21386.0,1400
233,23551.0,1400
234,25235.0,1400
235,25579.0,1400
236,24965.0,1400
237,23679.0,1400
238,22792.0,1400
239,22421.0,1400
