id,n_photons,elevation
0,14555.0,1000
1,15240.0,1000
2,16581.0,1000
3,17730.0,1000
4,19006.0,1000
5,19421.0,1000
6,20030.0,1000
7,20965.0,1000
8,21150.0,1000
9,21413.0,1000
10,21263.0,1000
11,21183.0,1000
12,14321.0,1000
13,15126.0,1000
14,15991.0,1000
15,17204.0,1000
16,18623.0,1000
17,19283.0,1000
18,19520.0,1000
19,20393.0,1000
20,20731.0,1000
21,20833.0,1000
22,20715.0,1000
23,21279.0,1000
24,14274.0,1000
25,15071.0,1000
26,16380.0,1000
27,17006.0,1000
28,18224.0,1000
29,19201.0,1000
30,19666.0,1000
31,20426.0,1000
32,20534.0,1000
33,21069.0,1000
34,20889.0,1000
35,21092.0,1000
36,14149.0,1000
37,15164.0,1000
38,16142.0,1000
39,17234.0,1000
40,18143.0,1000
41,19176.0,1000
42,19744.0,1000
43,20053.0,1000
44,20633.0,1000
45,20935.0,1000
46,21214.0,1000
47,21077.0,1000
48,14550.0,1000
49,15730.0,1000
50,16417.0,1000
51,17738.0,1000
52,18709.0,1000
53,19614.0,1000
54,20052.0,1000
55,21076.0,1000
56,21173.0,1000
57,21406.0,1000
58,21602.0,1000
59,21470.0,1000
60,15528.0,1000
61,16337.0,1000
62,17236.0,1000
63,17845.0,1000
64,19105.0,1000
65,20198.0,1000
66,20432.0,1000
67,21204.0,1000
68,21289.0,1000
69,21701.0,1000
70,21682.0,1000
71,21663.0,1000
72,15642.0,1000
73,16211.0,1000
74,17077.0,1000
75,17767.0,1000
76,19009.0,1000
77,19705.0,1000
78,20487.0,1000
79,21087.0,1000
80,21630.0,1000
81,22075.0,1000
82,21762.0,1000
83,21733.0,1000
84,15231.0,1000
85,15798.0,1000
86,16831.0,1000
87,17769.0,1000
88,18540.0,1000
89,19614.0,1000
90,20147.0,1000
91,20885.0,1000
92,21312.0,1000
93,21488.0,1000
94,21315.0,1000
95,21400.0,1000
96,14975.0,1000
97,15472.0,1000
98,16493.0,1000
99,17372.0,1000
100,18274.0,1000
101,19091.0,1000
102,19468.0,1000
103,20226.0,1000
104,20371.0,1000
105,20606.0,1000
106,20705.0,1000
107,21009.0,1000
108,14334.0,1000
109,14926.0,1000
110,15886.0,1000
111,16680.0,1000
112,17736.0,1000
113,18339.0,1000
114,18794.0,1000
115,19441.0,1000
116,19892.0,1000
117,20229.0,1000
118,19958.0,1000
119,20205.0,1000
120,15311.0,1400
121,16024.0,1400
122,17075.0,1400
123,18374.0,1400
124,19469.0,1400
125,21093.0,1400
126,21367.0,1400
127,22163.0,1400
128,22056.0,1400
129,22318.0,1400
130,22434.0,1400
131,22328.0,1400
132,14965.0,1400
133,16121.0,1400
134,16928.0,1400
135,18355.0,1400
136,19886.0,1400
137,21272.0,1400
138,22117.0,1400
139,22472.0,1400
140,22323.0,1400
141,22220.0,1400
142,22574.0,1400
143,21937.0,1400
144,15528.0,1400
145,16188.0,1400
146,17517.0,1400
147,18902.0,1400
148,20637.0,1400
149,21776.0,1400
150,22761.0,1400
151,23260.0,1400
152,23374.0,1400
153,23475.0,1400
154,22974.0,1400
155,23176.0,1400
156,15583.0,1400
157,16596.0,1400
158,18089.0,1400
159,19990.0,1400
160,21261.0,1400
161,22980.0,1400
162,24026.0,1400
163,24663.0,1400
164,24721.0,1400
165,24407.0,1400
166,24009.0,1400
167,23806.0,1400
168,16068.0,1400
169,17183.0,1400
170,18562.0,1400
171,20657.0,1400
172,22664.0,1400
173,24251.0,1400
174,25668.0,1400
175,25949.0,1400
176,25727.0,1400
177,25615.0,1400
178,25011.0,1400
179,24913.0,1400
180,16261.0,1400
181,17489.0,1400
182,18981.0,1400
183,21422.0,1400
184,23614.0,1400
185,26161.0,1400
186,27301.0,1400
187,27712.0,1400
188,27390.0,1400
189,26564.0,1400
190,25769.0,1400
191,25597.0,1400
192,16226.0,1400
193,17656.0,1400
194,19611.0,1400
195,22007.0,1400
196,24898.0,1400
197,26794.0,1400
198,28448.0,1400
199,28865.0,1400
200,28166.0,1400
201,27283.0,1400
202,26241.0,1400
203,26252.0,1400
204,15870.0,1400
205,17221.0,1400
206,19456.0,1400
207,22056.0,1400
208,24409.0,1400
209,27315.0,1400
210,28556.0,1400
211,28869.0,1400
212,28168.0,1400
213,27201.0,1400
214,26349.0,1400
215,25975.0,1400
216,15379.0,1400
217,16529.0,1400
218,18951.0,1400
219,20997.0,1400
220,24041.0,1400
221,26316.0,1400
222,27733.0,1400
223,28074.0,1400
224,27212.0,1400
225,26457.0,1400
226,25443.0,1400
227,25348.0,1400
228,14556.0,1400
229,15686.0,1400
230,17837.0,1400
231,19849.0,1400
232,22154.0,1400
233,24582.0,1400
234,25825.0,1400
235,26166.0,1400
236,25600.0,1400
237,24895.0,1400
238,23858.0,1400
239,23610.0,1400
