id,n_photons,elevation
0,14765.0,1000
1,15638.0,1000
2,16618.0,1000
3,17710.0,1000
4,19047.0,1000
5,19404.0,1000
6,20003.0,1000
7,20519.0,1000
8,21006.0,1000
9,21218.0,1000
10,20964.0,1000
11,21393.0,1000
12,14438.0,1000
13,15585.0,1000
14,16639.0,1000
15,17529.0,1000
16,18661.0,1000
17,19192.0,1000
18,20367.0,1000
19,20251.0,1000
20,20880.0,1000
21,20947.0,1000
22,21053.0,1000
23,20916.0,1000
24,14334.0,1000
25,15569.0,1000
26,16783.0,1000
27,17650.0,1000
28,18574.0,1000
29,19324.0,1000
30,20234.0,1000
31,20154.0,1000
32,20993.0,1000
33,20866.0,1000
34,20833.0,1000
35,21062.0,1000
36,14437.0,1000
37,15495.0,1000
38,16688.0,1000
39,17593.0,1000
40,18512.0,1000
41,19575.0,1000
42,19970.0,1000
43,20823.0,1000
44,21063.0,1000
45,21210.0,1000
46,21470.0,1000
47,21238.0,1000
48,14812.0,1000
49,15533.0,1000
50,16834.0,1000
51,17774.0,1000
52,18995.0,1000
53,19800.0,1000
54,20281.0,1000
55,21088.0,1000
56,21472.0,1000
57,21369.0,1000
58,21606.0,1000
59,21442.0,1000
60,14651.0,1000
61,15561.0,1000
62,16815.0,1000
63,17925.0,1000
64,18982.0,1000
65,19850.0,1000
66,20672.0,1000
67,20949.0,1000
68,21388.0,1000
69,21665.0,1000
70,21641.0,1000
71,21590.0,1000
72,14246.0,1000
73,15446.0,1000
74,16744.0,1000
75,17835.0,1000
76,18485.0,1000
77,19711.0,1000
78,20202.0,1000
79,20962.0,1000
80,21252.0,1000
81,21317.0,1000
82,21340.0,1000
83,21539.0,1000
84,13855.0,1000
85,14852.0,1000
86,16332.0,1000
87,17257.0,1000
88,18185.0,1000
89,19129.0,1000
90,20063.0,1000
91,20533.0,1000
92,20921.0,1000
93,21197.0,1000
94,21086.0,1000
95,21220.0,1000
96,13158.0,1000
97,14199.0,1000
98,15394.0,1000
99,16168.0,1000
100,17498.0,1000
101,18233.0,1000
102,18776.0,1000
103,19415.0,1000
104,19721.0,1000
105,20324.0,1000
106,20073.0,1000
107,20050.0,1000
108,12096.0,1000
109,13085.0,1000
110,14171.0,1000
111,15113.0,1000
112,15976.0,1000
113,16910.0,1000
114,17426.0,1000
115,18091.0,1000
116,18459.0,1000
117,18422.0,1000
118,18494.0,1000
119,18376.0,1000
120,12580.0,1400
121,13595.0,1400
122,14682.0,1400
123,16010.0,1400
124,17231.0,1400
125,17970.0,1400
126,19045.0,1400
127,19818.0,1400
128,19511.0,1400
129,20021.0,1400
130,19869.0,1400
131,19817.0,1400
132,12762.0,1400
133,13682.0,1400
134,14983.0,1400
135,16406.0,1400
136,17550.0,1400
137,18618.0,1400
138,19629.0,1400
139,20130.0,1400
140,20183.0,1400
141,20292.0,1400
142,20212.0,1400
143,20392.0,1400
144,12678.0,1400
145,14238.0,1400
146,15445.0,1400
147,17057.0,1400
148,18432.0,1400
149,19836.0,1400
150,20679.0,1400
151,21180.0,1400
152,21378.0,1400
153,21173.0,1400
154,21003.0,1400
155,21025.0,1400
156,13317.0,1400
157,14683.0,1400
158,16161.0,1400
159,17846.0,1400
160,19647.0,1400
161,21392.0,1400
162,22379.0,1400
163,22844.0,1400
164,23282.0,1400
165,22699.0,1400
166,22402.0,1400
167,22496.0,1400
168,13497.0,1400
169,14931.0,1400
170,16888.0,1400
171,19405.0,1400
172,21430.0,1400
173,23261.0,1400
174,24600.0,1400
175,24961.0,1400
176,24805.0,1400
177,24152.0,1400
178,23956.0,1400
179,23766.0,1400
180,13794.0,1400
181,15548.0,1400
182,17583.0,1400
183,20347.0,1400
184,23108.0,1400
185,24972.0,1400
186,26946.0,1400
187,26940.0,1400
188,26587.0,1400
189,25416.0,1400
190,24888.0,1400
191,25047.0,1400
192,13782.0,1400
193,15584.0,1400
194,17792.0,1400
195,21093.0,1400
196,24051.0,1400
197,26538.0,1400
198,28196.0,1400
199,28810.0,1400
200,27672.0,1400
201,26856.0,1400
202,25722.0,1400
203,25358.0,1400
204,13564.0,1400
205,15215.0,1400
206,18200.0,1400
207,20931.0,1400
208,24199.0,1400
209,27128.0,1400
210,29072.0,1400
211,29136.0,1400
212,28332.0,1400
213,26996.0,1400
214,25715.0,1400
215,25661.0,1400
216,12834.0,1400
217,14577.0,1400
218,17240.0,1400
219,20034.0,1400
220,23007.0,1400
221,26020.0,1400
222,27840.0,1400
223,28274.0,1400
224,27217.0,1400
225,25783.0,1400
226,24937.0,1400
227,24332.0,1400
228,11718.0,1400
229,13454.0,1400
230,15783.0,1400
231,18060.0,1400
232,20857.0,1400
233,23259.0,1400
234,24784.0,1400
235,24847.0,1400
236,24351.0,1400
237,23039.0,1400
238,22280.0,1400
239,22035.0,1400
