id,n_photons,elevation
0,14487.0,1000
1,15651.0,1000
2,16968.0,1000
3,17640.0,1000
4,18988.0,1000
5,19592.0,1000
6,20163.0,1000
7,20559.0,1000
8,21096.0,1000
9,21200.0,1000
10,20993.0,1000
11,21426.0,1000
12,14598.0,1000
13,15425.0,1000
14,16474.0,1000
15,17455.0,1000
16,18410.0,1000
17,19459.0,1000
18,19979.0,1000
19,20275.0,1000
20,20672.0,1000
21,21287.0,1000
22,20705.0,1000
23,20776.0,1000
24,14436.0,1000
25,15371.0,1000
26,16415.0,1000
27,17556.0,1000
28,18738.0,1000
29,19343.0,1000
30,20187.0,1000
31,20514.0,1000
32,20732.0,1000
33,20875.0,1000
34,21222.0,1000
35,20961.0,1000
36,14608.0,1000
37,15555.0,1000
38,16627.0,1000
39,17518.0,1000
40,18873.0,1000
41,19429.0,1000
42,20314.0,1000
43,20907.0,1000
44,21262.0,1000
45,21314.0,1000
46,21107.0,1000
47,21648.0,1000
48,14529.0,1000
49,15767.0,1000
50,16621.0,1000
51,17827.0,1000
52,19064.0,1000
53,19886.0,1000
54,20458.0,1000
55,20915.0,1000
56,21322.0,1000
57,21728.0,1000
58,21698.0,1000
59,21398.0,1000
60,14434.0,1000
61,15726.0,1000
62,16772.0,1000
63,17738.0,1000
64,18995.0,1000
65,20094.0,1000
66,20773.0,1000
67,21006.0,1000
68,21428.0,1000
69,21681.0,1000
70,21683.0,1000
71,21300.0,1000
72,14277.0,1000
73,15530.0,1000
74,16629.0,1000
75,17598.0,1000
76,18908.0,1000
77,19592.0,1000
78,20082.0,1000
79,20661.0,1000
80,21355.0,1000
81,21624.0,1000
82,21701.0,1000
83,21771.0,1000
84,13777.0,1000
85,14844.0,1000
86,16282.0,1000
87,17145.0,1000
88,18349.0,1000
89,19094.0,1000
90,19747.0,1000
91,20262.0,1000
92,20637.0,1000
93,21160.0,1000
94,20865.0,1000
95,21152.0,1000
96,13299.0,1000
97,14284.0,1000
98,15546.0,1000
99,16562.0,1000
100,17726.0,1000
101,18211.0,1000
102,18826.0,1000
103,19183.0,1000
104,19893.0,1000
105,20167.0,1000
106,19930.0,1000
107,20091.0,1000
108,12163.0,1000
109,13144.0,1000
110,14367.0,1000
111,15394.0,1000
112,16219.0,1000
113,17136.0,1000
114,17402.0,1000
115,17948.0,1000
116,18409.0,1000
117,18436.0,1000
118,18515.0,1000
119,18287.0,1000
120,12543.0,1400
121,13784.0,1400
122,14965.0,1400
123,15858.0,1400
124,17290.0,1400
125,18348.0,1400
126,19202.0,1400
127,19480.0,1400
128,19691.0,1400
129,19759.0,1400
130,19754.0,1400
131,19913.0,1400
132,12690.0,1400
133,13819.0,1400
134,14901.0,1400
135,16211.0,1400
136,17667.0,1400
137,18707.0,1400
138,19295.0,1400
139,19911.0,1400
140,20091.0,1400
141,20545.0,1400
142,20180.0,1400
143,20515.0,1400
144,12904.0,1400
145,14354.0,1400
146,15415.0,1400
147,16952.0,1400
148,18784.0,1400
149,19508.0,1400
150,20694.0,1400
151,21116.0,1400
152,21242.0,1400
153,21547.0,1400
154,20885.0,1400
155,21102.0,1400
156,13085.0,1400
157,14729.0,1400
158,15953.0,1400
159,17940.0,1400
160,20163.0,1400
161,21187.0,1400
162,22314.0,1400
163,22861.0,1400
164,22935.0,1400
165,22603.0,1400
166,22406.0,1400
167,22513.0,1400
168,13595.0,1400
169,15209.0,1400
170,17099.0,1400
171,19343.0,1400
172,21267.0,1400
173,23329.0,1400
174,24710.0,1400
175,25045.0,1400
176,24745.0,1400
177,24568.0,1400
178,23736.0,1400
179,23520.0,1400
180,13602.0,1400
181,15534.0,1400
182,17627.0,1400
183,20085.0,1400
184,23196.0,1400
185,24793.0,1400
186,26869.0,1400
187,27369.0,1400
188,26871.0,1400
189,25408.0,1400
190,24802.0,1400
191,24931.0,1400
192,13607.0,1400
193,15613.0,1400
194,18072.0,1400
195,20928.0,1400
196,24056.0,1400
197,26767.0,1400
198,28586.0,1400
199,28995.0,1400
200,28058.0,1400
201,26791.0,1400
202,25984.0,1400
203,25628.0,1400
204,13730.0,1400
205,15326.0,1400
206,17986.0,1400
207,20997.0,1400
208,24054.0,1400
209,27062.0,1400
210,28992.0,1400
211,29049.0,1400
212,27971.0,1400
213,27027.0,1400
214,25751.0,1400
215,25574.0,1400
216,12869.0,1400
217,14796.0,1400
218,16815.0,1400
219,20284.0,1400
220,23470.0,1400
221,25863.0,1400
222,27865.0,1400
223,27983.0,1400
224,26966.0,1400
225,25823.0,1400
226,24565.0,1400
227,24110.0,1400
228,11790.0,1400
229,13505.0,1400
230,15707.0,1400
231,17953.0,1400
232,20788.0,1400
233,23147.0,1400
234,24669.0,1400
235,25109.0,1400
236,24304.0,1400
237,23174.0,1400
238,22428.0,1400
239,22242.0,1400
