id,n_photons,elevation
0,14650.0,1000
1,15576.0,1000
2,16939.0,1000
3,17714.0,1000
4,18960.0,1000
5,19427.0,1000
6,20267.0,1000
7,20865.0,1000
8,21040.0,1000
9,21090.0,1000
10,21009.0,1000
11,21079.0,1000
12,14482.0,1000
13,15405.0,1000
14,16435.0,1000
15,17536.0,1000
16,18673.0,1000
17,19025.0,1000
18,19829.0,1000
19,20308.0,1000
20,20605.0,1000
21,20784.0,1000
22,20759.0,1000
23,21109.0,1000
24,14785.0,1000
25,15303.0,1000
26,16512.0,1000
27,17535.0,1000
28,18339.0,1000
29,19081.0,1000
30,20039.0,1000
31,20308.0,1000
32,20741.0,1000
33,20901.0,1000
34,21028.0,1000
35,21308.0,1000
36,14542.0,1000
37,15578.0,1000
38,16745.0,1000
39,17800.0,1000
40,18750.0,1000
41,19719.0,1000
42,20333.0,1000
43,20987.0,1000
44,21141.0,1000
45,21375.0,1000
46,21192.0,1000
47,20919.0,1000
48,14538.0,1000
49,15878.0,1000
50,16724.0,1000
51,17787.0,1000
52,18809.0,1000
53,19681.0,1000
54,20516.0,1000
55,21135.0,1000
56,21612.0,1000
57,21519.0,1000
58,21475.0,1000
59,21573.0,1000
60,14168.0,1000
61,15512.0,1000
62,16519.0,1000
63,17930.0,1000
64,18999.0,1000
65,19575.0,1000
66,20593.0,1000
67,21163.0,1000
68,21322.0,1000
69,21618.0,1000
70,21628.0,1000
71,21569.0,1000
72,14152.0,1000
73,15385.0,1000
74,16613.0,1000
75,18052.0,1000
76,18703.0,1000
77,19650.0,1000
78,20336.0,1000
79,21024.0,1000
80,21036.0,1000
81,21470.0,1000
82,21513.0,1000
83,21609.0,1000
84,13913.0,1000
85,14923.0,1000
86,16024.0,1000
87,17303.0,1000
88,18182.0,1000
89,19195.0,1000
90,19846.0,1000
91,20154.0,1000
92,20823.0,1000
93,20668.0,1000
94,20796.0,1000
95,20860.0,1000
96,13285.0,1000
97,14297.0,1000
98,15592.0,1000
99,16009.0,1000
100,17163.0,1000
101,18347.0,1000
102,18750.0,1000
103,19352.0,1000
104,20063.0,1000
105,20138.0,1000
106,19923.0,1000
107,20122.0,1000
108,11920.0,1000
109,13350.0,1000
110,14384.0,1000
111,15148.0,1000
112,16027.0,1000
113,16857.0,1000
114,17425.0,1000
115,18103.0,1000
116,18352.0,1000
117,18541.0,1000
118,18452.0,1000
119,18369.0,1000
120,12444.0,1400
121,13559.0,1400
122,14574.0,1400
123,16193.0,1400
124,17202.0,1400
125,18169.0,1400
126,19180.0,1400
127,19254.0,1400
128,19870.0,1400
129,19785.0,1400
130,19900.0,1400
131,19717.0,1400
132,12471.0,1400
133,13851.0,1400
134,14916.0,1400
135,16330.0,1400
136,17522.0,1400
137,18902.0,1400
138,19379.0,1400
139,20027.0,1400
140,20445.0,1400
141,20320.0,1400
142,20192.0,1400
143,20361.0,1400
144,13040.0,1400
145,14257.0,1400
146,15695.0,1400
147,17071.0,1400
148,18352.0,1400
149,20056.0,1400
150,20640.0,1400
151,21217.0,1400
152,21526.0,1400
153,21043.0,1400
154,21333.0,1400
155,20977.0,1400
156,13137.0,1400
157,14695.0,1400
158,16273.0,1400
159,18054.0,1400
160,19971.0,1400
161,21237.0,1400
162,22196.0,1400
163,22600.0,1400
164,22986.0,1400
165,22630.0,1400
166,22193.0,1400
167,22474.0,1400
168,13675.0,1400
169,15137.0,1400
170,17234.0,1400
171,19157.0,1400
172,21223.0,1400
173,23017.0,1400
174,24516.0,1400
175,25069.0,1400
176,25220.0,1400
177,24360.0,1400
178,23582.0,1400
179,23500.0,1400
180,13618.0,1400
181,15306.0,1400
182,17625.0,1400
183,19951.0,1400
184,22716.0,1400
185,25319.0,1400
186,26550.0,1400
187,26939.0,1400
188,26885.0,1400
189,25768.0,1400
190,25369.0,1400
191,24874.0,1400
192,13905.0,1400
193,15793.0,1400
194,18119.0,1400
195,20919.0,1400
196,24015.0,1400
197,26657.0,1400
198,28311.0,1400
199,28720.0,1400
200,28061.0,1400
201,26761.0,1400
202,25715.0,1400
203,25733.0,1400
204,13538.0,1400
205,15438.0,1400
206,17932.0,1400
207,21073.0,1400
208,24391.0,1400
209,27088.0,1400
210,28871.0,1400
211,28907.0,1400
212,28172.0,1400
213,26825.0,1400
214,25801.0,1400
215,25480.0,1400
216,12956.0,1400
217,14621.0,1400
218,17191.0,1400
219,20204.0,1400
220,23126.0,1400
221,25950.0,1400
222,27695.0,1400
223,28100.0,1400
224,27081.0,1400
225,25835.0,1400
226,24827.0,1400
227,24249.0,1400
228,11714.0,1400
229,13470.0,1400
230,15577.0,1400
231,18241.0,1400
232,20700.0,1400
233,23236.0,1400
234,24572.0,1400
235,24994.0,1400
236,24506.0,1400
237,23097.0,1400
238,22400.0,1400
239,21887.0,1400
