id,n_photons,elevation
0,14777.0,1000
1,16084.0,1000
2,17198.0,1000
3,18346.0,1000
4,18919.0,1000
5,19898.0,1000
6,20423.0,1000
7,20825.0,1000
8,21263.0,1000
9,21422.0,1000
10,21899.0,1000
11,21182.0,1000
12,14834.0,1000
13,15975.0,1000
14,17216.0,1000
15,18179.0,1000
16,18999.0,1000
17,19750.0,1000
18,20200.0,1000
19,20830.0,1000
20,21354.0,1000
21,21780.0,1000
22,21708.0,1000
23,21923.0,1000
24,14807.0,1000
25,16020.0,1000
26,17154.0,1000
27,18139.0,1000
28,19186.0,1000
29,19772.0,1000
30,20458.0,1000
31,21216.0,1000
32,21408.0,1000
33,21669.0,1000
34,21767.0,1000
35,21951.0,1000
36,15059.0,1000
37,16347.0,1000
38,17226.0,1000
39,18307.0,1000
40,19150.0,1000
41,20063.0,1000
42,20923.0,1000
43,21778.0,1000
44,21790.0,1000
45,21819.0,1000
46,22265.0,1000
47,21923.0,1000
48,14939.0,1000
49,16152.0,1000
50,17362.0,1000
51,18521.0,1000
52,19390.0,1000
53,20165.0,1000
54,20487.0,1000
55,21361.0,1000
56,21831.0,1000
57,22041.0,1000
58,22138.0,1000
59,22355.0,1000
60,14982.0,1000
61,16128.0,1000
62,16935.0,1000
63,18085.0,1000
64,18848.0,1000
65,20059.0,1000
66,20963.0,1000
67,21327.0,1000
68,21668.0,1000
69,21784.0,1000
70,22196.0,1000
71,22300.0,1000
72,14402.0,1000
73,15675.0,1000
74,16975.0,1000
75,17953.0,1000
76,19076.0,1000
77,19598.0,1000
78,20812.0,1000
79,21272.0,1000
80,21580.0,1000
81,22050.0,1000
82,22050.0,1000
83,22091.0,1000
84,14031.0,1000
85,15446.0,1000
86,16315.0,1000
87,17238.0,1000
88,18068.0,1000
89,19329.0,1000
90,19956.0,1000
91,20557.0,1000
92,21082.0,1000
93,21115.0,1000
94,21676.0,1000
95,21375.0,1000
96,13338.0,1000
97,14601.0,1000
98,15769.0,1000
99,16928.0,1000
100,17699.0,1000
101,18324.0,1000
102,19076.0,1000
103,19776.0,1000
104,19921.0,1000
105,20238.0,1000
106,20285.0,1000
107,20449.0,1000
108,12503.0,1000
109,13330.0,1000
110,14331.0,1000
111,15476.0,1000
112,16350.0,1000
113,17071.0,1000
114,17953.0,1000
115,18109.0,1000
116,18540.0,1000
117,18971.0,1000
118,18792.0,1000
119,18945.0,1000
120,13302.0,1400
121,14288.0,1400
122,15637.0,1400
123,17052.0,1400
124,18474.0,1400
125,19055.0,1400
126,20090.0,1400
127,20886.0,1400
128,20748.0,1400
129,21126.0,1400
130,20901.0,1400
131,20889.0,1400
132,13403.0,1400
133,14312.0,1400
134,15786.0,1400
135,17180.0,1400
136,18514.0,1400
137,19512.0,1400
138,20098.0,1400
139,21011.0,1400
140,21434.0,1400
141,21324.0,1400
142,21446.0,1400
143,20957.0,1400
144,13635.0,1400
145,15131.0,1400
146,16206.0,1400
147,17721.0,1400
148,19334.0,1400
149,20807.0,1400
150,21747.0,1400
151,22227.0,1400
152,22356.0,1400
153,21995.0,1400
154,22307.0,1400
155,22236.0,1400
156,13554.0,1400
157,15134.0,1400
158,16632.0,1400
159,18602.0,1400
160,20609.0,1400
161,21965.0,1400
162,23302.0,1400
163,23887.0,1400
164,23640.0,1400
165,23378.0,1400
166,23182.0,1400
167,23501.0,1400
168,13975.0,1400
169,15719.0,1400
170,17436.0,1400
171,19772.0,1400
172,22124.0,1400
173,23864.0,1400
174,25018.0,1400
175,25824.0,1400
176,25383.0,1400
177,25158.0,1400
178,24706.0,1400
179,24422.0,1400
180,13949.0,1400
181,15919.0,1400
182,18383.0,1400
183,20582.0,1400
184,23449.0,1400
185,25706.0,1400
186,27590.0,1400
187,27778.0,1400
188,27539.0,1400
189,26541.0,1400
190,25937.0,1400
191,25791.0,1400
192,14115.0,1400
193,16077.0,1400
194,18508.0,1400
195,21558.0,1400
196,24678.0,1400
197,27444.0,1400
198,28721.0,1400
199,29271.0,1400
200,28781.0,1400
201,27493.0,1400
202,26547.0,1400
203,26051.0,1400
204,13890.0,1400
205,15851.0,1400
206,18508.0,1400
207,21458.0,1400
208,25040.0,1400
209,27577.0,1400
210,29461.0,1400
211,29891.0,1400
212,28947.0,1400
213,27718.0,1400
214,26258.0,1400
215,26204.0,1400
216,13176.0,1400
217,14992.0,1400
218,17922.0,1400
219,20589.0,1400
220,23777.0,1400
221,26549.0,1400
222,28396.0,1400
223,29167.0,1400
224,27867.0,1400
225,26651.0,1400
226,25129.0,1400
227,24969.0,1400
228,12044.0,1400
229,13628.0,1400
230,15997.0,1400
231,18398.0,1400
232,21572.0,1400
233,23683.0,1400
234,25403.0,1400
235,25857.0,1400
236,24882.0,1400
237,23649.0,1400
238,22680.0,1400
239,22510.0,1400
