id,n_photons,elevation
0,19829.0,1000
1,20576.0,1000
2,21593.0,1000
3,22542.0,1000
4,23581.0,1000
5,24494.0,1000
6,25200.0,1000
7,25410.0,1000
8,25711.0,1000
9,25937.0,1000
10,25948.0,1000
11,26123.0,1000
12,19469.0,1000
13,20603.0,1000
14,21246.0,1000
15,22203.0,1000
16,23255.0,1000
17,24191.0,1000
18,24391.0,1000
19,25101.0,1000
20,25320.0,1000
21,25619.0,1000
22,25517.0,1000
23,25503.0,1000
24,19393.0,1000
25,20333.0,1000
26,21327.0,1000
27,22290.0,1000
28,23298.0,1000
29,23685.0,1000
30,24604.0,1000
31,24775.0,1000
32,25045.0,1000
33,26016.0,1000
34,25559.0,1000
35,25467.0,1000
36,19426.0,1000
37,20216.0,1000
38,21052.0,1000
39,22165.0,1000
40,22928.0,1000
41,23858.0,1000
42,24524.0,1000
43,25097.0,1000
44,25501.0,1000
45,25499.0,1000
46,25276.0,1000
47,25364.0,1000
48,19240.0,1000
49,20114.0,1000
50,21079.0,1000
51,22069.0,1000
52,23069.0,1000
53,23784.0,1000
54,24651.0,1000
55,25071.0,1000
56,25258.0,1000
57,25537.0,1000
58,25775.0,1000
59,25533.0,1000
60,19258.0,1000
61,20060.0,1000
62,21094.0,1000
63,22211.0,1000
64,23081.0,1000
65,23711.0,1000
66,24475.0,1000
67,24870.0,1000
68,25339.0,1000
69,25731.0,1000
70,25477.0,1000
71,25545.0,1000
72,18798.0,1000
73,19866.0,1000
74,20539.0,1000
75,21447.0,1000
76,22808.0,1000
77,23485.0,1000
78,24503.0,1000
79,24631.0,1000
80,25301.0,1000
81,25350.0,1000
82,25499.0,1000
83,25403.0,1000
84,18487.0,1000
85,19253.0,1000
86,20240.0,1000
87,21270.0,1000
88,22201.0,1000
89,22868.0,1000
90,23553.0,1000
91,24200.0,1000
92,24592.0,1000
93,24657.0,1000
94,24848.0,1000
95,25043.0,1000
96,17817.0,1000
97,18396.0,1000
98,19485.0,1000
99,20574.0,1000
100,21454.0,1000
101,21979.0,1000
102,22559.0,1000
103,23189.0,1000
104,23693.0,1000
105,23961.0,1000
106,23863.0,1000
107,23906.0,1000
108,16799.0,1000
109,17656.0,1000
110,18345.0,1000
111,19253.0,1000
112,20391.0,1000
113,21305.0,1000
114,21995.0,1000
115,22348.0,1000
116,22825.0,1000
117,22750.0,1000
118,23117.0,1000
119,22868.0,1000
120,18564.0,1400
121,19467.0,1400
122,20572.0,1400
123,22361.0,1400
124,23396.0,1400
125,24686.0,1400
126,25479.0,1400
127,25959.0,1400
128,26400.0,1400
129,26595.0,1400
130,26226.0,1400
131,26503.0,1400
132,18801.0,1400
133,19873.0,1400
134,21041.0,1400
135,22316.0,1400
136,23762.0,1400
137,25005.0,1400
138,25901.0,1400
139,26574.0,1400
140,26472.0,1400
141,26703.0,1400
142,26485.0,1400
143,26324.0,1400
144,18969.0,1400
145,20074.0,1400
146,21085.0,1400
147,22677.0,1400
148,24724.0,1400
149,25804.0,1400
150,26704.0,1400
151,27125.0,1400
152,27191.0,1400
153,27230.0,1400
154,26738.0,1400
155,26932.0,1400
156,18801.0,1400
157,20114.0,1400
158,21320.0,1400
159,23337.0,1400
160,25254.0,1400
161,27065.0,1400
162,27654.0,1400
163,28535.0,1400
164,28084.0,1400
165,28115.0,1400
166,27832.0,1400
167,27473.0,1400
168,19124.0,1400
169,20441.0,1400
170,22107.0,1400
171,24068.0,1400
172,26270.0,1400
173,27806.0,1400
174,29734.0,1400
175,29990.0,1400
176,29540.0,1400
177,29035.0,1400
178,28730.0,1400
179,28322.0,1400
180,18852.0,1400
181,20292.0,1400
182,22520.0,1400
183,24564.0,1400
184,27103.0,1400
185,28961.0,1400
186,30671.0,1400
187,30894.0,1400
188,30784.0,1400
189,30368.0,1400
190,29185.0,1400
191,28914.0,1400
192,18858.0,1400
193,20478.0,1400
194,22269.0,1400
195,24818.0,1400
196,27781.0,1400
197,30050.0,1400
198,31611.0,1400
199,31788.0,1400
200,31639.0,1400
201,30392.0,1400
202,29863.0,1400
203,29508.0,1400
204,18524.0,1400
205,19935.0,1400
206,22147.0,1400
207,24916.0,1400
208,27541.0,1400
209,30131.0,1400
210,31804.0,1400
211,32249.0,1400
212,31196.0,1400
213,30139.0,1400
214,29501.0,1400
215,28904.0,1400
216,17782.0,1400
217,19364.0,1400
218,21666.0,1400
219,23801.0,1400
220,26823.0,1400
221,29435.0,1400
222,30864.0,1400
223,30926.0,1400
224,30525.0,1400
225,29542.0,1400
226,28167.0,1400
227,28288.0,1400
228,17053.0,1400
229,18273.0,1400
230,20441.0,1400
231,22851.0,1400
232,25142.0,1400
233,27370.0,1400
234,28821.0,1400
235,29021.0,1400
236,28495.0,1400
237,27844.0,1400
238,26956.0,1400
239,26614.0,1400
