id,n_photons,elevation
0,14612.0,1000
1,16175.0,1000
2,17203.0,1000
3,18271.0,1000
4,19201.0,1000
5,19996.0,1000
6,20315.0,1000
7,20615.0,1000
8,21458.0,1000
9,21350.0,1000
10,21722.0,1000
11,21638.0,1000
12,14746.0,1000
13,15963.0,1000
14,17017.0,1000
15,17963.0,1000
16,18832.0,1000
17,19960.0,1000
18,20429.0,1000
19,20843.0,1000
20,21456.0,1000
21,21584.0,1000
22,21633.0,1000
23,21635.0,1000
24,14935.0,1000
25,15795.0,1000
26,17203.0,1000
27,18251.0,1000
28,19154.0,1000
29,19825.0,1000
30,20352.0,1000
31,21232.0,1000
32,21306.0,1000
33,21512.0,1000
34,21444.0,1000
35,21946.0,1000
36,15074.0,1000
37,16006.0,1000
38,17022.0,1000
39,18104.0,1000
40,19162.0,1000
41,20184.0,1000
42,20765.0,1000
43,21040.0,1000
44,21685.0,1000
45,21604.0,1000
46,21974.0,1000
47,22002.0,1000
48,15081.0,1000
49,15841.0,1000
50,16984.0,1000
51,18442.0,1000
52,18905.0,1000
53,20015.0,1000
54,20914.0,1000
55,21267.0,1000
56,21735.0,1000
57,22283.0,1000
58,22298.0,1000
59,22459.0,1000
60,14864.0,1000
61,16132.0,1000
62,17298.0,1000
63,17881.0,1000
64,19156.0,1000
65,19919.0,1000
66,20854.0,1000
67,21314.0,1000
68,21819.0,1000
69,22136.0,1000
70,22228.0,1000
71,22221.0,1000
72,14664.0,1000
73,15683.0,1000
74,16753.0,1000
75,17617.0,1000
76,18914.0,1000
77,19956.0,1000
78,20570.0,1000
79,21234.0,1000
80,21791.0,1000
81,21739.0,1000
82,21846.0,1000
83,22015.0,1000
84,14087.0,1000
85,15219.0,1000
86,16365.0,1000
87,17331.0,1000
88,18477.0,1000
89,19365.0,1000
90,20107.0,1000
91,20781.0,1000
92,21033.0,1000
93,21033.0,1000
94,21544.0,1000
95,21233.0,1000
96,13471.0,1000
97,14579.0,1000
98,15567.0,1000
99,16891.0,1000
100,17619.0,1000
101,18492.0,1000
102,19295.0,1000
103,19714.0,1000
104,19938.0,1000
105,20416.0,1000
106,20570.0,1000
107,20439.0,1000
108,12453.0,1000
109,13352.0,1000
110,14499.0,1000
111,15273.0,1000
112,16289.0,1000
113,17221.0,1000
114,17880.0,1000
115,18185.0,1000
116,18827.0,1000
117,18892.0,1000
118,18810.0,1000
119,19113.0,1000
120,13248.0,1400
121,14063.0,1400
122,15579.0,1400
123,16842.0,1400
124,18123.0,1400
125,19169.0,1400
126,20293.0,1400
127,20601.0,1400
128,20947.0,1400
129,21103.0,1400
130,20929.0,1400
131,20859.0,1400
132,13183.0,1400
133,14393.0,1400
134,15618.0,1400
135,17098.0,1400
136,18354.0,1400
137,19938.0,1400
138,20324.0,1400
139,21044.0,1400
140,21256.0,1400
141,21293.0,1400
142,21322.0,1400
143,21124.0,1400
144,13436.0,1400
145,14840.0,1400
146,16393.0,1400
147,17780.0,1400
148,19333.0,1400
149,20745.0,1400
150,21330.0,1400
151,22014.0,1400
152,22530.0,1400
153,21874.0,1400
154,22350.0,1400
155,22445.0,1400
156,13582.0,1400
157,15146.0,1400
158,16765.0,1400
159,18640.0,1400
160,20445.0,1400
161,22378.0,1400
162,23195.0,1400
163,23647.0,1400
164,23613.0,1400
165,23625.0,1400
166,23187.0,1400
167,23152.0,1400
168,13944.0,1400
169,15527.0,1400
170,17551.0,1400
171,19901.0,1400
172,21763.0,1400
173,23987.0,1400
174,25406.0,1400
175,25569.0,1400
176,25702.0,1400
177,25182.0,1400
178,24596.0,1400
179,24773.0,1400
180,14378.0,1400
181,16088.0,1400
182,18201.0,1400
183,20620.0,1400
184,23759.0,1400
185,25874.0,1400
186,27482.0,1400
187,27629.0,1400
188,27524.0,1400
189,26534.0,1400
190,25903.0,1400
191,25540.0,1400
192,13952.0,1400
193,16085.0,1400
194,18536.0,1400
195,21428.0,1400
196,24569.0,1400
197,27440.0,1400
198,28937.0,1400
199,29646.0,1400
200,28363.0,1400
201,27796.0,1400
202,26273.0,1400
203,26098.0,1400
204,13614.0,1400
205,15880.0,1400
206,18491.0,1400
207,21534.0,1400
208,24868.0,1400
209,27674.0,1400
210,29762.0,1400
211,29762.0,1400
212,28645.0,1400
213,27343.0,1400
214,26458.0,1400
215,26143.0,1400
216,12924.0,1400
217,14793.0,1400
218,17445.0,1400
219,20726.0,1400
220,23898.0,1400
221,26892.0,1400
222,28301.0,1400
223,28687.0,1400
224,27954.0,1400
225,26431.0,1400
226,25245.0,1400
227,24922.0,1400
228,11680.0,1400
229,13820.0,1400
230,15927.0,1400
231,18523.0,1400
232,21383.0,1400
233,23883.0,1400
234,25259.0,1400
235,25513.0,1400
236,24905.0,1400
237,23860.0,1400
238,22938.0,1400
239,22561.0,1400
