id,n_photons,elevation
0,14222.0,1000
1,15092.0,1000
2,16105.0,1000
3,16990.0,1000
4,17696.0,1000
5,18606.0,1000
6,19230.0,1000
7,20039.0,1000
8,20072.0,1000
9,20308.0,1000
10,20646.0,1000
11,20768.0,1000
12,14292.0,1000
13,15158.0,1000
14,16308.0,1000
15,16932.0,1000
16,17748.0,1000
17,18742.0,1000
18,19223.0,1000
19,20030.0,1000
20,20442.0,1000
21,20672.0,1000
22,20517.0,1000
23,21072.0,1000
24,13961.0,1000
25,15143.0,1000
26,16333.0,1000
27,17253.0,1000
28,17904.0,1000
29,19035.0,1000
30,19426.0,1000
31,20252.0,1000
32,20320.0,1000
33,20454.0,1000
34,21039.0,1000
35,21171.0,1000
36,14073.0,1000
37,15263.0,1000
38,16023.0,1000
39,17221.0,1000
40,18175.0,1000
41,19095.0,1000
42,19567.0,1000
43,20306.0,1000
44,20569.0,1000
45,20627.0,1000
46,20820.0,1000
47,20744.0,1000
48,14088.0,1000
49,15155.0,1000
50,16301.0,1000
51,17417.0,1000
52,18476.0,1000
53,19432.0,1000
54,20058.0,1000
55,20575.0,1000
56,20932.0,1000
57,21198.0,1000
58,21210.0,1000
59,21340.0,1000
60,14168.0,1000
61,15217.0,1000
62,16598.0,1000
63,17401.0,1000
64,18271.0,1000
65,19066.0,1000
66,20101.0,1000
67,20421.0,1000
68,20850.0,1000
69,21119.0,1000
70,21304.0,1000
71,21331.0,1000
72,13930.0,1000
73,14916.0,1000
74,16170.0,1000
75,16739.0,1000
76,17921.0,1000
77,18897.0,1000
78,19948.0,1000
79,20505.0,1000
80,20903.0,1000
81,21073.0,1000
82,21052.0,1000
83,21059.0,1000
84,13521.0,1000
85,14680.0,1000
86,15705.0,1000
87,16728.0,1000
88,17843.0,1000
89,18417.0,1000
90,19557.0,1000
91,20062.0,1000
92,20338.0,1000
93,20491.0,1000
94,20643.0,1000
95,20391.0,1000
96,13036.0,1000
97,14058.0,1000
98,14917.0,1000
99,16032.0,1000
100,17100.0,1000
101,18033.0,1000
102,18662.0,1000
103,19204.0,1000
104,19342.0,1000
105,19464.0,1000
106,19547.0,1000
107,19824.0,1000
108,12027.0,1000
109,12879.0,1000
110,13806.0,1000
111,14815.0,1000
112,15792.0,1000
113,16257.0,1000
114,17207.0,1000
115,17512.0,1000
116,18239.0,1000
117,17927.0,1000
118,18041.0,1000
119,18233.0,1000
120,13111.0,1400
121,14352.0,1400
122,15455.0,1400
123,16766.0,1400
124,18273.0,1400
125,19458.0,1400
126,20334.0,1400
127,21304.0,1400
128,21335.0,1400
129,21692.0,1400
130,21689.0,1400
131,21720.0,1400
132,13274.0,1400
133,14538.0,1400
134,15740.0,1400
135,17256.0,1400
136,18758.0,1400
137,20122.0,1400
138,21120.0,1400
139,21527.0,1400
140,21835.0,1400
141,22124.0,1400
142,22059.0,1400
143,21846.0,1400
144,13783.0,1400
145,14837.0,1400
146,16498.0,1400
147,17922.0,1400
148,19870.0,1400
149,20936.0,1400
150,22116.0,1400
151,22711.0,1400
152,23014.0,1400
153,22981.0,1400
154,22697.0,1400
155,23038.0,1400
156,13821.0,1400
157,15480.0,1400
158,17024.0,1400
159,18904.0,1400
160,20923.0,1400
161,22360.0,1400
162,23998.0,1400
163,24539.0,1400
164,24667.0,1400
165,24567.0,1400
166,23879.0,1400
167,23813.0,1400
168,14156.0,1400
169,15961.0,1400
170,17748.0,1400
171,19963.0,1400
172,22573.0,1400
173,24458.0,1400
174,25931.0,1400
175,26711.0,1400
176,26631.0,1400
177,26188.0,1400
178,25532.0,1400
179,25160.0,1400
180,14367.0,1400
181,16029.0,1400
182,18540.0,1400
183,21277.0,1400
184,24319.0,1400
185,26795.0,1400
186,28355.0,1400
187,29062.0,1400
188,28386.0,1400
189,27264.0,1400
190,26807.0,1400
191,26620.0,1400
192,14181.0,1400
193,16279.0,1400
194,18664.0,1400
195,22067.0,1400
196,25369.0,1400
197,28397.0,1400
198,29817.0,1400
199,30510.0,1400
200,29952.0,1400
201,28238.0,1400
202,27627.0,1400
203,27271.0,1400
204,13985.0,1400
205,16021.0,1400
206,18810.0,1400
207,22274.0,1400
208,25642.0,1400
209,28466.0,1400
210,30562.0,1400
211,31097.0,1400
212,29884.0,1400
213,28650.0,1400
214,27422.0,1400
215,27254.0,1400
216,13385.0,1400
217,15273.0,1400
218,17735.0,1400
219,20967.0,1400
220,24446.0,1400
221,27487.0,1400
222,29099.0,1400
223,29681.0,1400
224,28995.0,1400
225,27618.0,1400
226,26056.0,1400
227,25912.0,1400
228,12485.0,1400
229,14019.0,1400
230,16484.0,1400
231,19196.0,1400
232,21945.0,1400
233,24327.0,1400
234,25926.0,1400
235,26219.0,1400
236,25963.0,1400
237,24731.0,1400
238,23863.0,1400
239,23475.0,1400
