id,n_photons,elevation
0,12833.0,1000
1,13656.0,1000
2,14653.0,1000
3,15400.0,1000
4,16150.0,1000
5,16753.0,1000
6,17598.0,1000
7,17928.0,1000
8,18576.0,1000
9,18609.0,1000
10,18700.0,1000
11,18962.0,1000
12,12674.0,1000
13,13800.0,1000
14,14879.0,1000
15,15517.0,1000
16,16242.0,1000
17,17047.0,1000
18,17757.0,1000
19,18242.0,1000
20,18332.0,1000
21,18583.0,1000
22,18994.0,1000
23,18882.0,1000
24,12941.0,1000
25,13833.0,1000
26,14843.0,1000
27,15689.0,1000
28,16634.0,1000
29,17272.0,1000
30,18019.0,1000
31,18349.0,1000
32,18522.0,1000
33,18922.0,1000
34,19121.0,1000
35,19046.0,1000
36,13024.0,1000
37,13953.0,1000
38,14727.0,1000
39,15474.0,1000
40,16317.0,1000
41,17551.0,1000
42,18001.0,1000
43,18591.0,1000
44,18768.0,1000
45,18777.0,1000
46,19003.0,1000
47,19324.0,1000
48,13002.0,1000
49,14005.0,1000
50,14930.0,1000
51,15752.0,1000
52,16667.0,1000
53,17629.0,1000
54,18183.0,1000
55,18641.0,1000
56,18915.0,1000
57,19230.0,1000
58,19226.0,1000
59,19340.0,1000
60,13035.0,1000
61,13769.0,1000
62,15002.0,1000
63,16032.0,1000
64,16786.0,1000
65,17727.0,1000
66,18307.0,1000
67,18782.0,1000
68,19361.0,1000
69,19411.0,1000
70,19348.0,1000
71,19453.0,1000
72,12705.0,1000
73,13745.0,1000
74,14706.0,1000
75,15503.0,1000
76,16641.0,1000
77,17282.0,1000
78,18094.0,1000
79,18576.0,1000
80,19111.0,1000
81,19002.0,1000
82,19216.0,1000
83,19314.0,1000
84,12634.0,1000
85,13209.0,1000
86,14233.0,1000
87,15219.0,1000
88,16414.0,1000
89,17320.0,1000
90,17814.0,1000
91,18448.0,1000
92,18431.0,1000
93,18678.0,1000
94,18802.0,1000
95,18977.0,1000
96,11756.0,1000
97,12661.0,1000
98,13529.0,1000
99,14645.0,1000
100,15670.0,1000
101,16466.0,1000
102,17010.0,1000
103,17558.0,1000
104,18058.0,1000
105,17873.0,1000
106,18024.0,1000
107,18093.0,1000
108,10866.0,1000
109,11833.0,1000
110,12761.0,1000
111,13729.0,1000
112,14558.0,1000
113,14884.0,1000
114,15673.0,1000
115,16092.0,1000
116,16715.0,1000
117,16875.0,1000
118,16951.0,1000
119,16521.0,1000
120,12081.0,1400
121,13126.0,1400
122,14015.0,1400
123,15303.0,1400
124,16710.0,1400
125,17690.0,1400
126,18507.0,1400
127,19028.0,1400
128,19233.0,1400
129,19789.0,1400
130,19745.0,1400
131,19642.0,1400
132,12223.0,1400
133,13096.0,1400
134,14273.0,1400
135,15885.0,1400
136,16793.0,1400
137,18104.0,1400
138,18998.0,1400
139,19455.0,1400
140,19829.0,1400
141,19754.0,1400
142,20022.0,1400
143,19979.0,1400
144,12219.0,1400
145,13558.0,1400
146,14627.0,1400
147,16339.0,1400
148,17500.0,1400
149,19392.0,1400
150,20039.0,1400
151,20734.0,1400
152,20691.0,1400
153,20835.0,1400
154,20947.0,1400
155,20768.0,1400
156,12536.0,1400
157,13959.0,1400
158,15623.0,1400
159,17328.0,1400
160,18925.0,1400
161,20652.0,1400
162,21689.0,1400
163,22221.0,1400
164,22488.0,1400
165,22148.0,1400
166,21816.0,1400
167,21971.0,1400
168,13056.0,1400
169,14450.0,1400
170,16326.0,1400
171,18248.0,1400
172,20600.0,1400
173,22627.0,1400
174,23883.0,1400
175,24338.0,1400
176,24240.0,1400
177,23423.0,1400
178,23017.0,1400
179,22939.0,1400
180,13075.0,1400
181,14743.0,1400
182,16916.0,1400
183,19389.0,1400
184,21977.0,1400
185,24321.0,1400
186,25896.0,1400
187,26366.0,1400
188,26156.0,1400
189,25086.0,1400
190,24628.0,1400
191,24490.0,1400
192,13209.0,1400
193,14731.0,1400
194,17541.0,1400
195,20284.0,1400
196,23061.0,1400
197,25960.0,1400
198,27537.0,1400
199,28176.0,1400
200,27447.0,1400
201,26246.0,1400
202,25424.0,1400
203,25027.0,1400
204,12893.0,1400
205,15020.0,1400
206,17122.0,1400
207,20180.0,1400
208,23488.0,1400
209,26276.0,1400
210,28273.0,1400
211,28555.0,1400
212,27666.0,1400
213,26205.0,1400
214,25337.0,1400
215,24963.0,1400
216,12368.0,1400
217,14033.0,1400
218,16593.0,1400
219,19380.0,1400
220,22497.0,1400
221,25392.0,1400
222,27435.0,1400
223,27700.0,1400
224,27028.0,1400
225,25315.0,1400
226,24335.0,1400
227,23953.0,1400
228,11466.0,1400
229,12820.0,1400
230,15228.0,1400
231,17714.0,1400
232,19995.0,1400
233,22793.0,1400
234,24154.0,1400
235,24834.0,1400
236,24195.0,1400
237,22889.0,1400
238,22062.0,1400
239,21854.0,1400
