id,n_photons,elevation
0,14399.0,1000
1,15429.0,1000
2,15578.0,1000
3,16681.0,1000
4,17289.0,1000
5,19530.0,1000
6,19433.0,1000
7,19921.0,1000
8,20602.0,1000
9,20418.0,1000
10,21402.0,1000
11,20611.0,1000
12,14595.0,1000
13,15345.0,1000
14,16527.0,1000
15,17007.0,1000
16,17604.0,1000
17,18540.0,1000
18,18552.0,1000
19,20338.0,1000
20,19154.0,1000
21,20537.0,1000
22,20260.0,1000
23,20862.0,1000
24,14339.0,1000
25,14781.0,1000
26,16714.0,1000
27,16899.0,1000
28,17149.0,1000
29,18132.0,1000
30,19770.0,1000
31,19149.0,1000
32,19877.0,1000
33,20477.0,1000
34,21253.0,1000
35,20573.0,1000
36,14347.0,1000
37,15723.0,1000
38,16323.0,1000
39,16597.0,1000
40,17707.0,1000
41,19853.0,1000
42,19565.0,1000
43,20360.0,1000
44,20956.0,1000
45,20775.0,1000
46,20751.0,1000
47,21578.0,1000
48,13094.0,1000
49,15699.0,1000
50,15668.0,1000
51,16688.0,1000
52,18809.0,1000
53,19668.0,1000
54,19796.0,1000
55,20140.0,1000
56,20414.0,1000
57,21285.0,1000
58,22250.0,1000
59,21893.0,1000
60,14221.0,1000
61,15166.0,1000
62,15245.0,1000
63,16469.0,1000
64,18822.0,1000
65,18557.0,1000
66,19582.0,1000
67,20950.0,1000
68,21341.0,1000
69,21386.0,1000
70,21455.0,1000
71,21703.0,1000
72,13522.0,1000
73,15232.0,1000
74,15933.0,1000
75,16708.0,1000
76,16876.0,1000
77,18612.0,1000
78,19892.0,1000
79,19845.0,1000
80,21049.0,1000
81,21053.0,1000
82,21327.0,1000
83,20839.0,1000
84,13476.0,1000
85,15303.0,1000
86,15821.0,1000
87,16614.0,1000
88,17574.0,1000
89,18885.0,1000
90,19055.0,1000
91,19481.0,1000
92,20962.0,1000
93,21587.0,1000
94,20773.0,1000
95,20414.0,1000
96,12542.0,1000
97,13838.0,1000
98,15231.0,1000
99,16037.0,1000
100,17454.0,1000
101,17869.0,1000
102,18721.0,1000
103,18437.0,1000
104,19669.0,1000
105,20248.0,1000
106,19948.0,1000
107,20358.0,1000
108,12090.0,1000
109,13048.0,1000
110,13995.0,1000
111,15128.0,1000
112,15543.0,1000
113,16258.0,1000
114,17532.0,1000
115,17261.0,1000
116,17838.0,1000
117,17463.0,1000
118,17796.0,1000
119,18697.0,1000
120,13088.0,1400
121,14828.0,1400
122,15385.0,1400
123,16394.0,1400
124,17624.0,1400
125,19216.0,1400
126,20608.0,1400
127,19918.0,1400
128,22187.0,1400
129,20417.0,1400
130,21445.0,1400
131,21946.0,1400
132,13248.0,1400
133,14482.0,1400
134,16106.0,1400
135,17148.0,1400
136,18436.0,1400
137,18833.0,1400
138,19748.0,1400
139,21932.0,1400
140,23027.0,1400
141,21303.0,1400
142,21996.0,1400
143,22428.0,1400
144,13589.0,1400
145,14195.0,1400
146,16256.0,1400
147,18250.0,1400
148,19176.0,1400
149,20539.0,1400
150,21420.0,1400
151,22841.0,1400
152,22188.0,1400
153,22207.0,1400
154,23766.0,1400
155,23015.0,1400
156,14301.0,1400
157,15713.0,1400
158,16985.0,1400
159,19171.0,1400
160,20235.0,1400
161,22753.0,1400
162,23387.0,1400
163,23911.0,1400
164,23454.0,1400
165,24755.0,1400
166,24557.0,1400
167,23911.0,1400
168,14064.0,1400
169,15507.0,1400
170,18135.0,1400
171,20041.0,1400
172,22942.0,1400
173,23791.0,1400
174,25322.0,1400
175,27721.0,1400
176,26000.0,1400
177,26079.0,1400
178,25807.0,1400
179,25285.0,1400
180,14546.0,1400
181,15674.0,1400
182,18626.0,1400
183,20278.0,1400
184,23907.0,1400
185,26974.0,1400
186,28350.0,1400
187,28051.0,1400
188,29011.0,1400
189,26869.0,1400
190,27039.0,1400
191,26341.0,1400
192,14514.0,1400
193,15834.0,1400
194,18372.0,1400
195,21451.0,1400
196,25080.0,1400
197,27429.0,1400
198,31383.0,1400
199,30525.0,1400
200,29397.0,1400
201,29489.0,1400
202,27665.0,1400
203,26811.0,1400
204,14159.0,1400
205,15790.0,1400
206,18362.0,1400
207,22554.0,1400
208,24983.0,1400
209,28835.0,1400
210,30292.0,1400
211,30599.0,1400
212,30771.0,1400
213,28285.0,1400
214,26714.0,1400
215,27224.0,1400
216,13833.0,1400
217,15452.0,1400
218,18300.0,1400
219,21890.0,1400
220,24778.0,1400
221,26959.0,1400
222,29169.0,1400
223,28532.0,1400
224,28038.0,1400
225,28368.0,1400
226,26197.0,1400
227,26628.0,1400
228,12356.0,1400
229,14275.0,1400
230,16612.0,1400
231,19110.0,1400
232,22101.0,1400
233,24069.0,1400
234,26131.0,1400
235,27218.0,1400
236,26066.0,1400
237,24867.0,1400
238,24051.0,1400
239,23783.0,1400
