id,n_photons,elevation
0,14241.0,1000
1,14995.0,1000
2,16135.0,1000
3,17205.0,1000
4,17751.0,1000
5,18817.0,1000
6,19212.0,1000
7,19752.0,1000
8,20289.0,1000
9,20835.0,1000
10,20626.0,1000
11,20640.0,1000
12,14167.0,1000
13,15198.0,1000
14,16343.0,1000
15,16704.0,1000
16,17747.0,1000
17,18790.0,1000
18,19724.0,1000
19,19940.0,1000
20,20202.0,1000
21,20391.0,1000
22,20680.0,1000
23,21016.0,1000
24,14083.0,1000
25,15446.0,1000
26,16210.0,1000
27,17409.0,1000
28,18028.0,1000
29,18703.0,1000
30,19549.0,1000
31,20120.0,1000
32,20690.0,1000
33,20801.0,1000
34,21006.0,1000
35,21213.0,1000
36,14072.0,1000
37,15272.0,1000
38,16170.0,1000
39,17101.0,1000
40,18136.0,1000
41,19040.0,1000
42,19766.0,1000
43,20298.0,1000
44,20673.0,1000
45,21194.0,1000
46,21257.0,1000
47,21086.0,1000
48,14127.0,1000
49,15080.0,1000
50,16444.0,1000
51,17527.0,1000
52,18286.0,1000
53,19401.0,1000
54,20093.0,1000
55,20562.0,1000
56,20673.0,1000
57,21206.0,1000
58,21316.0,1000
59,21206.0,1000
60,14009.0,1000
61,15175.0,1000
62,16174.0,1000
63,17330.0,1000
64,18295.0,1000
65,19011.0,1000
66,19924.0,1000
67,20348.0,1000
68,20966.0,1000
69,21102.0,1000
70,21347.0,1000
71,21524.0,1000
72,13824.0,1000
73,15012.0,1000
74,16091.0,1000
75,17054.0,1000
76,18324.0,1000
77,18942.0,1000
78,19904.0,1000
79,20258.0,1000
80,20789.0,1000
81,21057.0,1000
82,20937.0,1000
83,20946.0,1000
84,13490.0,1000
85,14506.0,1000
86,15830.0,1000
87,16872.0,1000
88,17615.0,1000
89,18733.0,1000
90,19390.0,1000
91,19993.0,1000
92,20362.0,1000
93,20399.0,1000
94,20761.0,1000
95,20722.0,1000
96,12948.0,1000
97,13916.0,1000
98,15096.0,1000
99,16119.0,1000
100,16968.0,1000
101,17816.0,1000
102,18484.0,1000
103,19309.0,1000
104,19645.0,1000
105,19441.0,1000
106,19682.0,1000
107,19870.0,1000
108,11932.0,1000
109,12842.0,1000
110,13886.0,1000
111,14806.0,1000
112,15611.0,1000
113,16712.0,1000
114,17406.0,1000
115,17585.0,1000
116,17946.0,1000
117,18000.0,1000
118,17999.0,1000
119,18412.0,1000
120,13337.0,1400
121,14336.0,1400
122,15761.0,1400
123,17040.0,1400
124,18445.0,1400
125,19484.0,1400
126,20466.0,1400
127,20954.0,1400
128,21532.0,1400
129,21642.0,1400
130,21651.0,1400
131,21738.0,1400
132,13310.0,1400
133,14184.0,1400
134,15834.0,1400
135,17228.0,1400
136,18657.0,1400
137,19972.0,1400
138,20943.0,1400
139,21303.0,1400
140,21883.0,1400
141,21882.0,1400
142,21715.0,1400
143,21660.0,1400
144,13686.0,1400
145,14976.0,1400
146,16204.0,1400
147,17963.0,1400
148,19539.0,1400
149,21031.0,1400
150,22149.0,1400
151,22621.0,1400
152,23001.0,1400
153,22962.0,1400
154,22832.0,1400
155,22923.0,1400
156,13813.0,1400
157,15260.0,1400
158,17101.0,1400
159,18802.0,1400
160,20706.0,1400
161,22576.0,1400
162,23897.0,1400
163,24402.0,1400
164,24799.0,1400
165,24602.0,1400
166,24119.0,1400
167,24058.0,1400
168,14358.0,1400
169,15753.0,1400
170,17896.0,1400
171,20084.0,1400
172,22493.0,1400
173,24931.0,1400
174,25928.0,1400
175,26728.0,1400
176,26468.0,1400
177,26097.0,1400
178,25462.0,1400
179,25289.0,1400
180,14476.0,1400
181,16323.0,1400
182,18433.0,1400
183,21417.0,1400
184,24475.0,1400
185,26650.0,1400
186,28403.0,1400
187,29065.0,1400
188,28205.0,1400
189,27543.0,1400
190,26865.0,1400
191,26575.0,1400
192,14345.0,1400
193,16365.0,1400
194,18852.0,1400
195,21984.0,1400
196,25437.0,1400
197,28384.0,1400
198,30212.0,1400
199,30832.0,1400
200,29935.0,1400
201,28718.0,1400
202,27534.0,1400
203,27109.0,1400
204,13970.0,1400
205,15758.0,1400
206,18666.0,1400
207,21978.0,1400
208,25535.0,1400
209,28529.0,1400
210,30624.0,1400
211,31182.0,1400
212,30008.0,1400
213,28805.0,1400
214,27293.0,1400
215,27067.0,1400
216,13599.0,1400
217,15189.0,1400
218,17773.0,1400
219,21111.0,1400
220,24937.0,1400
221,27033.0,1400
222,29493.0,1400
223,29783.0,1400
224,28819.0,1400
225,27446.0,1400
226,26301.0,1400
227,25838.0,1400
228,12322.0,1400
229,14182.0,1400
230,16420.0,1400
231,19124.0,1400
232,22049.0,1400
233,24397.0,1400
234,26230.0,1400
235,26395.0,1400
236,25559.0,1400
237,24766.0,1400
238,23516.0,1400
239,23545.0,1400
