id,n_photons,elevation
0,14243.0,1000
1,15164.0,1000
2,16336.0,1000
3,17180.0,1000
4,17997.0,1000
5,18729.0,1000
6,19173.0,1000
7,19579.0,1000
8,20117.0,1000
9,20524.0,1000
10,20441.0,1000
11,20581.0,1000
12,14115.0,1000
13,15193.0,1000
14,16232.0,1000
15,17015.0,1000
16,17902.0,1000
17,18497.0,1000
18,19320.0,1000
19,19586.0,1000
20,19953.0,1000
21,20147.0,1000
22,20666.0,1000
23,20554.0,1000
24,14163.0,1000
25,15343.0,1000
26,16146.0,1000
27,17202.0,1000
28,17840.0,1000
29,18889.0,1000
30,19391.0,1000
31,19801.0,1000
32,20273.0,1000
33,20425.0,1000
34,20628.0,1000
35,20668.0,1000
36,14358.0,1000
37,15173.0,1000
38,16397.0,1000
39,17237.0,1000
40,18089.0,1000
41,18930.0,1000
42,19465.0,1000
43,19883.0,1000
44,20180.0,1000
45,20608.0,1000
46,20786.0,1000
47,20948.0,1000
48,14289.0,1000
49,15267.0,1000
50,16182.0,1000
51,17176.0,1000
52,17965.0,1000
53,18992.0,1000
54,19773.0,1000
55,20262.0,1000
56,20527.0,1000
57,20715.0,1000
58,20860.0,1000
59,20789.0,1000
60,13917.0,1000
61,15369.0,1000
62,16241.0,1000
63,17200.0,1000
64,18325.0,1000
65,19177.0,1000
66,19873.0,1000
67,20210.0,1000
68,20680.0,1000
69,20783.0,1000
70,20855.0,1000
71,20945.0,1000
72,14026.0,1000
73,14840.0,1000
74,15988.0,1000
75,17216.0,1000
76,18046.0,1000
77,18900.0,1000
78,19506.0,1000
79,20164.0,1000
80,20264.0,1000
81,20582.0,1000
82,20601.0,1000
83,20552.0,1000
84,13561.0,1000
85,14277.0,1000
86,15387.0,1000
87,16332.0,1000
88,17677.0,1000
89,18407.0,1000
90,19343.0,1000
91,19568.0,1000
92,20009.0,1000
93,19957.0,1000
94,20285.0,1000
95,20093.0,1000
96,12878.0,1000
97,13736.0,1000
98,14720.0,1000
99,16025.0,1000
100,16664.0,1000
101,17788.0,1000
102,18179.0,1000
103,18790.0,1000
104,19245.0,1000
105,19273.0,1000
106,19305.0,1000
107,19178.0,1000
108,11881.0,1000
109,13018.0,1000
110,13779.0,1000
111,14836.0,1000
112,15547.0,1000
113,16395.0,1000
114,16886.0,1000
115,17219.0,1000
116,17631.0,1000
117,17961.0,1000
118,18109.0,1000
119,17747.0,1000
120,13716.0,1400
121,14549.0,1400
122,15833.0,1400
123,17116.0,1400
124,18365.0,1400
125,19563.0,1400
126,20253.0,1400
127,20887.0,1400
128,21548.0,1400
129,21347.0,1400
130,21368.0,1400
131,21288.0,1400
132,13500.0,1400
133,14637.0,1400
134,16157.0,1400
135,17457.0,1400
136,18475.0,1400
137,19892.0,1400
138,20737.0,1400
139,21352.0,1400
140,21907.0,1400
141,21690.0,1400
142,21438.0,1400
143,21674.0,1400
144,13967.0,1400
145,15015.0,1400
146,16591.0,1400
147,18128.0,1400
148,19453.0,1400
149,21025.0,1400
150,21869.0,1400
151,22613.0,1400
152,22503.0,1400
153,22788.0,1400
154,22470.0,1400
155,22699.0,1400
156,14294.0,1400
157,15484.0,1400
158,17173.0,1400
159,18911.0,1400
160,21019.0,1400
161,22622.0,1400
162,23389.0,1400
163,24292.0,1400
164,23812.0,1400
165,23792.0,1400
166,23305.0,1400
167,23721.0,1400
168,14412.0,1400
169,16006.0,1400
170,17868.0,1400
171,20190.0,1400
172,22185.0,1400
173,24432.0,1400
174,25739.0,1400
175,26034.0,1400
176,25939.0,1400
177,25595.0,1400
178,24945.0,1400
179,24964.0,1400
180,14550.0,1400
181,16261.0,1400
182,18476.0,1400
183,20994.0,1400
184,23872.0,1400
185,26234.0,1400
186,27970.0,1400
187,28219.0,1400
188,27745.0,1400
189,26927.0,1400
190,25827.0,1400
191,25903.0,1400
192,14946.0,1400
193,16402.0,1400
194,18661.0,1400
195,21834.0,1400
196,24801.0,1400
197,27812.0,1400
198,29284.0,1400
199,29817.0,1400
200,29138.0,1400
201,27648.0,1400
202,27007.0,1400
203,26304.0,1400
204,14248.0,1400
205,16236.0,1400
206,18614.0,1400
207,22023.0,1400
208,24994.0,1400
209,27979.0,1400
210,29774.0,1400
211,30083.0,1400
212,29090.0,1400
213,27661.0,1400
214,26798.0,1400
215,26288.0,1400
216,13692.0,1400
217,15453.0,1400
218,17933.0,1400
219,20937.0,1400
220,24105.0,1400
221,26720.0,1400
222,28660.0,1400
223,29216.0,1400
224,28315.0,1400
225,26527.0,1400
226,25526.0,1400
227,24883.0,1400
228,12372.0,1400
229,13860.0,1400
230,16535.0,1400
231,18982.0,1400
232,21683.0,1400
233,24057.0,1400
234,25457.0,1400
235,25776.0,1400
236,25370.0,1400
237,24193.0,1400
238,23061.0,1400
239,22948.0,1400
