id,n_photons,elevation
0,14189.0,1000
1,14883.0,1000
2,15942.0,1000
3,16719.0,1000
4,17509.0,1000
5,18322.0,1000
6,19035.0,1000
7,19426.0,1000
8,19620.0,1000
9,20040.0,1000
10,20367.0,1000
11,20155.0,1000
12,14421.0,1000
13,15251.0,1000
14,16033.0,1000
15,16910.0,1000
16,17755.0,1000
17,18496.0,1000
18,18944.0,1000
19,19525.0,1000
20,19872.0,1000
21,20307.0,1000
22,20281.0,1000
23,20281.0,1000
24,14354.0,1000
25,15089.0,1000
26,16067.0,1000
27,17028.0,1000
28,17742.0,1000
29,18615.0,1000
30,19303.0,1000
31,19935.0,1000
32,20112.0,1000
33,20365.0,1000
34,20554.0,1000
35,20683.0,1000
36,14632.0,1000
37,15235.0,1000
38,16249.0,1000
39,17246.0,1000
40,18244.0,1000
41,18975.0,1000
42,19565.0,1000
43,20138.0,1000
44,20387.0,1000
45,20463.0,1000
46,20561.0,1000
47,20971.0,1000
48,15223.0,1000
49,16007.0,1000
50,16824.0,1000
51,17975.0,1000
52,18695.0,1000
53,19518.0,1000
54,20275.0,1000
55,20597.0,1000
56,21044.0,1000
57,21093.0,1000
58,21292.0,1000
59,21631.0,1000
60,16362.0,1000
61,16671.0,1000
62,17275.0,1000
63,18459.0,1000
64,19409.0,1000
65,20095.0,1000
66,20856.0,1000
67,21656.0,1000
68,21761.0,1000
69,21984.0,1000
70,21887.0,1000
71,22129.0,1000
72,16585.0,1000
73,17259.0,1000
74,17760.0,1000
75,18545.0,1000
76,19454.0,1000
77,20216.0,1000
78,21073.0,1000
79,21325.0,1000
80,21539.0,1000
81,21912.0,1000
82,22215.0,1000
83,21889.0,1000
84,16584.0,1000
85,16755.0,1000
86,17698.0,1000
87,18558.0,1000
88,19458.0,1000
89,20197.0,1000
90,21020.0,1000
91,21276.0,1000
92,21577.0,1000
93,21671.0,1000
94,21746.0,1000
95,21993.0,1000
96,16147.0,1000
97,16843.0,1000
98,17446.0,1000
99,18051.0,1000
100,18956.0,1000
101,19724.0,1000
102,20453.0,1000
103,21079.0,1000
104,21181.0,1000
105,21401.0,1000
106,21360.0,1000
107,21481.0,1000
108,15475.0,1000
109,15903.0,1000
110,16869.0,1000
111,17780.0,1000
112,18074.0,1000
113,19237.0,1000
114,19989.0,1000
115,20079.0,1000
116,20419.0,1000
117,20355.0,1000
118,20798.0,1000
119,20628.0,1000
120,16863.0,1400
121,17147.0,1400
122,17749.0,1400
123,19075.0,1400
124,19768.0,1400
125,20899.0,1400
126,21081.0,1400
127,21965.0,1400
128,22087.0,1400
129,21872.0,1400
130,22478.0,1400
131,22500.0,1400
132,17069.0,1400
133,17286.0,1400
134,18496.0,1400
135,19390.0,1400
136,20371.0,1400
137,21134.0,1400
138,22122.0,1400
139,22619.0,1400
140,22655.0,1400
141,22673.0,1400
142,22720.0,1400
143,22611.0,1400
144,17366.0,1400
145,18057.0,1400
146,18872.0,1400
147,20264.0,1400
148,21368.0,1400
149,22242.0,1400
150,23278.0,1400
151,23787.0,1400
152,23941.0,1400
153,23349.0,1400
154,23699.0,1400
155,23730.0,1400
156,17849.0,1400
157,18383.0,1400
158,19739.0,1400
159,21096.0,1400
160,22464.0,1400
161,24526.0,1400
162,25146.0,1400
163,25538.0,1400
164,25745.0,1400
165,25598.0,1400
166,25028.0,1400
167,25117.0,1400
168,18417.0,1400
169,19099.0,1400
170,20724.0,1400
171,22470.0,1400
172,24494.0,1400
173,26347.0,1400
174,27945.0,1400
175,28091.0,1400
176,27977.0,1400
177,27187.0,1400
178,26288.0,1400
179,26724.0,1400
180,18863.0,1400
181,19785.0,1400
182,21530.0,1400
183,23955.0,1400
184,26345.0,1400
185,28587.0,1400
186,30130.0,1400
187,30106.0,1400
188,29904.0,1400
189,29071.0,1400
190,28321.0,1400
191,27993.0,1400
192,18762.0,1400
193,20321.0,1400
194,22152.0,1400
195,25091.0,1400
196,27660.0,1400
197,29894.0,1400
198,31686.0,1400
199,32357.0,1400
200,31585.0,1400
201,30519.0,1400
202,29350.0,1400
203,29050.0,1400
204,18565.0,1400
205,20035.0,1400
206,22230.0,1400
207,25133.0,1400
208,27971.0,1400
209,31001.0,1400
210,32638.0,1400
211,33053.0,1400
212,31927.0,1400
213,30611.0,1400
214,29646.0,1400
215,29189.0,1400
216,18065.0,1400
217,19493.0,1400
218,21635.0,1400
219,24724.0,1400
220,27541.0,1400
221,30205.0,1400
222,31752.0,1400
223,32162.0,1400
224,31248.0,1400
225,29921.0,1400
226,28806.0,1400
227,28581.0,1400
228,16925.0,1400
229,18688.0,1400
230,20586.0,1400
231,23203.0,1400
232,25891.0,1400
233,28193.0,1400
234,29805.0,1400
235,30273.0,1400
236,29138.0,1400
237,28072.0,1400
238,27436.0,1400
239,26836.0,1400
