"lambda";"moy"
325;0,5627621858
326;0,4959386498
327;0,4812579506
328;0,577270679
329;0,5563843136
330;0,468948798
331;0,4386278596
332;0,4676704024
333;0,5672116746
334;0,5352618742
335;0,4852876064
336;0,487996411
337;0,4790145876
338;0,4582105116
339;0,4833419674
340;0,5026813876
341;0,4960959758
342;0,4927580016
343;0,4928516078
344;0,4823207388
345;0,4793345936
346;0,490599451
347;0,489222056
348;0,483186252
349;0,4848250824
350;0,4871142906
351;0,4901256136
352;0,4901280464
353;0,4893741216
354;0,4883771816
355;0,486997924
356;0,4852253522
357;0,4907487994
358;0,4903277452
359;0,4708538736
360;0,4725347558
361;0,4858888826
362;0,484149331
363;0,4876519724
364;0,5012753732
365;0,4947592508
366;0,4823758452
367;0,4835382654
368;0,48686876
369;0,4924219048
370;0,5040269868
371;0,512104641
372;0,497145337
373;0,4932116922
374;0,497679867
375;0,5024781686
376;0,5036722308
377;0,4960395538
378;0,4994138236
379;0,5081892446
380;0,5074903604
381;0,505771376
382;0,5023491234
383;0,5057064578
384;0,5094482014
385;0,5012717082
386;0,4964704386
387;0,4950795374
388;0,5019334952
389;0,508108587
390;0,5075773446
391;0,5060992722
392;0,5040065076
393;0,5047457608
394;0,504738367
395;0,502797459
396;0,5058319216
397;0,5108169312
398;0,5128531286
399;0,512810154
400;0,5099459718
401;0,5089493362
402;0,5087476384
403;0,5100056732
404;0,5113446162
405;0,5127737334
406;0,5124703038
407;0,5120813428
408;0,512130647
409;0,511192589
410;0,5096642366
411;0,5131750966
412;0,5156822382
413;0,5162908632
414;0,5164346068
415;0,516310063
416;0,5151404844
417;0,5150963864
418;0,5163730952
419;0,515915247
420;0,5153986694
421;0,5164365658
422;0,5165993416
423;0,516038947
424;0,51658362
425;0,5172481114
426;0,5179647278
427;0,5180051832
428;0,5176788124
429;0,5179320198
430;0,5181190922
431;0,5182128736
432;0,5191996136
433;0,5203370894
434;0,5204526302
435;0,520794685
436;0,5213747688
437;0,5213156362
438;0,5210534956
439;0,5204779918
440;0,5209324742
441;0,5221191342
442;0,5220170734
443;0,5220897346
444;0,5227704748
445;0,523029913
446;0,5230619126
447;0,5223385802
448;0,5218523374
449;0,521704567
450;0,5219569894
451;0,5226925298
452;0,525873412
453;0,5261724212
454;0,523685796
455;0,5244893194
456;0,5252313952
457;0,5241062868
458;0,525104382
459;0,5274622122
460;0,5269058518
461;0,5265393312
462;0,5267744558
463;0,5261506234
464;0,5252615396
465;0,5256427772
466;0,5260482048
467;0,5264861392
468;0,5268113482
469;0,5272663468
470;0,5285485726
471;0,5283828026
472;0,526980682
473;0,5277314226
474;0,528466202
475;0,528543346
476;0,5288299382
477;0,5292317304
478;0,5287292494
479;0,5287244364
480;0,5295747504
481;0,5300115694
482;0,5302721068
483;0,5303217774
484;0,530671965
485;0,5313675862
486;0,5311781994
487;0,5308875792
488;0,5309104434
489;0,5307838494
490;0,530543033
491;0,5320581762
492;0,5332358484
493;0,533335471
494;0,53323347
495;0,53304152
496;0,5331097054
497;0,5331198066
498;0,533045144
499;0,5331139384
500;0,5332168266
501;0,5332747838
502;0,5335041946
503;0,5339000728
504;0,5335464182
505;0,5333385542
506;0,533951876
507;0,5342926962
508;0,5344515272
509;0,534667924
510;0,5347822636
511;0,5346975456
512;0,534862383
513;0,5351258886
514;0,5352802458
515;0,53548361
516;0,5357518
517;0,5361139196
518;0,536386366
519;0,5360991638
520;0,5361710038
521;0,5365598882
522;0,5362611854
523;0,5361863478
524;0,5369479744
525;0,5372953514
526;0,53739528
527;0,5376376488
528;0,5377815168
529;0,5377557234
530;0,537500699
531;0,537279434
532;0,538260179
533;0,538732104
534;0,5386143238
535;0,5385519272
536;0,5385005964
537;0,5384434278
538;0,538811341
539;0,5395055032
540;0,53960201
541;0,5396837994
542;0,539854847
543;0,5399861798
544;0,5400923858
545;0,5400138444
546;0,5401586566
547;0,5406484634
548;0,5407495726
549;0,5407967458
550;0,541343393
551;0,5416742616
552;0,5417794592
553;0,5414448624
554;0,5412235506
555;0,5416885262
556;0,5418914918
557;0,541910872
558;0,5423753652
559;0,5426119496
560;0,5423127628
561;0,5426408358
562;0,5432115924
563;0,543018863
564;0,5430510678
565;0,543399314
566;0,5431863392
567;0,5429067716
568;0,5431377106
569;0,5433461682
570;0,5435342418
571;0,5440051254
572;0,5444183826
573;0,5445120844
574;0,5444360584
575;0,544252103
576;0,5447600734
577;0,5449465154
578;0,5445206504
579;0,5447410672
580;0,5451621924
581;0,545128856
582;0,5453128618
583;0,5457515868
584;0,545587288
585;0,5454258792
586;0,5458299546
587;0,545909777
588;0,5457353746
589;0,5460891236
590;0,546373256
591;0,546378447
592;0,546611192
593;0,5469411156
594;0,54636113
595;0,5461679856
596;0,546580152
597;0,547104958
598;0,5475548466
599;0,5472900334
600;0,5471700252
601;0,5471978432
602;0,5474935418
603;0,5478012542
604;0,5480065038
605;0,5481974472
606;0,5483775222
607;0,548226786
608;0,5482127764
609;0,5485187444
610;0,548470083
611;0,548274833
612;0,5483947494
613;0,5483934128
614;0,5482288962
615;0,5485493544
616;0,5489720704
617;0,549239113
618;0,5493263972
619;0,5492454006
620;0,5495677132
621;0,5497308204
622;0,5492625058
623;0,5493443102
624;0,5497751762
625;0,5498206438
626;0,5499002502
627;0,550057483
628;0,5500580538
629;0,550005485
630;0,5500740612
631;0,5501626056
632;0,5502755184
633;0,5503172064
634;0,550372815
635;0,55056746
636;0,5505618016
637;0,5503927968
638;0,5503391588
639;0,5502914632
640;0,5502296964
641;0,550444655
642;0,55080397
643;0,5506314704
644;0,5505428284
645;0,5505917102
646;0,5505683808
647;0,5505263802
648;0,5505295568
649;0,5506389852
650;0,5508635016
651;0,5509206528
652;0,5509001104
653;0,5507077622
654;0,5505199774
655;0,5503355328
656;0,5505827582
657;0,5507598544
658;0,5507213836
659;0,5507503162
660;0,5508076974
661;0,5507940672
662;0,5508598046
663;0,5510387588
664;0,550988336
665;0,5508914786
666;0,5509005718
667;0,5508486724
668;0,5507388156
669;0,5505414558
670;0,550407851
671;0,5505102266
672;0,5504924358
673;0,550398618
674;0,550597541
675;0,5507759032
676;0,5509043144
677;0,550651172
678;0,550299637
679;0,5505776838
680;0,5507025416
681;0,5506343976
682;0,5507948176
683;0,5509059502
684;0,5505228118
685;0,5504083116
686;0,5505204922
687;0,5505519026
688;0,5505572748
689;0,5505143998
690;0,550455451
691;0,5503887074
692;0,5504100358
693;0,550433019
694;0,5504587728
695;0,5504937524
696;0,5504913792
697;0,5501642726
698;0,5499629174
699;0,5499015432
700;0,5499415168
701;0,5499707126
702;0,5498885674
703;0,54985786
704;0,549865628
705;0,549966154
706;0,5499799452
707;0,5497897704
708;0,549775817
709;0,5498336696
710;0,5495522862
711;0,549417855
712;0,5494922742
713;0,5492572262
714;0,5490029424
715;0,5491891622
716;0,5491604084
717;0,5489182708
718;0,5490889778
719;0,5491824858
720;0,5488407224
721;0,5487904384
722;0,5489331794
723;0,5488996118
724;0,548741116
725;0,548351237
726;0,5483013986
727;0,5483764886
728;0,5481838908
729;0,5481811814
730;0,548419149
731;0,548100887
732;0,547688918
733;0,5474931146
734;0,5472335142
735;0,5469194846
736;0,5470016972
737;0,5470970686
738;0,5471090096
739;0,546901961
740;0,5465716174
741;0,546575737
742;0,5464648996
743;0,5461578032
744;0,5460088558
745;0,5458999028
746;0,545650521
747;0,5454804708
748;0,5454004874
749;0,545333503
750;0,5452539114
751;0,5451135762
752;0,5447057572
753;0,5440942142
754;0,5440366314
755;0,5440237734
756;0,5440178806
757;0,543768233
758;0,5434057152
759;0,5433816818
760;0,5432083982
761;0,54280817
762;0,542618189
763;0,542441226
764;0,5419291466
765;0,5416484454
766;0,5416035276
767;0,5412551252
768;0,5409343354
769;0,5408717452
770;0,5406628432
771;0,5403534624
772;0,53994263
773;0,5396530922
774;0,539625758
775;0,539381688
776;0,5390589124
777;0,5389741882
778;0,5386349748
779;0,5379525168
780;0,537811182
781;0,5377293096
782;0,5372374932
783;0,5371423146
784;0,5374066914
785;0,5369133784
786;0,5364438744
787;0,5362996462
788;0,535806271
789;0,5351007222
790;0,534790143
791;0,5347003302
792;0,5350122724
793;0,534625144
794;0,5340151724
795;0,533806709
796;0,5336072554
797;0,5334194658
798;0,5332804978
799;0,5331098972
800;0,5327753264
801;0,5325723254
802;0,5324744342
803;0,5322131612
804;0,5318816472
805;0,5314187844
806;0,5312670322
807;0,5312638038
808;0,5307746452
809;0,5305793466
810;0,5308392962
811;0,5305810926
812;0,5301888602
813;0,530045786
814;0,5299652074
815;0,5299516618
816;0,5302340532
817;0,530427217
818;0,5301377036
819;0,529788108
820;0,5293936614
821;0,5295208462
822;0,529625377
823;0,5296340876
824;0,5298329762
825;0,5301086604
826;0,5301779774
827;0,5302131176
828;0,5302012762
829;0,5303237612
830;0,5304705418
831;0,5305433072
832;0,530697311
833;0,5309262254
834;0,5312203994
835;0,5315209786
836;0,5318059188
837;0,5321385512
838;0,5325035834
839;0,5328050938
840;0,5330181662
841;0,533066379
842;0,5334238166
843;0,5338582456
844;0,5338375302
845;0,5342983536
846;0,535342928
847;0,5361165774
848;0,5367340078
849;0,5368961118
850;0,5371762098
851;0,5375537762
852;0,5384635092
853;0,539352655
854;0,5400425266
855;0,5407807798
856;0,5415459006
857;0,5419512242
858;0,5424668046
859;0,5431553626
860;0,5438190946
861;0,5445143218
862;0,5454439834
863;0,5462772476
864;0,5470067996
865;0,5480793398
866;0,549146938
867;0,5499409894
868;0,5504584138
869;0,5507788694
870;0,5509541076
871;0,551651634
872;0,5534969498
873;0,5540032854
874;0,5539931252
875;0,5556101796
876;0,5568582236
877;0,5575627804
878;0,5584300394
879;0,559330873
880;0,5600757426
881;0,561223456
882;0,5627674952
883;0,5632256372
884;0,5637322944
885;0,5647891992
886;0,565792621
887;0,5667749028
888;0,567009615
889;0,5679049652
890;0,5700747124
891;0,5707151056
892;0,5708850292
893;0,5724916276
894;0,5736740434
895;0,5743117224
896;0,5744934582
897;0,5749312254
898;0,576920035
899;0,578148831
900;0,5787389134
901;0,5794466916
902;0,5802427152
903;0,581221254
904;0,5828874244
905;0,5848902784
906;0,5838978464
907;0,5838139202
908;0,5851972584
909;0,5869183646
910;0,5885551794
911;0,5884949522
912;0,58982936
913;0,592727776
914;0,5919701578
915;0,5913442184
916;0,5936317016
917;0,5949062304
918;0,5954299902
919;0,5964258682
920;0,5973710644
921;0,598115613
922;0,598076583
923;0,5977576724
924;0,5994039818
925;0,6005786162
926;0,6010601098
927;0,6023590962
928;0,6038551678
929;0,604986454
930;0,6059014006
931;0,6065993096
932;0,6076506428
933;0,6082348174
934;0,607155843
935;0,60726103
936;0,6081272238
937;0,6106381082
938;0,6124913774
939;0,6129347508
940;0,614415866
941;0,616187821
942;0,6162059772
943;0,6166385606
944;0,6176043712
945;0,6189746032
946;0,6200806952
947;0,6194090188
948;0,6190231152
949;0,6188809698
950;0,6194975452
951;0,6208053846
952;0,623689122
953;0,6245393886
954;0,6242594504
955;0,6245799936
956;0,624737141
957;0,6246105056
958;0,6259044822
959;0,6277063666
960;0,6293514214
961;0,6291797148
962;0,626929513
963;0,627811798
964;0,629540098
965;0,632251885
966;0,6334056242
967;0,6333674578
968;0,6322518194
969;0,6324623598
970;0,6359282472
971;0,6377876098
972;0,6387309354
973;0,6370729508
974;0,636748994
975;0,6384730022
976;0,6380602156
977;0,6370871802
978;0,6366342306
979;0,636476474
980;0,6366164972
981;0,6389780982
982;0,6416847538
983;0,6442855664
984;0,6461624282
985;0,647564241
986;0,648290443
987;0,648364121
988;0,64710266
989;0,646670032
