"lambda";"moy"
325;0,5093432498
326;0,506327026
327;0,5040558804
328;0,5042643168
329;0,537036367
330;0,5769380478
331;0,4326118416
332;0,3765431122
333;0,4231710994
334;0,3523810172
335;0,2668288658
336;0,302782536
337;0,3034079692
338;0,2709614308
339;0,3291765338
340;0,3759119452
341;0,3167389162
342;0,307681964
343;0,3248615748
344;0,3025289294
345;0,2721638508
346;0,2305753176
347;0,2146211646
348;0,2106211636
349;0,2128085824
350;0,2096333274
351;0,1998812404
352;0,2266140388
353;0,2529151698
354;0,2406929872
355;0,231006271
356;0,2239197018
357;0,2098176662
358;0,1976574066
359;0,1944880304
360;0,2036511154
361;0,2196609774
362;0,2211074312
363;0,2185050868
364;0,2092826626
365;0,2050182072
366;0,2027338916
367;0,1984378756
368;0,1969871376
369;0,1987750216
370;0,2056480474
371;0,2119561986
372;0,2113324574
373;0,2139721054
374;0,2191023158
375;0,2233113184
376;0,229548386
377;0,241484307
378;0,242093585
379;0,2369803642
380;0,2406026206
381;0,2475990998
382;0,260376383
383;0,2613945672
384;0,260270055
385;0,2717813368
386;0,285208989
387;0,3006516242
388;0,3074851142
389;0,313564019
390;0,3237750872
391;0,3327935714
392;0,3406996962
393;0,3578066726
394;0,3726058714
395;0,3823739386
396;0,3941000462
397;0,4061881808
398;0,4183237184
399;0,4322297128
400;0,4487703272
401;0,4600348414
402;0,4700405226
403;0,4833912726
404;0,496705394
405;0,510027017
406;0,5234737118
407;0,5359703158
408;0,54733601
409;0,5587380328
410;0,570055199
411;0,5804951788
412;0,5886568242
413;0,5933695982
414;0,6024802078
415;0,6129055786
416;0,6216476272
417;0,6297208674
418;0,6372107476
419;0,6413098556
420;0,6450831562
421;0,651798337
422;0,6575314544
423;0,6623996616
424;0,6665546052
425;0,6705813184
426;0,6748387392
427;0,6779171134
428;0,6802639474
429;0,6843396518
430;0,687488213
431;0,6892721894
432;0,692682722
433;0,6961194462
434;0,6957491344
435;0,6970801934
436;0,7001958214
437;0,7026861886
438;0,7051274548
439;0,7080721652
440;0,7099067444
441;0,7109445278
442;0,7127487922
443;0,7142801512
444;0,7151237566
445;0,7160690844
446;0,7171020652
447;0,7197962078
448;0,7215596204
449;0,7219847758
450;0,722627984
451;0,7234413576
452;0,7250145552
453;0,726548428
454;0,728051258
455;0,7292487554
456;0,7303483344
457;0,7313348252
458;0,7318198622
459;0,7319787066
460;0,7340498308
461;0,7357449484
462;0,7365812722
463;0,7376293446
464;0,7387132054
465;0,7391667378
466;0,739924953
467;0,7410776342
468;0,7424355942
469;0,7435765834
470;0,7434182344
471;0,744406933
472;0,746371164
473;0,7467974588
474;0,747341859
475;0,7486937824
476;0,7492456036
477;0,749339934
478;0,749969168
479;0,7506922262
480;0,7515907686
481;0,7523722054
482;0,7531104972
483;0,753905855
484;0,7545552938
485;0,755039244
486;0,755714015
487;0,756414264
488;0,7570917112
489;0,757741989
490;0,7583671672
491;0,7580825814
492;0,7582508072
493;0,7596534154
494;0,7597794938
495;0,7593183698
496;0,7602058968
497;0,7608623368
498;0,7611892882
499;0,7616881072
500;0,762185583
501;0,7624192672
502;0,7626522646
503;0,7628846992
504;0,7629085666
505;0,7629694688
506;0,7632567102
507;0,763698251
508;0,7642362694
509;0,7644398962
510;0,764711067
511;0,7651485338
512;0,7653934836
513;0,7655232436
514;0,7652065454
515;0,7652631732
516;0,7657944434
517;0,7658056384
518;0,7658122432
519;0,766482492
520;0,766815204
521;0,7668478666
522;0,7666065232
523;0,766363266
524;0,766196121
525;0,7666253864
526;0,7674015644
527;0,7669337244
528;0,7668001534
529;0,7672623652
530;0,7676362274
531;0,7679331744
532;0,767813481
533;0,7676878446
534;0,7675553834
535;0,76752568
536;0,7675046958
537;0,7674255158
538;0,767445233
539;0,7675409748
540;0,7676356598
541;0,7677520474
542;0,767922383
543;0,7677622154
544;0,7674499002
545;0,767609327
546;0,7676722828
547;0,7675877424
548;0,7675410954
549;0,7674629878
550;0,7670675748
551;0,7668479046
552;0,7668115314
553;0,7672622464
554;0,7676143964
555;0,7672972352
556;0,767054607
557;0,7668640754
558;0,7669398294
559;0,7669513144
560;0,7667957426
561;0,766938781
562;0,7672083554
563;0,767327095
564;0,7674719288
565;0,7676538936
566;0,7674604096
567;0,7671971206
568;0,767134263
569;0,7670204662
570;0,7668568052
571;0,767046999
572;0,7672262938
573;0,7672192746
574;0,7672433804
575;0,7672869864
576;0,767174867
577;0,7673195668
578;0,767943574
579;0,767929985
580;0,7676984536
581;0,767732171
582;0,767862152
583;0,768105505
584;0,767710965
585;0,7673481478
586;0,7676901562
587;0,7678430632
588;0,7678474744
589;0,7675408712
590;0,7674064594
591;0,7677637768
592;0,7679420724
593;0,7680206972
594;0,7678824118
595;0,7678629554
596;0,7680298618
597;0,7681525672
598;0,7682313122
599;0,768114406
600;0,7682515226
601;0,7686509434
602;0,7685098576
603;0,7683755072
604;0,7685785826
605;0,768802602
606;0,76904029
607;0,7691759642
608;0,7694037738
609;0,7698389562
610;0,7700646046
611;0,7701927518
612;0,7703380752
613;0,7706027578
614;0,7710292422
615;0,7713296794
616;0,7715482936
617;0,7715232686
618;0,7717331714
619;0,7721642996
620;0,772256177
621;0,7724484002
622;0,7730777962
623;0,7733715584
624;0,7734521864
625;0,7739704382
626;0,7743788518
627;0,7745674588
628;0,7750726884
629;0,7756731548
630;0,7758919676
631;0,7761578362
632;0,7764814674
633;0,7769045154
634;0,7772835792
635;0,7773600522
636;0,7776940512
637;0,7782381032
638;0,7781217212
639;0,778177556
640;0,7788458992
641;0,7793337618
642;0,779722942
643;0,7799635368
644;0,7801375218
645;0,780202031
646;0,7803812806
647;0,7806152558
648;0,7809796688
649;0,7812057406
650;0,7812815614
651;0,781376243
652;0,7815383402
653;0,7819403238
654;0,7821644578
655;0,7822601566
656;0,7823250422
657;0,7824328788
658;0,782640651
659;0,782728213
660;0,782758606
661;0,7827724636
662;0,782872215
663;0,7830946106
664;0,783175007
665;0,7832224834
666;0,7833138512
667;0,7833675686
668;0,783385255
669;0,783338589
670;0,7832707742
671;0,7831635744
672;0,783107842
673;0,7830847914
674;0,7831044868
675;0,7831268244
676;0,7831527172
677;0,782941142
678;0,7826957544
679;0,783150667
680;0,7831635576
681;0,7826188976
682;0,7827064376
683;0,7829076354
684;0,782948932
685;0,7829273928
686;0,7828527648
687;0,782633135
688;0,78244279
689;0,7823667664
690;0,7821481526
691;0,7818554612
692;0,7819997718
693;0,7819113922
694;0,781430984
695;0,7813864688
696;0,7814646632
697;0,7813100632
698;0,7811048264
699;0,7808430486
700;0,780786868
701;0,7807149032
702;0,7804379352
703;0,7802981298
704;0,780261179
705;0,7802021906
706;0,7799768748
707;0,7793871818
708;0,7793581476
709;0,779582994
710;0,7793347768
711;0,7790727348
712;0,7787901846
713;0,7785999812
714;0,7784228518
715;0,7781547446
716;0,7779838458
717;0,777909375
718;0,7778337326
719;0,7777097474
720;0,7774333684
721;0,7772487876
722;0,777125393
723;0,7769854756
724;0,776767835
725;0,7764001484
726;0,7760528454
727;0,7757194204
728;0,7754478866
729;0,7751928638
730;0,7749585872
731;0,7748926232
732;0,7748456154
733;0,7746855774
734;0,7744450474
735;0,7741362852
736;0,7740023076
737;0,7738360582
738;0,7735301114
739;0,7732603506
740;0,773010606
