"lambda";"moy"
325;0,6592921673
326;0,6733869519
327;0,6878752921
328;0,7169175935
329;0,6268328063
330;0,5240200193
331;0,6102753583
332;0,6399854747
333;0,6005100006
334;0,6018096556
335;0,6151450761
336;0,6261407522
337;0,6100139418
338;0,5650830722
339;0,5825420419
340;0,6049012159
341;0,6040494385
342;0,5943936524
343;0,5779236378
344;0,5842183228
345;0,5911907071
346;0,5990909409
347;0,5756871578
348;0,5483080897
349;0,6026174401
350;0,62166105
351;0,5934114346
352;0,5994316366
353;0,6120825631
354;0,6178042343
355;0,6124878528
356;0,5983584873
357;0,6019596102
358;0,6035944198
359;0,5931266256
360;0,5958001608
361;0,6057509313
362;0,597802273
363;0,599184604
364;0,6175922557
365;0,6094765472
366;0,5947758437
367;0,5990937192
368;0,5974914351
369;0,5888399102
370;0,5856674573
371;0,5858102549
372;0,5954230347
373;0,5977886737
374;0,5946299187
375;0,6016962775
376;0,6057130524
377;0,600108356
378;0,601257575
379;0,6056772479
380;0,6048864686
381;0,6026690851
382;0,5981275445
383;0,5915786445
384;0,5873701122
385;0,6031487043
386;0,6067484204
387;0,5978981907
388;0,6038780255
389;0,609261751
390;0,6032971366
391;0,6022836259
392;0,6046262044
393;0,5992098469
394;0,5972377179
395;0,6034167203
396;0,603648462
397;0,6014663577
398;0,603739746
399;0,6044184032
400;0,6029488409
401;0,6073816691
402;0,6116614992
403;0,6065017664
404;0,6033296147
405;0,6019985594
406;0,6060086596
407;0,6093167608
408;0,6086331391
409;0,6105359689
410;0,6139479735
411;0,6127624166
412;0,6111397055
413;0,608921283
414;0,6105024354
415;0,6132699616
416;0,6125734095
417;0,6139698562
418;0,6178718407
419;0,616115042
420;0,6138006454
421;0,6147375263
422;0,6154587381
423;0,6159970511
424;0,6173198508
425;0,618310034
426;0,6183106759
427;0,6195379976
428;0,6213900135
429;0,6196225264
430;0,6189670912
431;0,6200095693
432;0,6214644619
433;0,6228770256
434;0,6230692484
435;0,6231124054
436;0,6230007816
437;0,6237101629
438;0,6245980267
439;0,6256456076
440;0,6255797355
441;0,6247209904
442;0,6254823691
443;0,6262292497
444;0,6266944905
445;0,6264098418
446;0,6258273748
447;0,626996228
448;0,6281124897
449;0,6291654739
450;0,6292349795
451;0,6290475323
