"lambda";"moy"
325;0,4799515960625
326;0,4332115391875
327;0,3901118510625
328;0,3679870225625
329;0,3760561729375
330;0,3729385011875
331;0,388997174375
332;0,375600112125
333;0,328059557625
334;0,2979860289375
335;0,274261699125
336;0,289950588
337;0,2881470435
338;0,2713358185
339;0,22776179825
340;0,1912865983125
341;0,1885037530625
342;0,190117515375
343;0,1932086598125
344;0,1892154726875
345;0,1838751740625
346;0,1776422626875
347;0,16769128275
348;0,1568047795625
349;0,142559156
350;0,1388878041875
351;0,147579337125
352;0,142708375375
353;0,1348307195
354;0,1281258945
355;0,1222745584375
356;0,1176268925
357;0,1195183366875
358;0,1199194495
359;0,11691002425
360;0,11545614675
361;0,1150733233125
362;0,1122575686875
363;0,1094049675
364;0,1069305225625
365;0,1042670439375
366;0,1020156575625
367;0,1065661801875
368;0,1094858560625
369;0,110748355625
370;0,1110328503125
371;0,1113696816875
372;0,11306559575
373;0,117002267
374;0,1227096486875
375;0,1273694474375
376;0,1320697693125
377;0,1375052184375
378;0,1437061571875
379;0,1501142626875
380;0,156000063375
381;0,1622060769375
382;0,1692114175625
383;0,18014203675
384;0,19144543975
385;0,199763292875
386;0,210520718625
387;0,2238485906875
388;0,2383877178125
389;0,2524422060625
390;0,2663105005625
391;0,2802614833125
392;0,293997417625
393;0,3114516075625
394;0,3278455196875
395;0,3427577203125
396;0,3563271878125
397;0,3689391629375
398;0,3840707201875
399;0,3990644394375
400;0,4144619161875
401;0,4254803805
402;0,435421905875
403;0,4487343211875
404;0,46134853325
405;0,473219611875
406;0,4846439319375
407;0,495026649125
408;0,5034920745625
409;0,5133112235
410;0,523745817625
411;0,532730391125
412;0,5414069919375
413;0,550065721
414;0,557666860375
415;0,56459070175
416;0,5711687638125
417;0,577899257625
418;0,58491248025
419;0,5897400795
420;0,594023648875
421;0,5987527826875
422;0,603101050375
423;0,60711094225
424;0,612278276125
425;0,616820960875
426;0,619788645125
427;0,6227320755625
428;0,6255881250625
429;0,6290476369375
430;0,6322739389375
431;0,6352596439375
432;0,638018531875
433;0,6405898166875
434;0,6429523643125
435;0,6452270130625
436;0,6474263805
437;0,6497047665625
438;0,6517237124375
439;0,65288062675
440;0,654621761125
441;0,6567774028125
442;0,658468869875
443;0,6600755731875
444;0,6616196785
445;0,6633111124375
446;0,66503268975
447;0,6660705825625
448;0,6672228099375
449;0,6685584530625
450;0,669861565625
451;0,6710638774375
452;0,6717967706875
453;0,6730833533125
454;0,6749015530625
455;0,675908539625
456;0,6768941156875
457;0,678265819125
458;0,679367279125
459;0,680287821625
460;0,681806057875
461;0,683156944
462;0,6841613998125
463;0,68490272475
464;0,6855610445
465;0,686743274
466;0,6878770619375
467;0,6889572864375
468;0,6898139141875
469;0,6906876548125
470;0,69198570725
471;0,692931745125
472;0,693574597625
473;0,694169819375
474;0,694874925125
475;0,6959256529375
476;0,6965286708125
477;0,6968715500625
478;0,698131461625
479;0,699356352375
480;0,7005431355
481;0,70093602425
482;0,701108691125
483;0,70189299425
484;0,7027855476875
485;0,7038059894375
486;0,704510447625
487;0,7051717345625
488;0,7059413355
489;0,7065654921875
490;0,7070770129375
491;0,70785137425
492;0,7085608161875
493;0,70908884225
494;0,7094465828125
495;0,709714767875
496;0,709991841625
497;0,7103599979375
498;0,7108680558125
499;0,7116220215
500;0,7123520294375
501;0,7125600933125
502;0,7129249781875
503;0,7134421665625
504;0,713861024375
505;0,714245015625
506;0,7145973066875
507;0,7149346576875
508;0,7152595515
509;0,716074288
510;0,7167889585
511;0,7172927755625
512;0,7177227543125
513;0,7181110498125
514;0,718434788375
515;0,7188543990625
516;0,719399533125
517;0,7198308955
518;0,7201824560625
519;0,7203068759375
520;0,7207036868125
521;0,7213396376875
522;0,7216300806875
523;0,7219287855
524;0,7223771335625
525;0,7228753759375
526;0,723398371375
527;0,7237656773125
528;0,724165047875
529;0,724629901125
530;0,724836558375
531;0,72497651975
532;0,7254464105625
533;0,7259329618125
534;0,726438874625
535;0,7268692258125
536;0,72728258825
537;0,727705156875
538;0,7282917554375
539;0,7290014951875
540;0,7295209223125
541;0,7301107765625
542;0,730918376625
543;0,731471939875
544;0,7318901400625
545;0,7321609131875
546;0,732459121625
547;0,7328036828125
548;0,732828124125
549;0,7327483905
550;0,732642971875
551;0,7325933473125
552;0,7326025906875
553;0,7327364770625
554;0,7328823779375
555;0,732990405
556;0,733098924125
557;0,733207802625
558;0,7334856866875
559;0,733789308875
560;0,734127791625
561;0,734381495125
562;0,73459121525
563;0,7346828181875
564;0,734828238875
565;0,735049390125
566;0,7352635589375
567;0,7354737615
568;0,7356554465625
569;0,735877569375
570;0,7361405308125
571;0,7365181756875
572;0,7368855268125
573;0,7371515150625
574;0,737241274375
575;0,7372192455625
576;0,7375572296875
577;0,737940851875
578;0,7383980780625
579;0,7385621765625
580;0,73861145125
581;0,738651089
582;0,7388981334375
583;0,7393889435625
584;0,739537770875
585;0,7396493503125
586;0,7399289301875
587;0,7401676754375
588;0,74037403475
589;0,7407680568125
590;0,7411230693125
591;0,7413499075
592;0,74154082875
593;0,7417128494375
594;0,741975239875
595;0,7421951003125
596;0,7423506840625
597;0,7427164481875
598;0,7431170944375
599;0,7433436068125
600;0,7435594543125
601;0,743765586625
602;0,7441135945
603;0,744437075125
604;0,744608005125
605;0,7448889525625
606;0,745246096
607;0,7458023615625
608;0,74636333725
609;0,746922906375
610;0,7474607240625
611;0,747982348375
612;0,748467178125
613;0,7488105305
614;0,7489657179375
615;0,748949807625
616;0,748860776
617;0,7486247331875
618;0,7484952845625
619;0,74846591175
620;0,7486217343125
621;0,7487765200625
622;0,7488558729375
623;0,7489901035625
624;0,749159263875
625;0,749142005375
626;0,7491929548125
627;0,7493770380625
628;0,7495845319375
629;0,749783714
630;0,7497812330625
631;0,749905937625
632;0,7501856013125
633;0,750282001
634;0,7503472634375
635;0,750466298875
636;0,7505977804375
637;0,75073952075
638;0,7508146595625
639;0,7509709935
640;0,7513535449375
641;0,751626688875
642;0,751841173125
643;0,7520703300625
644;0,75229697
645;0,75251867675
646;0,752805581125
647;0,7530946793125
648;0,7532214918125
649;0,7533595178125
650;0,753509611375
651;0,75379724525
652;0,754097378625
653;0,754346303375
654;0,75449517675
655;0,7545716463125
656;0,75480349275
657;0,7550005390625
658;0,75509925975
659;0,7552187055
660;0,7553478943125
661;0,755484904625
662;0,7556343715625
663;0,7558016845625
664;0,7560388253125
665;0,7562769489375
666;0,756406631375
667;0,756470501375
668;0,756471715875
669;0,7566416215625
670;0,756810082875
671;0,756903640375
672;0,75693894275
673;0,7569372679375
674;0,757045702875
675;0,757135341375
676;0,757184825375
677;0,7573236703125
678;0,757485219875
679;0,7574981260625
680;0,7575253108125
681;0,7575707163125
682;0,7578000141875
683;0,7580111321875
684;0,7579308049375
685;0,7579487663125
686;0,7580495718125
687;0,7581368428125
688;0,7582117944375
689;0,758258090875
690;0,758268976625
691;0,758261324875
692;0,75837356175
693;0,7584778983125
694;0,7585693758125
695;0,7586230576875
696;0,758651694
697;0,758586336
698;0,7585873754375
699;0,758662534125
700;0,75869419725
701;0,75872052225
702;0,7587580298125
703;0,7588103688125
704;0,7588737279375
705;0,7589512989375
706;0,7590632416875
707;0,7592496839375
708;0,759384484125
709;0,7594835058125
710;0,7593368656875
711;0,7593253196875
712;0,7595062465
713;0,7595487285
714;0,75955618825
715;0,7596012564375
716;0,759630900875
717;0,75964522625
718;0,75969027575
719;0,759760115625
720;0,7598939619375
721;0,759950652125
722;0,7599562128125
723;0,7600419105625
724;0,7600981634375
725;0,760092945375
726;0,7601349676875
727;0,7601941739375
728;0,76021409625
729;0,7602543084375
730;0,7603202675
731;0,76035426775
732;0,7603737679375
733;0,7603613004375
734;0,76033061725
735;0,760284406375
736;0,760297850125
737;0,76032244225
738;0,7603594211875
739;0,7603719448125
740;0,7603707428125
741;0,760385279375
742;0,760402112
743;0,7604228969375
744;0,7605221405
745;0,760634373625
746;0,7606131190625
747;0,7606430209375
748;0,760731044625
749;0,7608733145625
750;0,7610081345625
751;0,7610666445625
752;0,76104748225
753;0,7609691539375
754;0,7610434940625
755;0,761117113
756;0,7611609260625
757;0,7612140598125
758;0,7612689063125
759;0,761217150125
760;0,76121463475
761;0,76128720825
762;0,7613636496875
763;0,7614334074375
764;0,7614463485625
765;0,7614352618125
766;0,7613995564375
767;0,7613770905625
768;0,761388150625
769;0,7615061121875
770;0,761574687625
771;0,761609973125
772;0,7615670270625
773;0,76159841275
774;0,7617883230625
775;0,7617424960625
776;0,761605107375
777;0,7616234693125
778;0,7616409650625
779;0,7616572450625
780;0,761712106
781;0,761791379625
782;0,7619458605
783;0,7619613074375
784;0,76185053025
785;0,7617885931875
786;0,7617823439375
787;0,761921929125
788;0,761904524
789;0,761793055875
