id,n_photons,elevation
0,5.0,1000
1,7.0,1000
2,7.0,1000
3,12.0,1000
4,7.0,1000
5,8.0,1000
6,8.0,1000
7,8.0,1000
8,13.0,1000
9,3.0,1000
10,6.0,1000
11,2.0,1000
12,13.0,1000
13,4.0,1000
14,8.0,1000
15,6.0,1000
16,5.0,1000
17,10.0,1000
18,3.0,1000
19,9.0,1000
20,9.0,1000
21,8.0,1000
22,5.0,1000
23,5.0,1000
24,7.0,1000
25,4.0,1000
26,4.0,1000
27,4.0,1000
28,4.0,1000
29,2.0,1000
30,4.0,1000
31,5.0,1000
32,8.0,1000
33,5.0,1000
34,13.0,1000
35,9.0,1000
36,3.0,1000
37,7.0,1000
38,4.0,1000
39,4.0,1000
40,14.0,1000
41,5.0,1000
42,7.0,1000
43,5.0,1000
44,3.0,1000
45,4.0,1000
46,3.0,1000
47,4.0,1000
48,10.0,1000
49,5.0,1000
50,3.0,1000
51,5.0,1000
52,4.0,1000
53,4.0,1000
54,7.0,1000
55,3.0,1000
56,6.0,1000
57,10.0,1000
58,4.0,1000
59,5.0,1000
60,8.0,1000
61,8.0,1000
62,3.0,1000
63,5.0,1000
64,4.0,1000
65,2.0,1000
66,3.0,1000
67,3.0,1000
68,3.0,1000
69,2.0,1000
70,7.0,1000
71,9.0,1000
72,3.0,1000
73,8.0,1000
74,10.0,1000
75,4.0,1000
76,4.0,1000
77,3.0,1000
78,5.0,1000
79,4.0,1000
80,6.0,1000
81,8.0,1000
82,6.0,1000
83,5.0,1000
84,4.0,1000
85,4.0,1000
86,4.0,1000
87,10.0,1000
88,3.0,1000
89,3.0,1000
90,3.0,1000
91,5.0,1000
92,3.0,1000
93,5.0,1000
94,2.0,1000
95,4.0,1000
96,7.0,1000
97,6.0,1000
98,4.0,1000
99,7.0,1000
100,8.0,1000
101,9.0,1000
102,7.0,1000
103,3.0,1000
104,7.0,1000
105,2.0,1000
106,6.0,1000
107,7.0,1000
108,4.0,1000
109,4.0,1000
110,4.0,1000
111,4.0,1000
112,2.0,1000
113,4.0,1000
114,5.0,1000
115,6.0,1000
116,7.0,1000
117,8.0,1000
118,4.0,1000
119,4.0,1000
120,2.0,1400
121,6.0,1400
122,5.0,1400
123,6.0,1400
124,4.0,1400
125,3.0,1400
126,3.0,1400
127,6.0,1400
128,8.0,1400
129,5.0,1400
130,2.0,1400
131,2.0,1400
132,4.0,1400
134,3.0,1400
135,11.0,1400
136,2.0,1400
137,6.0,1400
138,2.0,1400
139,5.0,1400
140,7.0,1400
141,12.0,1400
142,5.0,1400
143,11.0,1400
144,6.0,1400
145,4.0,1400
146,2.0,1400
147,8.0,1400
148,3.0,1400
149,4.0,1400
150,7.0,1400
151,7.0,1400
152,4.0,1400
153,13.0,1400
154,8.0,1400
155,8.0,1400
156,1.0,1400
157,8.0,1400
158,4.0,1400
159,11.0,1400
160,1.0,1400
161,2.0,1400
162,6.0,1400
163,4.0,1400
164,9.0,1400
165,6.0,1400
166,4.0,1400
167,5.0,1400
168,9.0,1400
169,3.0,1400
170,4.0,1400
171,7.0,1400
172,10.0,1400
173,5.0,1400
174,8.0,1400
175,7.0,1400
176,6.0,1400
177,10.0,1400
178,6.0,1400
179,7.0,1400
180,5.0,1400
181,5.0,1400
182,9.0,1400
183,10.0,1400
184,8.0,1400
185,7.0,1400
186,8.0,1400
187,9.0,1400
188,13.0,1400
189,7.0,1400
190,15.0,1400
191,13.0,1400
192,8.0,1400
193,6.0,1400
194,15.0,1400
195,6.0,1400
196,7.0,1400
197,8.0,1400
198,12.0,1400
199,9.0,1400
200,2.0,1400
201,6.0,1400
202,8.0,1400
203,5.0,1400
204,4.0,1400
205,5.0,1400
206,11.0,1400
207,6.0,1400
208,6.0,1400
209,6.0,1400
210,6.0,1400
211,7.0,1400
212,3.0,1400
213,7.0,1400
214,8.0,1400
215,7.0,1400
216,3.0,1400
217,9.0,1400
218,8.0,1400
219,8.0,1400
220,6.0,1400
221,8.0,1400
222,5.0,1400
223,14.0,1400
224,6.0,1400
225,3.0,1400
226,7.0,1400
227,7.0,1400
228,4.0,1400
229,3.0,1400
230,6.0,1400
231,8.0,1400
232,14.0,1400
233,7.0,1400
234,8.0,1400
235,12.0,1400
236,12.0,1400
237,6.0,1400
238,4.0,1400
239,11.0,1400
240,8.0,1800
241,2.0,1800
242,6.0,1800
