id,n_photons,elevation
0,19,1000
1,18,1000
2,21,1000
3,16,1000
4,11,1000
5,19,1000
6,20,1000
7,26,1000
8,26,1000
9,20,1000
10,20,1000
11,9,1000
12,5,1000
13,18,1000
14,19,1000
15,20,1000
16,20,1000
17,14,1000
18,12,1000
19,21,1000
20,27,1000
21,18,1000
22,18,1000
23,26,1000
24,18,1000
25,15,1000
26,16,1000
27,15,1000
28,20,1000
29,13,1000
30,16,1000
31,24,1000
32,24,1000
33,21,1000
34,32,1000
35,19,1000
36,21,1000
37,19,1000
38,24,1000
39,19,1000
40,21,1000
41,28,1000
42,23,1000
43,28,1000
44,15,1000
45,17,1000
46,34,1000
47,35,1000
48,10,1000
49,15,1000
50,19,1000
51,14,1000
52,16,1000
53,26,1000
54,24,1000
55,30,1000
56,16,1000
57,18,1000
58,22,1000
59,23,1000
60,18,1000
61,24,1000
62,10,1000
63,20,1000
64,20,1000
65,25,1000
66,12,1000
67,22,1000
68,15,1000
69,24,1000
70,19,1000
71,20,1000
72,14,1000
73,10,1000
74,11,1000
75,24,1000
76,17,1000
77,16,1000
78,16,1000
79,31,1000
80,26,1000
81,11,1000
82,25,1000
83,25,1000
84,11,1000
85,14,1000
86,14,1000
87,18,1000
88,17,1000
89,17,1000
90,22,1000
91,20,1000
92,23,1000
93,22,1000
94,24,1000
95,25,1000
96,18,1000
97,19,1000
98,12,1000
99,16,1000
100,14,1000
101,15,1000
102,23,1000
103,23,1000
104,21,1000
105,17,1000
106,24,1000
107,28,1000
108,12,1000
109,15,1000
110,18,1000
111,20,1000
112,16,1000
113,19,1000
114,17,1000
115,20,1000
116,22,1000
117,17,1000
118,16,1000
119,18,1000
120,18,1400
121,17,1400
122,15,1400
123,19,1400
124,27,1400
125,27,1400
126,21,1400
127,23,1400
128,27,1400
129,29,1400
130,23,1400
131,22,1400
132,14,1400
133,14,1400
134,17,1400
135,20,1400
136,18,1400
137,34,1400
138,19,1400
139,28,1400
140,33,1400
141,26,1400
142,17,1400
143,18,1400
144,15,1400
145,17,1400
146,18,1400
147,23,1400
148,21,1400
149,21,1400
150,20,1400
151,28,1400
152,25,1400
153,23,1400
154,24,1400
155,20,1400
156,14,1400
157,15,1400
158,21,1400
159,19,1400
160,22,1400
161,16,1400
162,19,1400
163,24,1400
164,40,1400
165,36,1400
166,24,1400
167,40,1400
168,20,1400
169,14,1400
170,22,1400
171,27,1400
172,20,1400
173,21,1400
174,28,1400
175,30,1400
176,27,1400
177,25,1400
178,36,1400
179,28,1400
180,13,1400
181,19,1400
182,16,1400
183,15,1400
184,25,1400
185,26,1400
186,31,1400
187,28,1400
188,43,1400
189,30,1400
190,32,1400
191,25,1400
192,24,1400
193,23,1400
194,21,1400
195,23,1400
196,29,1400
197,28,1400
198,26,1400
199,33,1400
200,37,1400
201,35,1400
202,22,1400
203,39,1400
204,19,1400
205,22,1400
206,23,1400
207,30,1400
208,27,1400
209,26,1400
210,23,1400
211,46,1400
212,42,1400
213,35,1400
214,38,1400
215,31,1400
216,23,1400
217,19,1400
218,26,1400
219,35,1400
220,26,1400
221,28,1400
222,25,1400
223,35,1400
224,28,1400
225,37,1400
226,29,1400
227,32,1400
228,13,1400
229,21,1400
230,21,1400
231,32,1400
232,32,1400
233,23,1400
234,36,1400
235,22,1400
236,29,1400
237,42,1400
238,34,1400
239,25,1400
240,7,1800
241,13,1800
242,12,1800
243,18,1800
244,10,1800
245,10,1800
246,19,1800
247,19,1800
248,22,1800
249,21,1800
250,17,1800
251,13,1800
252,7,1800
253,15,1800
254,17,1800
255,17,1800
256,17,1800
257,24,1800
258,24,1800
259,27,1800
260,18,1800
261,21,1800
262,20,1800
263,25,1800
264,13,1800
265,16,1800
266,18,1800
267,18,1800
268,10,1800
269,19,1800
270,27,1800
271,25,1800
272,14,1800
273,13,1800
274,24,1800
275,18,1800
276,11,1800
277,15,1800
278,21,1800
279,25,1800
280,30,1800
281,35,1800
282,32,1800
283,24,1800
284,27,1800
285,26,1800
286,36,1800
287,21,1800
288,5,1800
289,16,1800
290,21,1800
291,40,1800
292,34,1800
293,35,1800
294,44,1800
295,44,1800
296,40,1800
297,33,1800
298,30,1800
299,37,1800
300,18,1800
301,25,1800
302,25,1800
303,35,1800
304,39,1800
305,69,1800
306,69,1800
307,64,1800
308,53,1800
309,46,1800
310,36,1800
311,30,1800
312,15,1800
313,27,1800
314,30,1800
315,44,1800
316,64,1800
317,89,1800
318,88,1800
319,76,1800
320,65,1800
321,68,1800
322,35,1800
323,49,1800
324,19,1800
325,21,1800
326,26,1800
327,47,1800
328,48,1800
329,93,1800
330,95,1800
331,102,1800
332,85,1800
333,63,1800
334,53,1800
335,45,1800
336,10,1800
337,19,1800
338,33,1800
339,50,1800
340,65,1800
341,79,1800
342,106,1800
343,101,1800
344,78,1800
345,58,1800
346,44,1800
347,40,1800
348,11,1800
349,16,1800
350,29,1800
351,47,1800
352,53,1800
353,73,1800
354,81,1800
355,76,1800
356,53,1800
357,43,1800
358,47,1800
359,41,1800
