id,n_photons,elevation
0,8,1000
1,15,1000
2,7,1000
3,10,1000
4,9,1000
5,11,1000
6,12,1000
7,12,1000
8,6,1000
9,9,1000
10,8,1000
11,11,1000
12,8,1000
13,14,1000
14,3,1000
15,2,1000
16,8,1000
17,4,1000
18,10,1000
19,14,1000
20,6,1000
21,11,1000
22,12,1000
23,6,1000
24,6,1000
25,11,1000
26,7,1000
27,3,1000
28,9,1000
29,9,1000
30,8,1000
31,6,1000
32,11,1000
33,12,1000
34,12,1000
35,11,1000
36,9,1000
37,8,1000
38,7,1000
39,12,1000
40,9,1000
41,9,1000
42,10,1000
43,14,1000
44,7,1000
45,10,1000
46,11,1000
47,7,1000
48,5,1000
49,7,1000
50,7,1000
51,10,1000
52,9,1000
53,6,1000
54,6,1000
55,12,1000
56,5,1000
57,7,1000
58,11,1000
59,11,1000
60,7,1000
61,6,1000
62,7,1000
63,6,1000
64,3,1000
65,10,1000
66,5,1000
67,5,1000
68,9,1000
69,3,1000
70,5,1000
71,8,1000
72,10,1000
73,6,1000
74,3,1000
75,5,1000
76,10,1000
77,7,1000
78,9,1000
79,6,1000
80,3,1000
81,13,1000
82,5,1000
83,5,1000
84,5,1000
85,8,1000
86,1,1000
88,7,1000
89,16,1000
90,4,1000
91,3,1000
92,12,1000
93,5,1000
94,5,1000
95,9,1000
96,6,1000
97,3,1000
98,3,1000
99,8,1000
100,6,1000
101,8,1000
102,18,1000
103,7,1000
104,11,1000
105,6,1000
106,8,1000
107,5,1000
108,4,1000
109,7,1000
110,5,1000
111,11,1000
112,6,1000
113,6,1000
114,2,1000
115,5,1000
116,5,1000
117,12,1000
118,6,1000
119,11,1000
120,17,1400
121,11,1400
122,8,1400
123,7,1400
124,9,1400
125,8,1400
126,2,1400
127,10,1400
128,10,1400
129,5,1400
130,6,1400
131,14,1400
132,7,1400
133,7,1400
134,9,1400
135,9,1400
136,9,1400
137,7,1400
138,5,1400
139,9,1400
140,6,1400
141,11,1400
142,10,1400
143,10,1400
144,12,1400
145,9,1400
146,7,1400
147,7,1400
148,7,1400
149,11,1400
150,12,1400
151,7,1400
152,9,1400
153,8,1400
154,6,1400
155,10,1400
156,7,1400
157,11,1400
158,7,1400
159,4,1400
160,4,1400
161,10,1400
162,7,1400
163,19,1400
164,9,1400
165,9,1400
166,8,1400
167,12,1400
168,5,1400
169,5,1400
170,6,1400
171,10,1400
172,6,1400
173,7,1400
174,10,1400
175,12,1400
176,11,1400
177,10,1400
178,10,1400
179,7,1400
180,12,1400
181,11,1400
182,7,1400
183,4,1400
184,8,1400
185,6,1400
186,5,1400
187,7,1400
188,25,1400
189,12,1400
190,11,1400
191,6,1400
192,7,1400
193,8,1400
194,7,1400
195,11,1400
196,8,1400
197,10,1400
198,5,1400
199,11,1400
200,9,1400
201,15,1400
202,11,1400
203,12,1400
204,7,1400
205,7,1400
206,10,1400
207,7,1400
208,15,1400
209,8,1400
210,7,1400
211,7,1400
212,11,1400
213,7,1400
214,6,1400
215,12,1400
216,2,1400
217,5,1400
218,8,1400
219,8,1400
220,7,1400
221,13,1400
222,13,1400
223,7,1400
224,10,1400
225,9,1400
226,7,1400
227,9,1400
228,9,1400
229,7,1400
230,10,1400
231,10,1400
232,9,1400
233,6,1400
234,12,1400
235,10,1400
236,9,1400
237,11,1400
238,7,1400
239,6,1400
240,12,1800
241,2,1800
242,8,1800
243,10,1800
244,8,1800
245,7,1800
246,9,1800
247,9,1800
248,8,1800
249,9,1800
250,9,1800
251,5,1800
252,4,1800
253,11,1800
254,10,1800
255,7,1800
256,7,1800
257,9,1800
258,10,1800
259,10,1800
260,7,1800
261,4,1800
262,11,1800
263,10,1800
264,7,1800
265,11,1800
266,8,1800
267,8,1800
268,10,1800
269,2,1800
270,12,1800
271,8,1800
272,13,1800
273,6,1800
274,7,1800
275,5,1800
276,5,1800
277,4,1800
279,5,1800
280,8,1800
281,11,1800
282,7,1800
283,13,1800
284,10,1800
285,14,1800
286,9,1800
287,4,1800
288,3,1800
289,12,1800
290,8,1800
291,7,1800
292,7,1800
293,9,1800
294,16,1800
295,9,1800
296,15,1800
297,15,1800
298,12,1800
299,14,1800
300,7,1800
301,10,1800
302,9,1800
303,13,1800
304,6,1800
305,16,1800
306,16,1800
307,14,1800
308,17,1800
309,8,1800
310,12,1800
311,15,1800
312,10,1800
313,15,1800
314,8,1800
315,11,1800
316,12,1800
317,18,1800
318,18,1800
319,12,1800
320,13,1800
321,15,1800
322,12,1800
323,11,1800
324,8,1800
325,7,1800
326,15,1800
327,6,1800
328,12,1800
329,17,1800
330,26,1800
331,20,1800
332,17,1800
333,4,1800
334,9,1800
335,7,1800
336,11,1800
337,6,1800
338,13,1800
339,10,1800
340,16,1800
341,24,1800
342,15,1800
343,15,1800
344,17,1800
345,15,1800
346,11,1800
347,5,1800
348,1,1800
349,9,1800
350,9,1800
351,9,1800
352,18,1800
353,16,1800
354,14,1800
355,12,1800
356,12,1800
357,11,1800
358,12,1800
359,5,1800
