id,n_photons, elevation
0,23,1000
1,17,1000
2,18,1000
3,22,1000
4,11,1000
5,21,1000
6,13,1000
7,23,1000
8,22,1000
9,22,1000
10,23,1000
11,20,1000
12,11,1000
13,14,1000
14,17,1000
15,22,1000
16,24,1000
17,13,1000
18,11,1000
19,18,1000
20,30,1000
21,20,1000
22,25,1000
23,31,1000
24,13,1000
25,19,1000
26,17,1000
27,19,1000
28,13,1000
29,15,1000
30,25,1000
31,26,1000
32,24,1000
33,21,1000
34,28,1000
35,25,1000
36,21,1000
37,20,1000
38,18,1000
39,29,1000
40,18,1000
41,24,1000
42,18,1000
43,22,1000
44,22,1000
45,19,1000
46,28,1000
47,35,1000
48,17,1000
49,12,1000
50,13,1000
51,15,1000
52,21,1000
53,22,1000
54,28,1000
55,24,1000
56,19,1000
57,30,1000
58,25,1000
59,23,1000
60,24,1000
61,20,1000
62,14,1000
63,27,1000
64,17,1000
65,16,1000
66,15,1000
67,19,1000
68,18,1000
69,26,1000
70,17,1000
71,14,1000
72,13,1000
73,13,1000
74,14,1000
75,23,1000
76,15,1000
77,27,1000
78,19,1000
79,22,1000
80,25,1000
81,13,1000
82,24,1000
83,21,1000
84,18,1000
85,18,1000
86,13,1000
87,16,1000
88,13,1000
89,20,1000
90,26,1000
91,25,1000
92,28,1000
93,16,1000
94,17,1000
95,18,1000
96,17,1000
97,20,1000
98,7,1000
99,17,1000
100,16,1000
101,14,1000
102,25,1000
103,19,1000
104,18,1000
105,20,1000
106,27,1000
107,23,1000
108,12,1000
109,12,1000
110,18,1000
111,20,1000
112,21,1000
113,17,1000
114,16,1000
115,24,1000
116,23,1000
117,21,1000
118,17,1000
119,15,1000
120,12,1400
121,14,1400
122,19,1400
123,18,1400
124,18,1400
125,23,1400
126,18,1400
127,25,1400
128,17,1400
129,28,1400
130,29,1400
131,26,1400
132,12,1400
133,19,1400
134,23,1400
135,18,1400
136,24,1400
137,27,1400
138,21,1400
139,27,1400
140,28,1400
141,26,1400
142,29,1400
143,21,1400
144,18,1400
145,22,1400
146,18,1400
147,24,1400
148,20,1400
149,26,1400
150,21,1400
151,21,1400
152,19,1400
153,21,1400
154,27,1400
155,27,1400
156,15,1400
157,13,1400
158,24,1400
159,27,1400
160,18,1400
161,21,1400
162,29,1400
163,31,1400
164,40,1400
165,31,1400
166,15,1400
167,41,1400
168,10,1400
169,17,1400
170,28,1400
171,23,1400
172,24,1400
173,32,1400
174,26,1400
175,23,1400
176,25,1400
177,21,1400
178,26,1400
179,26,1400
180,15,1400
181,21,1400
182,25,1400
183,15,1400
184,26,1400
185,24,1400
186,39,1400
187,27,1400
188,41,1400
189,28,1400
190,35,1400
191,33,1400
192,18,1400
193,25,1400
194,19,1400
195,27,1400
196,21,1400
197,32,1400
198,26,1400
199,32,1400
200,29,1400
201,32,1400
202,21,1400
203,25,1400
204,15,1400
205,23,1400
206,19,1400
207,27,1400
208,33,1400
209,26,1400
210,25,1400
211,41,1400
212,43,1400
213,51,1400
214,37,1400
215,24,1400
216,23,1400
217,19,1400
218,27,1400
219,28,1400
220,31,1400
221,28,1400
222,34,1400
223,27,1400
224,28,1400
225,39,1400
226,30,1400
227,22,1400
228,20,1400
229,20,1400
230,21,1400
231,30,1400
232,32,1400
233,24,1400
234,34,1400
235,21,1400
236,25,1400
237,28,1400
238,39,1400
239,32,1400
240,8,1800
241,14,1800
242,20,1800
243,20,1800
244,14,1800
245,13,1800
246,21,1800
247,20,1800
248,19,1800
249,22,1800
250,16,1800
251,18,1800
252,10,1800
253,8,1800
254,12,1800
255,20,1800
256,21,1800
257,19,1800
258,24,1800
259,17,1800
260,17,1800
261,24,1800
262,17,1800
263,25,1800
264,18,1800
265,17,1800
266,14,1800
267,20,1800
268,14,1800
269,15,1800
270,21,1800
271,28,1800
272,11,1800
273,20,1800
274,21,1800
275,21,1800
276,7,1800
277,17,1800
278,21,1800
279,24,1800
280,26,1800
281,31,1800
282,22,1800
283,35,1800
284,24,1800
285,22,1800
286,38,1800
287,18,1800
288,7,1800
289,14,1800
290,30,1800
291,37,1800
292,32,1800
293,36,1800
294,37,1800
295,38,1800
296,45,1800
297,29,1800
298,27,1800
299,35,1800
300,11,1800
301,16,1800
302,19,1800
303,40,1800
304,46,1800
305,54,1800
306,60,1800
307,64,1800
308,44,1800
309,44,1800
310,32,1800
311,37,1800
312,17,1800
313,22,1800
314,25,1800
315,33,1800
316,55,1800
317,78,1800
318,83,1800
319,82,1800
320,81,1800
321,51,1800
322,38,1800
323,50,1800
324,17,1800
325,27,1800
326,27,1800
327,49,1800
328,55,1800
329,120,1800
330,109,1800
331,90,1800
332,78,1800
333,67,1800
334,52,1800
335,45,1800
336,17,1800
337,15,1800
338,24,1800
339,49,1800
340,59,1800
341,86,1800
342,100,1800
343,100,1800
344,82,1800
345,56,1800
346,40,1800
347,36,1800
348,12,1800
349,14,1800
350,31,1800
351,38,1800
352,62,1800
353,80,1800
354,80,1800
355,51,1800
356,62,1800
357,38,1800
358,42,1800
359,41,1800
