id,n_photons,elevation
0,776.1,1000
1,721.8,1000
2,838.9,1000
3,890.7,1000
4,892.5,1000
5,873.4,1000
6,912.5,1000
7,941.3,1000
8,948.5,1000
9,892.5,1000
10,907.9,1000
11,826.1,1000
12,842.4,1000
13,795.3,1000
14,866.5,1000
15,851.2,1000
16,892.1,1000
17,857.2,1000
18,877.3,1000
19,958.4,1000
20,901.3,1000
21,920.7,1000
22,888.3,1000
23,942.4,1000
24,717.0,1000
25,787.1,1000
26,833.1,1000
27,876.0,1000
28,888.4,1000
29,859.8,1000
30,905.6,1000
31,973.6,1000
32,929.6,1000
33,893.6,1000
34,895.6,1000
35,942.0,1000
36,785.6,1000
37,815.6,1000
38,787.2,1000
39,836.8,1000
40,879.2,1000
41,866.6,1000
42,880.6,1000
43,952.1,1000
44,988.6,1000
45,889.7,1000
46,856.3,1000
47,933.8,1000
48,657.4,1000
49,708.1,1000
50,719.5,1000
51,778.4,1000
52,751.1,1000
53,769.1,1000
54,832.1,1000
55,809.5,1000
56,829.1,1000
57,840.6,1000
58,841.6,1000
59,863.6,1000
60,612.2,1000
61,601.1,1000
62,624.2,1000
63,595.5,1000
64,666.0,1000
65,621.3,1000
66,635.6,1000
67,663.9,1000
68,698.1,1000
69,725.4,1000
70,678.1,1000
71,661.0,1000
72,618.5,1000
73,560.6,1000
74,624.0,1000
75,620.6,1000
76,624.0,1000
77,663.0,1000
78,632.9,1000
79,642.4,1000
80,663.2,1000
81,653.8,1000
82,694.1,1000
83,696.4,1000
84,598.5,1000
85,623.1,1000
86,638.0,1000
87,645.5,1000
88,637.2,1000
89,651.1,1000
90,671.1,1000
91,647.7,1000
92,638.9,1000
93,660.6,1000
94,645.0,1000
95,645.1,1000
96,610.9,1000
97,637.7,1000
98,587.9,1000
99,582.1,1000
100,622.1,1000
101,641.0,1000
102,623.9,1000
103,645.2,1000
104,626.9,1000
105,656.3,1000
106,655.3,1000
107,662.4,1000
108,566.6,1000
109,622.7,1000
110,576.8,1000
111,589.2,1000
112,596.4,1000
113,653.0,1000
114,654.2,1000
115,660.6,1000
116,627.1,1000
117,641.0,1000
118,652.1,1000
119,612.0,1000
120,737.4,1400
121,786.4,1400
122,798.4,1400
123,803.5,1400
124,802.7,1400
125,823.0,1400
126,823.0,1400
127,848.8,1400
128,849.5,1400
129,895.8,1400
130,834.7,1400
131,854.6,1400
132,767.9,1400
133,763.9,1400
134,784.1,1400
135,875.0,1400
136,801.8,1400
137,855.9,1400
138,865.3,1400
139,779.4,1400
140,838.6,1400
141,897.1,1400
142,846.3,1400
143,854.5,1400
144,774.6,1400
145,753.2,1400
146,751.4,1400
147,859.9,1400
148,839.1,1400
149,812.9,1400
150,885.7,1400
151,921.0,1400
152,897.7,1400
153,945.8,1400
154,882.9,1400
155,872.3,1400
156,723.2,1400
157,818.6,1400
158,820.6,1400
159,881.7,1400
160,815.3,1400
161,930.0,1400
162,861.7,1400
163,911.0,1400
164,939.8,1400
165,901.1,1400
166,898.2,1400
167,918.1,1400
168,745.2,1400
169,718.7,1400
170,774.2,1400
171,806.4,1400
172,844.0,1400
173,822.0,1400
174,863.5,1400
175,924.2,1400
176,900.0,1400
177,921.8,1400
178,924.1,1400
179,883.6,1400
180,733.4,1400
181,743.8,1400
182,762.3,1400
183,816.2,1400
184,846.6,1400
185,893.8,1400
186,905.0,1400
187,939.7,1400
188,936.0,1400
189,901.9,1400
190,854.0,1400
191,951.2,1400
192,747.2,1400
193,810.1,1400
194,796.1,1400
195,816.9,1400
196,888.8,1400
197,884.6,1400
198,899.5,1400
199,937.6,1400
200,869.8,1400
201,966.0,1400
202,910.0,1400
203,866.7,1400
204,744.9,1400
205,784.6,1400
206,783.9,1400
207,814.6,1400
208,863.7,1400
209,880.6,1400
210,901.9,1400
211,905.3,1400
212,945.2,1400
213,903.5,1400
214,922.1,1400
215,801.4,1400
216,771.7,1400
217,781.8,1400
218,788.3,1400
219,806.4,1400
220,857.2,1400
221,875.6,1400
222,868.2,1400
223,943.6,1400
224,909.1,1400
225,887.2,1400
226,826.8,1400
227,884.2,1400
228,711.2,1400
229,732.9,1400
230,781.6,1400
231,767.5,1400
232,796.1,1400
233,862.9,1400
234,938.4,1400
235,919.8,1400
236,857.9,1400
237,899.9,1400
238,819.6,1400
239,850.4,1400
240,677.9,1800
241,659.3,1800
242,676.1,1800
243,697.4,1800
244,679.2,1800
245,755.2,1800
246,753.7,1800
247,736.5,1800
248,787.5,1800
249,792.9,1800
250,753.1,1800
251,736.6,1800
252,669.9,1800
253,765.1,1800
254,695.2,1800
255,726.5,1800
256,731.2,1800
257,745.4,1800
258,774.6,1800
259,690.1,1800
260,790.3,1800
261,812.9,1800
262,770.9,1800
263,761.9,1800
264,664.0,1800
265,697.3,1800
266,707.7,1800
267,733.9,1800
268,769.4,1800
269,793.6,1800
270,838.3,1800
271,830.5,1800
272,819.6,1800
273,803.9,1800
274,770.4,1800
275,775.3,1800
276,658.4,1800
277,737.6,1800
278,762.7,1800
279,801.4,1800
280,946.1,1800
281,859.0,1800
282,904.5,1800
283,913.1,1800
284,902.3,1800
285,875.6,1800
286,834.9,1800
287,865.4,1800
288,758.8,1800
289,740.2,1800
290,846.8,1800
291,823.1,1800
292,980.1,1800
293,1047.7,1800
294,1097.0,1800
295,1082.8,1800
296,1046.9,1800
297,946.0,1800
298,946.0,1800
299,901.8,1800
300,701.6,1800
301,765.1,1800
302,837.5,1800
303,923.5,1800
304,1179.4,1800
305,1248.2,1800
306,1243.2,1800
307,1255.4,1800
308,1251.2,1800
309,1052.0,1800
310,991.5,1800
311,991.0,1800
312,710.1,1800
313,742.8,1800
314,881.6,1800
315,1089.4,1800
316,1208.9,1800
317,1412.7,1800
318,1547.5,1800
319,1550.9,1800
320,1351.8,1800
321,1141.1,1800
322,1029.4,1800
323,1003.0,1800
324,682.3,1800
325,790.7,1800
326,935.3,1800
327,1105.6,1800
328,1433.9,1800
329,1690.2,1800
330,1795.0,1800
331,1835.4,1800
332,1491.5,1800
333,1223.3,1800
334,1045.4,1800
335,1038.4,1800
336,653.6,1800
337,762.0,1800
338,917.0,1800
339,1090.3,1800
340,1371.2,1800
341,1659.4,1800
342,1853.4,1800
343,1702.5,1800
344,1505.0,1800
345,1183.8,1800
346,1090.2,1800
347,1063.5,1800
348,693.5,1800
349,811.5,1800
350,856.6,1800
351,1044.1,1800
352,1322.9,1800
353,1489.5,1800
354,1626.0,1800
355,1583.9,1800
356,1406.0,1800
357,1199.7,1800
358,978.4,1800
359,997.9,1800
