id,geometry_type,xSite,ySite,zSite,radius,N_sim_600_655,N_sim_655_665
0,disk,110.0,930.0,1000.0,10.0,143,151
1,disk,210.0,930.0,1000.0,10.0,159,164
2,disk,310.0,930.0,1000.0,10.0,147,179
3,disk,410.0,930.0,1000.0,10.0,168,177
4,disk,510.0,930.0,1000.0,10.0,178,174
5,disk,610.0,930.0,1000.0,10.0,166,199
6,disk,710.0,930.0,1000.0,10.0,216,177
7,disk,810.0,930.0,1000.0,10.0,190,198
8,disk,910.0,930.0,1000.0,10.0,199,188
9,disk,1010.0,930.0,1000.0,10.0,207,216
10,disk,1110.0,930.0,1000.0,10.0,226,203
11,disk,1210.0,930.0,1000.0,10.0,189,203
12,disk,110.0,1030.0,1000.0,10.0,151,130
13,disk,210.0,1030.0,1000.0,10.0,164,144
14,disk,310.0,1030.0,1000.0,10.0,172,153
15,disk,410.0,1030.0,1000.0,10.0,165,166
16,disk,510.0,1030.0,1000.0,10.0,163,186
17,disk,610.0,1030.0,1000.0,10.0,176,193
18,disk,710.0,1030.0,1000.0,10.0,197,204
19,disk,810.0,1030.0,1000.0,10.0,187,193
20,disk,910.0,1030.0,1000.0,10.0,175,209
21,disk,1010.0,1030.0,1000.0,10.0,195,202
22,disk,1110.0,1030.0,1000.0,10.0,189,194
23,disk,1210.0,1030.0,1000.0,10.0,210,202
24,disk,110.0,1130.0,1000.0,10.0,144,150
25,disk,210.0,1130.0,1000.0,10.0,143,139
26,disk,310.0,1130.0,1000.0,10.0,160,181
27,disk,410.0,1130.0,1000.0,10.0,189,204
28,disk,510.0,1130.0,1000.0,10.0,157,189
29,disk,610.0,1130.0,1000.0,10.0,211,175
30,disk,710.0,1130.0,1000.0,10.0,206,190
31,disk,810.0,1130.0,1000.0,10.0,194,193
32,disk,910.0,1130.0,1000.0,10.0,214,202
33,disk,1010.0,1130.0,1000.0,10.0,226,203
34,disk,1110.0,1130.0,1000.0,10.0,207,211
35,disk,1210.0,1130.0,1000.0,10.0,224,210
36,disk,110.0,1230.0,1000.0,10.0,155,134
37,disk,210.0,1230.0,1000.0,10.0,141,170
38,disk,310.0,1230.0,1000.0,10.0,137,183
39,disk,410.0,1230.0,1000.0,10.0,162,159
40,disk,510.0,1230.0,1000.0,10.0,177,182
41,disk,610.0,1230.0,1000.0,10.0,163,163
42,disk,710.0,1230.0,1000.0,10.0,194,162
43,disk,810.0,1230.0,1000.0,10.0,177,192
44,disk,910.0,1230.0,1000.0,10.0,198,212
45,disk,1010.0,1230.0,1000.0,10.0,184,193
46,disk,1110.0,1230.0,1000.0,10.0,188,186
47,disk,1210.0,1230.0,1000.0,10.0,193,205
48,disk,110.0,1330.0,1000.0,10.0,149,128
49,disk,210.0,1330.0,1000.0,10.0,145,152
50,disk,310.0,1330.0,1000.0,10.0,171,169
51,disk,410.0,1330.0,1000.0,10.0,159,140
52,disk,510.0,1330.0,1000.0,10.0,197,188
53,disk,610.0,1330.0,1000.0,10.0,173,183
54,disk,710.0,1330.0,1000.0,10.0,193,213
55,disk,810.0,1330.0,1000.0,10.0,230,212
56,disk,910.0,1330.0,1000.0,10.0,196,218
57,disk,1010.0,1330.0,1000.0,10.0,204,203
58,disk,1110.0,1330.0,1000.0,10.0,242,202
59,disk,1210.0,1330.0,1000.0,10.0,192,216
60,disk,110.0,1430.0,1000.0,10.0,116,133
61,disk,210.0,1430.0,1000.0,10.0,143,142
62,disk,310.0,1430.0,1000.0,10.0,165,181
63,disk,410.0,1430.0,1000.0,10.0,149,159
64,disk,510.0,1430.0,1000.0,10.0,187,182
65,disk,610.0,1430.0,1000.0,10.0,186,216
66,disk,710.0,1430.0,1000.0,10.0,193,178
67,disk,810.0,1430.0,1000.0,10.0,208,227
68,disk,910.0,1430.0,1000.0,10.0,154,214
69,disk,1010.0,1430.0,1000.0,10.0,192,189
70,disk,1110.0,1430.0,1000.0,10.0,200,219
71,disk,1210.0,1430.0,1000.0,10.0,209,202
72,disk,110.0,1530.0,1000.0,10.0,133,150
73,disk,210.0,1530.0,1000.0,10.0,159,141
74,disk,310.0,1530.0,1000.0,10.0,140,153
75,disk,410.0,1530.0,1000.0,10.0,151,155
76,disk,510.0,1530.0,1000.0,10.0,199,152
77,disk,610.0,1530.0,1000.0,10.0,179,201
78,disk,710.0,1530.0,1000.0,10.0,200,179
79,disk,810.0,1530.0,1000.0,10.0,210,208
80,disk,910.0,1530.0,1000.0,10.0,209,186
81,disk,1010.0,1530.0,1000.0,10.0,207,215
82,disk,1110.0,1530.0,1000.0,10.0,205,205
83,disk,1210.0,1530.0,1000.0,10.0,230,220
84,disk,110.0,1630.0,1000.0,10.0,108,147
85,disk,210.0,1630.0,1000.0,10.0,141,140
86,disk,310.0,1630.0,1000.0,10.0,159,147
87,disk,410.0,1630.0,1000.0,10.0,168,154
