id,n_photons,elevation
0,1392,1000
1,1564,1000
2,1602,1000
3,1729,1000
4,1841,1000
5,1920,1000
6,1961,1000
7,2005,1000
8,2063,1000
9,2054,1000
10,2109,1000
11,2134,1000
12,1463,1000
13,1534,1000
14,1621,1000
15,1735,1000
16,1792,1000
17,1858,1000
18,1998,1000
19,1962,1000
20,2010,1000
21,2046,1000
22,2052,1000
23,2067,1000
24,1384,1000
25,1461,1000
26,1614,1000
27,1702,1000
28,1765,1000
29,1868,1000
30,1928,1000
31,2048,1000
32,2062,1000
33,2038,1000
34,2078,1000
35,2032,1000
36,1415,1000
37,1482,1000
38,1650,1000
39,1788,1000
40,1712,1000
41,1938,1000
42,2057,1000
43,1995,1000
44,2108,1000
45,2086,1000
46,2048,1000
47,2094,1000
48,1429,1000
49,1486,1000
50,1617,1000
51,1699,1000
52,1830,1000
53,1835,1000
54,1949,1000
55,1987,1000
56,2049,1000
57,2140,1000
58,2079,1000
59,2015,1000
60,1392,1000
61,1539,1000
62,1625,1000
63,1719,1000
64,1837,1000
65,1972,1000
66,1959,1000
67,1976,1000
68,2115,1000
69,2176,1000
70,2087,1000
71,2192,1000
72,1347,1000
73,1456,1000
74,1599,1000
75,1685,1000
76,1739,1000
77,1889,1000
78,1951,1000
79,1999,1000
80,2041,1000
81,2104,1000
82,2105,1000
83,2124,1000
84,1378,1000
85,1438,1000
86,1558,1000
87,1627,1000
88,1804,1000
89,1847,1000
90,1991,1000
91,2054,1000
92,2008,1000
93,2110,1000
94,2029,1000
95,2143,1000
96,1272,1000
97,1341,1000
98,1451,1000
99,1597,1000
100,1721,1000
101,1721,1000
102,1788,1000
103,1902,1000
104,1970,1000
105,1964,1000
106,1979,1000
107,1976,1000
108,1246,1000
109,1295,1000
110,1396,1000
111,1522,1000
112,1594,1000
113,1659,1000
114,1746,1000
115,1706,1000
116,1775,1000
117,1858,1000
118,1774,1000
119,1883,1000
120,1347,1400
121,1406,1400
122,1528,1400
123,1739,1400
124,1829,1400
125,1930,1400
126,2036,1400
127,2100,1400
128,2118,1400
129,2175,1400
130,2230,1400
131,2105,1400
132,1326,1400
133,1561,1400
134,1550,1400
135,1784,1400
136,1848,1400
137,2023,1400
138,2044,1400
139,2089,1400
140,2237,1400
141,2194,1400
142,2138,1400
143,2202,1400
144,1410,1400
145,1485,1400
146,1627,1400
147,1805,1400
148,2020,1400
149,2101,1400
150,2233,1400
151,2268,1400
152,2265,1400
153,2368,1400
154,2291,1400
155,2208,1400
156,1449,1400
157,1528,1400
158,1709,1400
159,1865,1400
160,2082,1400
161,2262,1400
162,2369,1400
163,2434,1400
164,2355,1400
165,2387,1400
166,2466,1400
167,2412,1400
168,1457,1400
169,1577,1400
170,1770,1400
171,2112,1400
172,2247,1400
173,2401,1400
174,2647,1400
175,2679,1400
176,2630,1400
177,2630,1400
178,2447,1400
179,2508,1400
180,1463,1400
181,1545,1400
182,1807,1400
183,2116,1400
184,2529,1400
185,2737,1400
186,2813,1400
187,2741,1400
188,2869,1400
189,2735,1400
190,2659,1400
191,2658,1400
192,1429,1400
193,1676,1400
194,1801,1400
195,2284,1400
196,2562,1400
197,2746,1400
198,2986,1400
199,3045,1400
200,3017,1400
201,2849,1400
202,2861,1400
203,2610,1400
204,1360,1400
205,1633,1400
206,1939,1400
207,2207,1400
208,2566,1400
209,2776,1400
210,3078,1400
211,3096,1400
212,3031,1400
213,2814,1400
214,2786,1400
215,2696,1400
216,1380,1400
217,1511,1400
218,1681,1400
219,2116,1400
220,2411,1400
221,2762,1400
222,3027,1400
223,3176,1400
224,2908,1400
225,2726,1400
226,2646,1400
227,2586,1400
228,1229,1400
229,1369,1400
230,1675,1400
231,1820,1400
232,2187,1400
233,2497,1400
234,2601,1400
235,2513,1400
236,2557,1400
237,2502,1400
238,2404,1400
239,2315,1400
