id,xSite,ySite,zSite,radius,N_sim_calibration_600_655,N_sim_calibration_655_665,N_sim_600_655,N_sim_655_665
0,110.0,930.0,1000.0,10.0,12.0417,2.41383,1396,1503
1,210.0,930.0,1000.0,10.0,12.50411,2.52984,1450,1498
2,310.0,930.0,1000.0,10.0,13.52453,2.63516,1592,1567
3,410.0,930.0,1000.0,10.0,14.42278,2.83968,1717,1701
4,510.0,930.0,1000.0,10.0,14.74614,3.07318,1762,1854
5,610.0,930.0,1000.0,10.0,15.90312,3.13576,1923,1895
6,710.0,930.0,1000.0,10.0,16.14744,3.19834,1957,1936
7,810.0,930.0,1000.0,10.0,16.75827,3.30213,2042,2004
8,910.0,930.0,1000.0,10.0,16.90918,3.36318,2063,2044
9,1010.0,930.0,1000.0,10.0,16.3846,3.28994,1990,1996
10,1110.0,930.0,1000.0,10.0,16.49238,3.33875,2005,2028
11,1210.0,930.0,1000.0,10.0,17.9562,3.57724,2045,2005
12,110.0,1030.0,1000.0,10.0,12.35319,2.27187,1429,1329
13,210.0,1030.0,1000.0,10.0,12.92808,2.60003,1509,1544
14,310.0,1030.0,1000.0,10.0,13.25144,2.67637,1554,1594
15,410.0,1030.0,1000.0,10.0,13.88383,2.83815,1642,1700
16,510.0,1030.0,1000.0,10.0,15.10548,3.07624,1812,1856
17,610.0,1030.0,1000.0,10.0,15.6085,3.1251,1882,1888
18,710.0,1030.0,1000.0,10.0,15.95343,3.16478,1930,1914
19,810.0,1030.0,1000.0,10.0,15.91749,3.25939,1925,1976
20,910.0,1030.0,1000.0,10.0,16.37024,3.37695,1988,2053
21,1010.0,1030.0,1000.0,10.0,16.64329,3.3922,2026,2063
22,1110.0,1030.0,1000.0,10.0,16.49958,3.3464,2006,2033
23,1210.0,1030.0,1000.0,10.0,16.47081,3.26092,2002,1977
24,110.0,1130.0,1000.0,10.0,12.10887,2.36194,1395,1388
25,210.0,1130.0,1000.0,10.0,12.93528,2.44589,1510,1443
26,310.0,1130.0,1000.0,10.0,13.76165,2.67331,1625,1592
27,410.0,1130.0,1000.0,10.0,13.88383,2.87631,1642,1725
28,510.0,1130.0,1000.0,10.0,15.22046,2.94955,1828,1773
29,610.0,1130.0,1000.0,10.0,16.2297,3.25052,1812,1809
30,710.0,1130.0,1000.0,10.0,15.57976,3.24567,1878,1967
31,810.0,1130.0,1000.0,10.0,16.49958,3.38914,2006,2061
32,910.0,1130.0,1000.0,10.0,16.82294,3.37844,2051,2054
33,1010.0,1130.0,1000.0,10.0,16.65766,3.42423,2028,2084
34,1110.0,1130.0,1000.0,10.0,16.72954,3.55245,2038,2168
35,1210.0,1130.0,1000.0,10.0,16.47801,3.4685,2003,2113
36,110.0,1230.0,1000.0,10.0,12.10166,2.41534,1394,1423
37,210.0,1230.0,1000.0,10.0,12.46817,2.53137,1445,1499
38,310.0,1230.0,1000.0,10.0,13.51733,2.67637,1591,1594
39,410.0,1230.0,1000.0,10.0,13.87663,2.85188,1641,1709
40,510.0,1230.0,1000.0,10.0,15.27793,3.09302,1836,1867
41,610.0,1230.0,1000.0,10.0,15.43601,3.13882,1858,1897
42,710.0,1230.0,1000.0,10.0,16.04683,3.21665,1943,1948
43,810.0,1230.0,1000.0,10.0,16.44928,3.31284,1999,2011
44,910.0,1230.0,1000.0,10.0,16.6505,3.43949,2027,2094
45,1010.0,1230.0,1000.0,10.0,17.25412,3.49446,2111,2130
46,1110.0,1230.0,1000.0,10.0,16.88045,3.49752,2059,2132
47,1210.0,1230.0,1000.0,10.0,17.5056,3.37695,2146,2053
48,110.0,1330.0,1000.0,10.0,11.2207,2.26792,1366,1357
49,210.0,1330.0,1000.0,10.0,12.92808,2.59697,1509,1542
50,310.0,1330.0,1000.0,10.0,13.49576,2.69621,1588,1607
51,410.0,1330.0,1000.0,10.0,14.39405,2.91293,1713,1749
52,510.0,1330.0,1000.0,10.0,15.15575,3.03503,1819,1829
53,610.0,1330.0,1000.0,10.0,15.6085,3.15254,1882,1906
54,710.0,1330.0,1000.0,10.0,16.11871,3.18768,1953,1929
55,810.0,1330.0,1000.0,10.0,16.51395,3.34181,2008,2030
56,910.0,1330.0,1000.0,10.0,17.32595,3.46086,2121,2108
57,1010.0,1330.0,1000.0,10.0,17.00259,3.47309,2076,2116
58,1110.0,1330.0,1000.0,10.0,17.68529,3.48376,2171,2123
59,1210.0,1330.0,1000.0,10.0,17.5338,3.52016,2140,2145
