id,N_sim_calibration_600_655,N_sim_calibration_655_665,N_sim_600_655,N_sim_655_665
2,0,0,0,0
7,0,0,0,0
12,25.24621,22.33226,60,59
14,4.02427,0,1,0
19,0,1.69249,0,3
24,27.40437,23.80653,66,63
26,4.02427,0.95536,1,1
31,5.10335,1.32392,4,2
36,46.82784,38.54921,120,103
38,4.38397,0.95536,2,1
43,4.74366,1.69249,3,3
48,58.69774,56.24044,153,151
50,4.02427,1.69249,1,3
55,0,0.95536,0,1
60,73.44519,67.29746,194,181
62,4.38397,1.69249,2,3
67,4.38397,1.69249,2,3
72,66.9707,75.03737,176,202
74,4.02427,0.95536,1,1
79,4.74366,0.95536,3,1
84,79.91968,74.6688,212,201
86,4.02427,0,1,0
91,0,2.06106,0,4
96,67.33039,59.18898,177,159
98,4.02427,0,1,0
103,4.38397,0,2,0
108,34.23856,27.86076,85,74
110,0,0.95536,0,1
111,13.01662,11.27524,26,29
