id,n_photons,elevation
0,446.9,1000
1,506.0,1000
2,484.5,1000
3,529.5,1000
4,553.4,1000
5,536.7,1000
6,549.2,1000
7,590.7,1000
8,612.3,1000
9,554.4,1000
10,535.5,1000
11,542.2,1000
12,401.3,1000
13,486.1,1000
14,473.5,1000
15,493.5,1000
16,562.5,1000
17,538.8,1000
18,522.0,1000
19,635.0,1000
20,576.4,1000
21,547.9,1000
22,556.6,1000
23,527.3,1000
24,397.7,1000
25,445.1,1000
26,463.8,1000
27,470.1,1000
28,551.6,1000
29,526.1,1000
30,556.7,1000
31,552.6,1000
32,577.9,1000
33,610.4,1000
34,589.7,1000
35,555.1,1000
36,433.6,1000
37,488.8,1000
38,455.6,1000
39,480.9,1000
40,509.4,1000
41,531.0,1000
42,533.2,1000
43,552.1,1000
44,546.0,1000
45,588.7,1000
46,585.0,1000
47,602.6,1000
48,393.6,1000
49,391.1,1000
50,428.0,1000
51,467.0,1000
52,451.9,1000
53,466.2,1000
54,528.9,1000
55,514.3,1000
56,496.3,1000
57,552.6,1000
58,527.5,1000
59,528.7,1000
60,376.2,1000
61,359.7,1000
62,347.6,1000
63,353.9,1000
64,397.2,1000
65,428.5,1000
66,436.5,1000
67,439.0,1000
68,454.9,1000
69,437.8,1000
70,425.4,1000
71,402.9,1000
72,359.1,1000
73,334.8,1000
74,341.7,1000
75,366.4,1000
76,396.7,1000
77,369.6,1000
78,382.0,1000
79,385.1,1000
80,408.7,1000
81,426.6,1000
82,414.0,1000
83,411.2,1000
84,338.5,1000
85,331.1,1000
86,355.4,1000
87,349.8,1000
88,391.1,1000
89,390.8,1000
90,430.1,1000
91,388.4,1000
92,405.2,1000
93,390.0,1000
94,439.6,1000
95,411.7,1000
96,341.1,1000
97,335.7,1000
98,325.6,1000
99,363.9,1000
100,399.5,1000
101,387.2,1000
102,424.1,1000
103,384.0,1000
104,421.6,1000
105,421.4,1000
106,435.1,1000
107,441.8,1000
108,312.7,1000
109,311.1,1000
110,326.9,1000
111,382.1,1000
112,374.5,1000
113,354.8,1000
