id,N_sim_600_655,N_sim_655_665
0,143,125
1,144,159
2,152,153
3,136,159
4,173,163
5,200,180
6,187,175
7,190,227
8,185,197
9,203,210
10,185,195
11,186,192
12,134,116
13,144,139
14,145,157
15,147,164
16,170,177
17,168,183
18,198,187
19,218,191
20,198,218
21,197,224
22,174,205
23,206,221
24,143,128
25,160,149
26,148,157
27,178,159
28,188,185
29,191,195
30,210,200
31,160,196
32,203,185
33,214,209
34,233,194
35,182,211
36,160,155
37,122,135
38,187,169
39,174,159
40,190,177
41,204,176
42,182,196
43,183,228
44,204,205
45,212,191
46,202,200
47,205,220
48,142,133
49,155,180
50,157,161
51,178,164
52,156,191
53,177,195
54,192,205
55,194,205
56,186,200
57,194,221
58,233,206
59,229,228
60,149,152
61,156,156
62,152,157
63,156,167
64,180,187
65,181,190
66,178,210
67,208,191
68,191,218
69,229,198
70,202,227
71,214,222
72,153,126
73,146,132
74,155,157
75,184,169
76,196,189
77,183,188
78,188,190
79,220,194
80,190,197
81,207,209
82,214,212
83,222,180
84,118,139
85,152,160
86,147,151
87,178,200
88,151,183
89,189,172
90,202,203
91,224,190
92,219,197
93,174,204
94,187,198
95,189,220
96,135,116
97,146,160
98,153,174
99,162,172
100,148,161
101,150,186
102,188,200
103,194,170
104,196,196
105,199,198
106,199,157
107,186,205
108,130,130
109,112,123
110,142,126
111,156,141
112,155,147
113,177,140
114,176,154
115,188,190
116,169,173
117,171,184
118,152,171
119,174,201
120,148,124
121,122,128
122,138,167
123,162,165
124,179,181
125,191,202
126,194,205
127,202,208
128,215,223
129,216,221
130,229,196
131,203,189
132,140,132
133,132,139
134,138,157
135,151,160
136,166,181
137,195,199
138,215,188
139,213,208
140,193,231
141,227,231
142,210,217
143,226,214
144,122,123
145,123,160
146,159,164
147,173,168
148,191,177
149,199,233
150,211,213
151,212,228
152,216,239
153,212,184
154,220,242
155,216,217
156,127,142
157,150,147
158,150,166
159,181,192
160,213,199
161,237,208
162,232,218
163,220,246
164,237,259
165,252,238
166,244,232
167,250,246
168,144,145
169,155,147
170,172,172
171,207,185
172,215,223
173,266,233
174,239,280
175,290,254
176,271,273
177,263,290
178,267,230
179,251,247
180,138,138
181,169,157
182,162,217
183,208,220
184,268,229
185,265,287
186,294,272
187,301,282
188,295,276
189,267,276
190,235,254
191,265,260
192,158,161
193,153,147
194,171,193
195,223,242
196,247,251
197,306,303
198,290,299
199,303,282
200,317,264
201,296,259
202,260,278
203,271,272
204,166,142
205,164,170
206,167,215
207,220,206
208,251,255
209,282,289
210,299,293
211,305,331
212,289,311
213,278,262
214,294,265
215,273,281
216,143,129
217,161,164
218,194,167
219,213,225
220,245,238
221,261,272
222,276,286
223,281,283
224,272,313
225,282,244
226,266,299
227,257,254
228,121,109
229,117,148
230,149,167
231,190,175
232,211,213
233,238,246
234,264,271
235,281,250
236,267,260
237,233,248
238,249,247
239,248,245
