id,n_photons,elevation
0,663.9,1000
1,675.6,1000
2,734.2,1000
3,751.3,1000
4,726.3,1000
5,728.1,1000
6,775.0,1000
7,805.1,1000
8,820.7,1000
9,811.3,1000
10,759.9,1000
11,742.4,1000
12,673.2,1000
13,650.6,1000
14,691.2,1000
15,698.6,1000
16,705.5,1000
17,752.1,1000
18,776.4,1000
19,811.2,1000
20,780.7,1000
21,761.2,1000
22,786.7,1000
23,711.1,1000
24,652.7,1000
25,662.4,1000
26,700.5,1000
27,724.6,1000
28,735.4,1000
29,723.4,1000
30,735.5,1000
31,745.9,1000
32,817.9,1000
33,770.8,1000
34,783.7,1000
35,771.2,1000
36,602.1,1000
37,634.5,1000
38,675.9,1000
39,680.2,1000
40,724.9,1000
41,711.7,1000
42,751.5,1000
43,804.4,1000
44,803.0,1000
45,799.0,1000
46,803.8,1000
47,797.9,1000
48,565.6,1000
49,599.4,1000
50,631.5,1000
51,641.8,1000
52,668.5,1000
53,724.5,1000
54,701.1,1000
55,706.7,1000
56,669.6,1000
57,692.8,1000
58,676.6,1000
59,794.3,1000
60,526.1,1000
61,511.6,1000
62,511.6,1000
63,537.6,1000
64,534.5,1000
65,557.9,1000
66,548.9,1000
67,601.6,1000
68,545.4,1000
69,575.8,1000
70,535.9,1000
71,580.6,1000
72,470.6,1000
73,535.9,1000
74,533.0,1000
75,483.6,1000
76,574.9,1000
77,517.7,1000
78,532.3,1000
79,585.3,1000
80,588.0,1000
81,572.8,1000
82,567.0,1000
83,556.2,1000
84,504.7,1000
85,465.4,1000
86,521.4,1000
87,516.3,1000
88,519.1,1000
89,547.4,1000
90,562.8,1000
91,524.9,1000
92,553.5,1000
93,587.1,1000
94,568.0,1000
95,555.4,1000
96,499.3,1000
97,470.7,1000
98,481.0,1000
99,523.4,1000
100,507.0,1000
101,507.5,1000
102,547.5,1000
103,566.9,1000
104,563.4,1000
105,598.5,1000
106,547.2,1000
107,565.6,1000
108,494.0,1000
109,502.7,1000
110,478.7,1000
111,481.2,1000
112,555.1,1000
113,478.0,1000
114,533.8,1000
115,508.3,1000
116,533.9,1000
117,534.8,1000
118,574.7,1000
119,526.2,1000
120,628.2,1400
121,614.1,1400
122,627.0,1400
123,695.5,1400
124,647.9,1400
125,705.9,1400
126,680.6,1400
127,718.3,1400
128,757.8,1400
129,739.7,1400
130,702.7,1400
131,776.7,1400
132,653.6,1400
133,654.8,1400
134,683.8,1400
135,670.2,1400
136,672.3,1400
137,686.0,1400
138,751.3,1400
139,732.1,1400
140,761.2,1400
141,695.3,1400
142,743.2,1400
143,696.0,1400
144,629.0,1400
145,610.2,1400
146,707.8,1400
147,698.3,1400
148,669.4,1400
149,712.1,1400
150,764.9,1400
151,721.4,1400
152,757.1,1400
153,766.3,1400
154,760.0,1400
155,741.6,1400
156,655.2,1400
157,658.5,1400
158,701.7,1400
159,676.1,1400
160,682.0,1400
161,729.6,1400
162,762.8,1400
163,781.7,1400
164,749.0,1400
165,742.9,1400
166,756.4,1400
167,774.6,1400
168,647.7,1400
169,673.4,1400
170,637.5,1400
171,710.3,1400
172,717.4,1400
173,706.4,1400
174,739.0,1400
175,766.8,1400
176,765.4,1400
177,805.5,1400
178,768.0,1400
179,819.3,1400
180,622.0,1400
181,677.3,1400
182,668.5,1400
183,703.3,1400
184,794.3,1400
185,787.7,1400
186,765.6,1400
187,757.6,1400
188,788.4,1400
189,818.9,1400
190,795.2,1400
191,781.0,1400
192,641.7,1400
193,673.5,1400
194,664.0,1400
195,732.2,1400
196,738.5,1400
197,790.1,1400
198,809.8,1400
199,813.6,1400
200,763.2,1400
201,810.3,1400
202,792.5,1400
203,765.9,1400
204,634.3,1400
205,629.6,1400
206,678.9,1400
207,702.6,1400
208,750.7,1400
209,762.4,1400
210,747.6,1400
211,768.9,1400
212,844.9,1400
213,812.3,1400
214,761.8,1400
215,828.0,1400
216,598.6,1400
217,656.8,1400
218,659.8,1400
219,673.6,1400
220,715.1,1400
221,748.6,1400
222,764.1,1400
223,746.2,1400
224,752.4,1400
225,773.9,1400
226,748.0,1400
227,769.4,1400
228,581.0,1400
229,640.8,1400
230,637.4,1400
231,685.0,1400
232,725.3,1400
233,691.1,1400
234,739.7,1400
235,748.8,1400
236,714.8,1400
237,728.0,1400
238,688.8,1400
239,708.5,1400
240,543.4,1800
241,562.7,1800
242,572.2,1800
243,610.3,1800
244,618.2,1800
245,654.3,1800
246,624.0,1800
247,642.2,1800
248,664.5,1800
249,612.6,1800
250,636.2,1800
251,647.2,1800
252,549.5,1800
253,602.7,1800
254,592.3,1800
255,600.5,1800
256,640.7,1800
257,638.8,1800
258,642.9,1800
259,679.1,1800
260,675.3,1800
261,649.3,1800
262,665.9,1800
263,610.2,1800
264,553.2,1800
265,578.6,1800
266,628.7,1800
267,632.6,1800
268,670.4,1800
269,685.0,1800
270,703.1,1800
271,697.1,1800
272,687.4,1800
273,692.7,1800
274,662.2,1800
275,649.5,1800
276,545.8,1800
277,593.2,1800
278,653.1,1800
279,694.1,1800
280,739.6,1800
281,728.9,1800
282,747.8,1800
283,794.0,1800
284,731.7,1800
285,733.4,1800
286,703.7,1800
287,707.5,1800
288,551.0,1800
289,598.0,1800
290,703.9,1800
291,735.7,1800
292,762.3,1800
293,901.6,1800
294,943.5,1800
295,931.8,1800
296,873.3,1800
297,815.4,1800
298,777.6,1800
299,781.3,1800
300,595.7,1800
301,634.4,1800
302,732.4,1800
303,802.4,1800
304,950.7,1800
305,1041.4,1800
306,1109.5,1800
307,1133.6,1800
308,984.1,1800
309,916.1,1800
310,821.4,1800
311,808.3,1800
312,659.8,1800
313,670.9,1800
314,773.7,1800
315,901.9,1800
316,1130.9,1800
317,1274.6,1800
318,1346.1,1800
319,1279.6,1800
320,1185.8,1800
321,1020.9,1800
322,866.8,1800
323,873.7,1800
324,639.0,1800
325,663.7,1800
326,751.7,1800
327,974.3,1800
328,1193.4,1800
329,1503.9,1800
330,1569.5,1800
331,1520.9,1800
332,1243.9,1800
333,1089.7,1800
334,932.3,1800
335,911.5,1800
336,577.9,1800
337,633.0,1800
338,781.6,1800
339,976.9,1800
340,1169.3,1800
341,1467.1,1800
342,1599.6,1800
343,1480.4,1800
344,1299.8,1800
345,1014.5,1800
346,954.0,1800
347,874.1,1800
348,552.3,1800
349,673.6,1800
350,710.3,1800
351,930.9,1800
352,1108.1,1800
353,1243.2,1800
354,1349.9,1800
355,1333.5,1800
356,1163.8,1800
357,1020.4,1800
358,846.9,1800
359,848.7,1800
