id,n_photons,elevation
0,468.1,1000
1,497.0,1000
2,475.1,1000
3,501.1,1000
4,498.0,1000
5,501.6,1000
6,509.0,1000
7,561.3,1000
8,560.1,1000
9,530.4,1000
10,554.7,1000
11,516.8,1000
12,417.2,1000
13,446.3,1000
14,446.6,1000
15,472.1,1000
16,492.8,1000
17,585.0,1000
18,506.8,1000
19,530.9,1000
20,545.8,1000
21,530.0,1000
22,525.0,1000
23,520.1,1000
24,380.9,1000
25,451.8,1000
26,495.9,1000
27,477.6,1000
28,519.5,1000
29,503.5,1000
30,506.6,1000
31,541.3,1000
32,547.4,1000
33,605.2,1000
34,531.6,1000
35,565.0,1000
36,406.9,1000
37,397.2,1000
38,482.1,1000
39,451.3,1000
40,504.4,1000
41,498.8,1000
42,459.0,1000
43,535.3,1000
44,546.9,1000
45,536.9,1000
46,512.9,1000
47,497.7,1000
48,385.3,1000
49,354.4,1000
50,400.1,1000
51,428.9,1000
52,443.0,1000
53,433.5,1000
54,486.7,1000
55,482.5,1000
56,498.1,1000
57,504.1,1000
58,531.6,1000
59,477.1,1000
60,310.5,1000
61,339.7,1000
62,344.3,1000
63,380.0,1000
64,376.1,1000
65,413.4,1000
66,398.0,1000
67,388.2,1000
68,404.5,1000
69,414.8,1000
70,470.3,1000
71,377.1,1000
72,296.1,1000
73,302.2,1000
74,357.4,1000
75,334.3,1000
76,359.5,1000
77,375.5,1000
78,410.3,1000
79,359.9,1000
80,387.7,1000
81,380.5,1000
82,379.0,1000
83,407.9,1000
84,304.3,1000
85,328.0,1000
86,344.7,1000
87,375.1,1000
88,366.6,1000
89,357.5,1000
90,413.2,1000
91,381.8,1000
92,420.9,1000
93,364.2,1000
94,394.8,1000
95,361.7,1000
96,324.4,1000
97,323.5,1000
98,332.9,1000
99,340.5,1000
100,361.3,1000
101,362.6,1000
102,398.0,1000
103,400.9,1000
104,392.1,1000
105,346.3,1000
106,404.9,1000
107,418.6,1000
108,329.4,1000
109,332.8,1000
110,323.5,1000
111,341.1,1000
112,309.3,1000
113,346.0,1000
114,387.0,1000
115,386.8,1000
116,394.5,1000
117,388.3,1000
118,368.2,1000
119,361.7,1000
120,351.3,1400
121,378.9,1400
122,426.0,1400
123,425.4,1400
124,443.3,1400
125,443.6,1400
126,496.3,1400
127,481.4,1400
128,498.8,1400
129,444.8,1400
130,517.7,1400
131,507.0,1400
132,370.6,1400
133,419.8,1400
134,366.8,1400
135,427.4,1400
136,433.9,1400
137,458.3,1400
138,519.5,1400
139,494.0,1400
140,506.7,1400
141,492.2,1400
142,480.9,1400
143,511.4,1400
144,349.9,1400
145,432.8,1400
146,400.1,1400
147,413.4,1400
148,441.3,1400
149,459.2,1400
150,510.2,1400
151,501.8,1400
152,486.2,1400
153,478.7,1400
154,514.3,1400
155,518.0,1400
156,341.9,1400
157,409.0,1400
158,410.9,1400
159,441.9,1400
160,495.3,1400
161,500.4,1400
162,519.6,1400
163,526.5,1400
164,524.2,1400
165,498.8,1400
166,538.7,1400
167,520.7,1400
168,397.1,1400
169,390.8,1400
170,431.0,1400
171,482.2,1400
172,490.5,1400
173,517.5,1400
174,553.6,1400
175,595.8,1400
176,537.9,1400
177,514.5,1400
178,540.3,1400
179,539.1,1400
180,388.1,1400
181,436.9,1400
182,444.0,1400
183,481.5,1400
184,492.2,1400
185,544.7,1400
186,577.0,1400
187,559.6,1400
188,545.5,1400
189,595.1,1400
190,567.7,1400
191,517.1,1400
192,408.8,1400
193,442.9,1400
194,469.4,1400
195,465.9,1400
196,528.0,1400
197,539.2,1400
198,525.6,1400
199,568.0,1400
200,554.1,1400
201,587.0,1400
202,556.5,1400
203,584.1,1400
204,360.0,1400
205,423.1,1400
206,450.7,1400
207,482.4,1400
208,522.8,1400
209,556.0,1400
210,600.0,1400
211,614.4,1400
212,541.8,1400
213,560.7,1400
214,515.2,1400
215,508.9,1400
216,386.9,1400
217,398.8,1400
218,401.8,1400
219,482.0,1400
220,485.9,1400
221,527.4,1400
222,550.9,1400
223,567.2,1400
224,557.2,1400
225,531.1,1400
226,581.5,1400
227,547.6,1400
228,326.6,1400
229,403.9,1400
230,463.8,1400
231,472.3,1400
232,521.5,1400
233,490.3,1400
234,507.5,1400
235,551.1,1400
236,586.3,1400
237,528.7,1400
238,526.8,1400
239,549.2,1400
240,276.3,1800
241,296.0,1800
242,308.8,1800
243,325.9,1800
244,352.7,1800
245,339.5,1800
246,352.3,1800
247,385.9,1800
248,339.1,1800
249,347.8,1800
250,346.8,1800
251,377.5,1800
252,323.9,1800
253,283.0,1800
254,349.7,1800
255,321.6,1800
256,353.5,1800
257,381.1,1800
258,367.5,1800
259,348.6,1800
260,374.6,1800
261,364.4,1800
262,340.2,1800
263,337.9,1800
264,272.9,1800
265,319.5,1800
266,349.5,1800
267,329.4,1800
268,380.4,1800
269,454.1,1800
270,488.1,1800
271,449.0,1800
272,399.6,1800
273,385.4,1800
274,396.5,1800
275,413.0,1800
276,273.2,1800
277,331.7,1800
278,371.7,1800
279,393.4,1800
280,410.1,1800
281,402.8,1800
282,446.8,1800
283,492.7,1800
284,483.3,1800
285,465.1,1800
286,413.2,1800
287,470.2,1800
288,346.6,1800
289,341.3,1800
290,384.8,1800
291,463.1,1800
292,567.5,1800
